date_from,date_to,release,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc
2014-01-01T00:00:00Z,2015-07-11T04:02:31Z,start - v1.0.0,34955,13670,7092,14193,25902,62183,915,279,602,525,241,991,232,79,122,198,70,216,"brendandburns,lavalamp,thockin,bgrant0607,smarterclayton,vmarmol,erictune,satnam6502,dchen1107,jbeda","Google,Red Hat",2,16678,47.7127735660134459,"brendandburns,lavalamp,thockin,smarterclayton,bgrant0607,jbeda,vmarmol,erictune,satnam6502,derekwaynecarr","Google,Red Hat",2,7100,51.9385515727871251,"bgrant0607,thockin,brendandburns,lavalamp,erictune,dchen1107,satnam6502,roberthbailey,smarterclayton,zmerlynn","Google,Red Hat",2,3174,44.7546531302876481,"brendandburns,lavalamp,thockin,bgrant0607,smarterclayton,vmarmol,dchen1107,zmerlynn,satnam6502,erictune","Google,Red Hat",2,6708,47.2627351511308391,"lavalamp,thockin,bgrant0607,smarterclayton,brendandburns,erictune,vmarmol,roberthbailey,quinton-hoole,davidopp","Google,Red Hat",2,14738,56.8990811520345919,"bgrant0607,smarterclayton,thockin,lavalamp,brendandburns,erictune,dchen1107,satnam6502,zmerlynn,derekwaynecarr","Google,Red Hat",2,30741,49.4363411221716546
2015-07-11T04:02:31Z,2015-09-25T23:41:40Z,v1.0.0 - v1.1.0,9778,1753,2492,5533,11689,24727,572,42,431,310,209,743,158,7,101,124,61,177,"mikedanese,thockin,brendandburns,bgrant0607,vishh,erictune,wojtek-t,zmerlynn,gmarek,piosz",Google,1,3673,37.5639190018408673,"mikedanese,thockin,bgrant0607,brendandburns,vishh,erictune,wojtek-t,alex-mohr,zmerlynn,jszczepkowski",Google,1,1018,58.0718767826583001,"goltermann,bgrant0607,thockin,erictune,gmarek,brendandburns,mikedanese,roberthbailey,lavalamp,mwielgus",Google,1,730,29.2937399678972713,"mikedanese,brendandburns,thockin,wojtek-t,vishh,bgrant0607,erictune,zmerlynn,piosz,caesarxuchao",Google,1,2105,38.0444605096692572,"bgrant0607,thockin,lavalamp,davidopp,smarterclayton,brendandburns,vishh,mikedanese,nikhiljindal,pmorie","Google,Red Hat",2,5116,43.7676447942510052,"bgrant0607,thockin,smarterclayton,lavalamp,mikedanese,brendandburns,wojtek-t,vishh,erictune,derekwaynecarr","Google,Red Hat",2,8581,34.7029562826060582
2015-09-25T23:41:40Z,2016-03-16T22:01:03Z,v1.1.0 - v1.2.0,21650,3155,7123,11372,26768,64029,1105,76,832,546,316,1417,259,10,155,198,82,278,"bryk,gmarek,mwielgus,wojtek-t,ihmccreery,mikedanese,bgrant0607,piosz,thockin,brendandburns",Google,1,6483,29.9445727482678984,"bryk,johndmulhausen,mwielgus,gmarek,piosz,eparis,bgrant0607,brendandburns,a-robinson,dchen1107","Google,Red Hat,Cockroach Labs",3,1625,51.5055467511885895,"bgrant0607,ihmccreery,thockin,gmarek,justinsb,wojtek-t,bprashanth,mikedanese,dchen1107,lavalamp","Google,FathomDB",2,1926,27.0391688895128457,"bryk,gmarek,wojtek-t,mwielgus,mikedanese,piosz,caesarxuchao,eparis,brendandburns,ihmccreery","Google,Red Hat",2,3517,30.9268378473443546,"bgrant0607,lavalamp,wojtek-t,thockin,bryk,davidopp,caesarxuchao,liggitt,smarterclayton,vishh","Google,Red Hat",2,8876,33.1589958158995816,"bgrant0607,wojtek-t,lavalamp,thockin,davidopp,smarterclayton,ixdy,bprashanth,ihmccreery,yujuhong","Google,Red Hat",2,19971,31.1905542800918334
2016-03-16T22:01:03Z,2016-07-01T19:19:06Z,v1.2.0 - v1.3.0,17022,2674,6192,8156,19442,45555,1191,81,918,601,345,1482,278,18,181,209,97,305,"johndmulhausen,bryk,technosophos,eparis,lavalamp,dlorenc,bprashanth,justinsb,mikedanese,mwielgus","Google,Microsoft,Red Hat,FathomDB",4,4717,27.7111972741158501,"johndmulhausen,bryk,eparis,technosophos,lavalamp,mwielgus,roberthbailey,dlorenc,mikedanese,bprashanth","Google,Red Hat,Microsoft",3,1429,53.4405385190725505,"technosophos,lavalamp,bgrant0607,bprashanth,fejta,thockin,justinsb,bryk,wojtek-t,mikedanese","Microsoft,Google,FathomDB",3,1451,23.4334625322997416,"eparis,bryk,technosophos,mwielgus,dlorenc,wojtek-t,justinsb,johndmulhausen,mikedanese,lavalamp","Red Hat,Google,Microsoft,FathomDB",4,2162,26.5080922020598333,"lavalamp,smarterclayton,wojtek-t,thockin,johndmulhausen,bprashanth,pmorie,vishh,derekwaynecarr,nikhiljindal","Google,Red Hat",2,5656,29.0916572369097829,"bgrant0607,lavalamp,smarterclayton,wojtek-t,bprashanth,thockin,bryk,yujuhong,ixdy,vishh","Google,Red Hat",2,11219,24.6273735045549336
2016-07-01T19:19:06Z,2016-09-26T18:09:47Z,v1.3.0 - v1.4.0,15697,2279,5219,8199,17687,41784,1321,104,1025,625,365,1676,287,16,185,203,95,347,"justinsb,pwittrock,dlorenc,bryk,wojtek-t,technosophos,mikedanese,bprashanth,rmmh,fejta","FathomDB,Google,Microsoft",3,3797,24.1893355418232783,"justinsb,pwittrock,bryk,dlorenc,devin-donnelly,mikedanese,rmmh,technosophos,david-mcmahon,johndmulhausen","FathomDB,Google,Microsoft",3,1027,45.0636243966652040,"justinsb,bprashanth,pwittrock,thockin,dlorenc,technosophos,fejta,quinton-hoole,piosz,davidopp","FathomDB,Google,Microsoft",3,1173,22.4755700325732899,"justinsb,wojtek-t,dlorenc,pwittrock,mikedanese,bryk,rmmh,gmarek,fejta,foxish","FathomDB,Google",2,1873,22.8442492986949628,"wojtek-t,thockin,lavalamp,smarterclayton,deads2k,sttts,yujuhong,bprashanth,taotaotheripper,mwielgus","Google,Red Hat,Mesosphere",4,4983,28.1732345790693730,"thockin,smarterclayton,lavalamp,wojtek-t,bprashanth,vishh,pwittrock,taotaotheripper,yujuhong,deads2k","Google,Red Hat",3,8957,21.4364349990426958
2016-09-26T18:09:47Z,2016-12-12T23:29:43Z,v1.4.0 - v1.5.0,19077,3240,6128,9709,15030,48154,1565,130,1177,790,454,2075,376,22,241,275,117,437,"fejta,justinsb,technosophos,spxtr,wojtek-t,chrislovecnm,devin-donnelly,mikedanese,ixdy,bogdando","Google,FathomDB,Microsoft,CNM Consulting,Mirantis",5,4432,23.2321643864339257,"bogdando,devin-donnelly,technosophos,bryk,mbohlool,spxtr,fejta,justinsb,chrislovecnm,rmmh","Mirantis,Google,Microsoft,FathomDB,CNM Consulting",5,1228,37.9012345679012346,"fejta,justinsb,mikedanese,chrislovecnm,technosophos,ixdy,luxas,bprashanth,saad-ali,kris-nova","Google,FathomDB,CNM Consulting,Microsoft,Independent",5,1531,24.9836814621409922,"justinsb,spxtr,wojtek-t,technosophos,fejta,gmarek,devin-donnelly,zmerlynn,rmmh,ixdy","FathomDB,Google,Microsoft",3,2180,22.4533937583685240,"liggitt,wojtek-t,deads2k,ixdy,devin-donnelly,sttts,smarterclayton,chrislovecnm,kargakis,thockin","Red Hat,Google,Mesosphere,CNM Consulting",4,3508,23.3399866932801065,"dims,smarterclayton,mikedanese,saad-ali,chrislovecnm,wojtek-t,thockin,luxas,ixdy,deads2k","Mirantis,Red Hat,Google,CNM Consulting,Independent",5,9662,20.0647921252647755
2016-12-12T23:29:43Z,2017-03-28T16:23:06Z,v1.5.0 - v1.6.0,30081,5623,8810,15648,25662,66826,2326,168,1721,1198,656,3092,556,36,336,453,210,611,"justinsb,chenopis,spxtr,aledbf,krzyzacy,chrislovecnm,technosophos,r2d4,fejta,mattymo","FathomDB,Google,Soficom,CNM Consulting,Microsoft,Mirantis",6,6336,21.0631295502144211,"chenopis,justinsb,aledbf,krzyzacy,devin-donnelly,spxtr,technosophos,chrislovecnm,r2d4,calebamiles","Google,FathomDB,Soficom,Microsoft,CNM Consulting,Red Hat",6,1903,33.8431442290592211,"justinsb,chrislovecnm,jaredbhatti,technosophos,fejta,pmorie,liggitt,kargakis,aledbf,foxish","FathomDB,CNM Consulting,Google,Microsoft,Red Hat,Soficom",6,1574,17.8660612939841090,"justinsb,chenopis,spxtr,krzyzacy,aledbf,deads2k,r2d4,wojtek-t,mattymo,chrislovecnm","FathomDB,Google,Soficom,Red Hat,Mirantis,CNM Consulting",6,3380,21.6002044989775051,"liggitt,deads2k,sttts,justinsb,krzyzacy,chrislovecnm,luxas,kargakis,wojtek-t,smarterclayton","Red Hat,Mesosphere,FathomDB,Google,CNM Consulting,Independent",6,5778,22.5157820902501754,"deads2k,liggitt,smarterclayton,justinsb,chrislovecnm,kargakis,thockin,luxas,ixdy,krzyzacy","Red Hat,FathomDB,CNM Consulting,Google,Independent",5,11461,17.1505102804297728
2017-03-28T16:23:06Z,2017-06-29T22:53:16Z,v1.6.0 - v1.7.0,28464,5397,8779,14288,27554,70090,2585,157,1915,1302,759,3614,601,33,367,489,247,680,"chenopis,aledbf,Steve53,krzyzacy,justinsb,fejta,chrislovecnm,mwielgus,mumoshu,mbohlool","Google,Soficom,FathomDB,CNM Consulting,Cloud Works",6,6146,21.5921866216975829,"chenopis,Steve53,krzyzacy,aledbf,justinsb,runcom,mbohlool,ideahitme,mumoshu,mwielgus","Google,Soficom,FathomDB,Red Hat,Cloud Works",6,2281,42.2642208634426533,"thockin,kargakis,smarterclayton,luxas,aledbf,fejta,chrislovecnm,maciaszczykm,mumoshu,roberthbailey","Google,Red Hat,Independent,Soficom,CNM Consulting,Fujitsu,Cloud Works",7,1625,18.5100808748148992,"chenopis,Steve53,krzyzacy,aledbf,justinsb,mwielgus,chrislovecnm,pwittrock,fejta,spxtr","Google,Soficom,FathomDB,CNM Consulting",5,3030,21.2066069428891377,"liggitt,taotaotheripper,deads2k,sttts,kargakis,fejta,smarterclayton,wojtek-t,krzyzacy,caesarxuchao","Red Hat,Mesosphere,Google",4,5714,20.7374609857008057,"kargakis,liggitt,smarterclayton,thockin,zhaoxpZTE,chrislovecnm,fejta,luxas,caesarxuchao,deads2k","Red Hat,Google,CNM Consulting,Independent",5,10443,14.8994150378085319
2017-06-29T22:53:16Z,2017-09-28T22:13:57Z,v1.7.0 - v1.8.0,31372,5916,8093,17363,32107,77244,2793,182,2047,1422,841,3744,634,39,379,530,268,689,"chenopis,krzyzacy,aledbf,Steve53,taotaotheripper,shyamjvs,mwielgus,mattymo,r2d4,unguiculus","Google,Soficom,Mirantis,Codecentric AG",5,6379,20.3334183348208594,"chenopis,krzyzacy,Steve53,aledbf,unguiculus,mgoodness,mwielgus,taotaotheripper,wongma7,mrunalp","Google,Soficom,Codecentric AG,WIDEN,Red Hat",6,2432,41.1088573360378634,"luxas,floreks,aledbf,maciaszczykm,zacharysarah,kargakis,taotaotheripper,liggitt,chrislovecnm,mumoshu","Independent,Fujitsu,Soficom,CNCF,Red Hat,CNM Consulting,Cloud Works",8,1204,14.8770542444087483,"chenopis,krzyzacy,aledbf,shyamjvs,Steve53,taotaotheripper,mattymo,mwielgus,unguiculus,justinsb","Google,Soficom,Mirantis,Codecentric AG,FathomDB",6,3415,19.6682600933018488,"sttts,luxas,liggitt,msau42,taotaotheripper,rhatdan,deads2k,krzyzacy,crimsonfaith91,pmorie","Mesosphere,Independent,Red Hat,Google",5,6164,19.1983056654312144,"zhaoxpZTE,luxas,krzyzacy,liggitt,dims,sttts,shyamjvs,chrislovecnm,aledbf,smarterclayton","Independent,Google,Red Hat,Huawei,Mesosphere,CNM Consulting,Soficom",8,11380,14.7325358603904510
2017-09-28T22:13:57Z,2017-12-15T20:53:13Z,v1.8.0 - v1.9.0,25011,4098,7501,13412,23936,63195,2851,166,2021,1463,817,3881,558,38,308,468,226,631,"aledbf,Steve53,taotaotheripper,mattymo,unguiculus,BenTheElder,tengqm,chrislovecnm,justinsb,bacongobbler","Soficom,Mirantis,Codecentric AG,Google,IBM,CNM Consulting,FathomDB,Microsoft",9,4522,18.0800447802966695,"Steve53,chenopis,aledbf,unguiculus,taotaotheripper,alexcontini,mattymo,tengqm,mrunalp,zacharysarah","Google,Soficom,Codecentric AG,CNCF,Mirantis,IBM,Red Hat",8,1579,38.5309907271839922,"chrislovecnm,aledbf,bacongobbler,luxas,irfanurrehman,taotaotheripper,floreks,liggitt,BenTheElder,bowei","CNM Consulting,Soficom,Microsoft,Independent,Huawei,Fujitsu,Red Hat,Google",9,1350,17.9976003199573390,"Steve53,aledbf,taotaotheripper,justinsb,BenTheElder,unguiculus,mattymo,viglesiasce,krzyzacy,tengqm","Soficom,FathomDB,Google,Codecentric AG,Mirantis,IBM",7,2575,19.1992245750074560,"liggitt,sttts,luxas,msau42,taotaotheripper,deads2k,unguiculus,BenTheElder,caesarxuchao,zhaoxpZTE","Red Hat,Mesosphere,Independent,Google,Codecentric AG",6,4924,20.5715240641711230,"BenTheElder,dims,chrislovecnm,krzyzacy,irfanurrehman,liggitt,zhaoxpZTE,sttts,cblecker,luxas","Google,Huawei,CNM Consulting,Red Hat,Mesosphere,Kelowna,Independent",8,11423,18.0757971358493552
