Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Before joining CNCF,1/1/2014,3/10/2016,1,2,3,3,5,6,6,7,9,12,18,47,118,134
Since joining CNCF,3/10/2016,4/13/2018,1,2,3,4,7,10,12,14,17,21,33,50,96,127
2014,1/1/2014,1/1/2015,1,2,2,2,4,4,5,7,8,11,29,58,108,108
2015,1/1/2015,1/1/2016,1,1,2,3,4,5,6,9,10,12,19,41,44,44
2016,1/1/2016,1/1/2017,1,2,3,4,6,8,11,13,15,21,27,39,65,65
2017,1/1/2017,1/1/2018,1,2,3,3,6,10,13,16,18,24,35,53,100,103
2018,1/1/2018,4/13/2018,1,2,3,3,7,11,12,14,15,22,34,63,84,84
01/2014,1/1/2014,2/1/2014,1,1,2,3,6,7,8,8,8,8,8,8,8,8
02/2014,2/1/2014,3/1/2014,1,1,2,2,5,9,10,10,10,10,10,10,10,10
03/2014,3/1/2014,4/1/2014,1,1,2,4,6,8,9,9,9,9,9,9,9,9
04/2014,4/1/2014,5/1/2014,1,1,2,4,5,7,9,9,9,9,9,9,9,9
05/2014,5/1/2014,6/1/2014,1,2,2,2,6,8,9,9,9,9,9,9,9,9
06/2014,6/1/2014,7/1/2014,1,1,2,3,5,6,8,8,10,16,23,23,23,23
07/2014,7/1/2014,8/1/2014,1,1,2,2,3,4,6,8,12,14,26,26,26,26
08/2014,8/1/2014,9/1/2014,1,1,2,3,4,4,5,6,6,11,24,24,24,24
09/2014,9/1/2014,10/1/2014,1,2,2,2,3,5,6,6,8,13,23,23,23,23
10/2014,10/1/2014,11/1/2014,1,1,1,2,3,3,5,7,7,15,28,28,28,28
11/2014,11/1/2014,12/1/2014,1,1,2,2,3,5,6,6,7,14,29,36,36,36
