Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Before joining CNCF,1/1/2014,3/10/2016,1,1,1,1,2,5,5,5,5,6,11,18,39,123,263
Since joining CNCF,3/10/2016,4/13/2018,1,2,2,3,4,7,9,12,13,15,19,28,45,106,233
2014,1/1/2014,1/1/2015,1,1,2,2,2,4,4,6,8,9,10,28,66,133,179
2015,1/1/2015,1/1/2016,1,1,2,2,2,4,4,4,6,6,9,16,41,127,265
2016,1/1/2016,1/1/2017,1,2,2,3,3,5,6,8,10,11,16,22,39,104,249
2017,1/1/2017,1/1/2018,1,2,3,3,3,6,8,12,15,15,22,31,50,118,272
2018,1/1/2018,4/13/2018,1,2,3,4,4,7,10,14,16,17,24,34,59,107,201
01/2014,1/1/2014,2/1/2014,1,1,2,3,3,6,8,9,11,13,13,13,13,13,13
02/2014,2/1/2014,3/1/2014,1,2,2,2,2,5,8,10,11,12,13,13,13,13,13
03/2014,3/1/2014,4/1/2014,1,2,2,3,4,7,8,11,11,11,17,17,17,17,17
04/2014,4/1/2014,5/1/2014,1,2,2,3,4,5,7,8,11,15,19,19,19,19,19
05/2014,5/1/2014,6/1/2014,1,2,2,2,2,6,8,8,11,12,17,17,17,17,17
06/2014,6/1/2014,7/1/2014,1,1,2,2,3,5,6,8,8,9,17,31,31,31,31
07/2014,7/1/2014,8/1/2014,1,1,2,2,2,4,5,6,9,10,14,28,36,36,36
08/2014,8/1/2014,9/1/2014,1,1,2,2,2,4,4,4,5,6,12,28,43,43,43
09/2014,9/1/2014,10/1/2014,1,1,1,1,2,3,4,5,6,7,12,23,37,37,37
10/2014,10/1/2014,11/1/2014,1,1,1,1,1,3,4,5,6,7,15,29,43,43,43
11/2014,11/1/2014,12/1/2014,1,1,1,1,1,2,4,6,6,7,13,31,54,54,54
12/2014,12/1/2014,1/1/2015,1,1,2,2,2,4,4,5,8,8,13,29,53,64,64
01/2015,1/1/2015,2/1/2015,1,2,2,2,2,3,4,6,7,9,12,31,57,64,64
02/2015,2/1/2015,3/1/2015,1,2,2,2,2,4,6,8,8,8,10,22,49,76,76
03/2015,3/1/2015,4/1/2015,1,1,2,2,2,4,4,4,5,5,7,16,51,96,96
04/2015,4/1/2015,5/1/2015,1,2,2,2,2,3,4,5,6,6,9,17,50,95,95
05/2015,5/1/2015,6/1/2015,1,2,3,3,3,3,3,4,4,6,9,19,55,118,118
06/2015,6/1/2015,7/1/2015,1,2,2,2,2,3,3,5,6,9,12,18,56,115,115
07/2015,7/1/2015,8/1/2015,1,1,1,2,2,4,4,4,4,5,8,21,46,130,130
08/2015,8/1/2015,9/1/2015,1,2,2,2,2,3,3,4,6,7,9,18,52,138,154
09/2015,9/1/2015,10/1/2015,1,2,2,2,2,4,4,4,4,7,11,16,50,127,143
10/2015,10/1/2015,11/1/2015,1,2,2,3,3,4,5,7,7,8,12,19,39,124,136
11/2015,11/1/2015,12/1/2015,1,2,2,3,3,4,8,9,9,9,12,18,44,130,143
12/2015,12/1/2015,1/1/2016,1,1,1,1,2,4,7,8,9,10,12,18,47,122,139
01/2016,1/1/2016,2/1/2016,1,1,2,2,3,4,6,8,9,11,13,23,49,129,153
02/2016,2/1/2016,3/1/2016,1,1,1,1,1,4,6,7,9,9,12,23,42,116,157
03/2016,3/1/2016,4/1/2016,1,1,2,2,2,4,5,7,8,10,16,23,51,122,190
04/2016,4/1/2016,5/1/2016,1,1,2,2,3,6,9,9,10,11,12,20,54,122,187
05/2016,5/1/2016,6/1/2016,1,2,3,3,3,4,5,7,9,10,13,22,50,128,231
06/2016,6/1/2016,7/1/2016,1,2,3,3,3,5,5,6,6,7,12,19,42,115,205
07/2016,7/1/2016,8/1/2016,1,2,2,3,4,7,10,12,13,13,18,23,44,110,218
08/2016,8/1/2016,9/1/2016,1,2,3,4,5,6,6,7,8,9,13,23,44,105,205
09/2016,9/1/2016,10/1/2016,1,2,2,2,3,3,5,8,10,11,14,23,41,127,196
10/2016,10/1/2016,11/1/2016,1,2,3,3,3,6,7,9,9,11,15,24,49,123,227
11/2016,11/1/2016,12/1/2016,1,1,2,2,3,5,8,11,12,12,18,28,42,110,218
12/2016,12/1/2016,1/1/2017,1,2,2,3,4,8,9,11,13,13,18,27,47,135,242
01/2017,1/1/2017,2/1/2017,1,2,2,2,3,7,10,11,13,13,19,24,47,137,247
02/2017,2/1/2017,3/1/2017,1,2,3,3,3,5,9,11,13,14,22,32,55,137,257
03/2017,3/1/2017,4/1/2017,1,2,2,3,4,7,8,12,13,15,21,28,50,137,235
04/2017,4/1/2017,5/1/2017,1,2,3,3,4,7,10,14,15,17,21,31,52,133,242
05/2017,5/1/2017,6/1/2017,1,1,1,2,3,6,8,10,12,15,21,34,52,132,244
06/2017,6/1/2017,7/1/2017,1,1,2,3,4,6,6,7,10,12,18,27,50,123,244
07/2017,7/1/2017,8/1/2017,1,2,2,3,3,5,9,12,14,15,19,34,54,145,259
08/2017,8/1/2017,9/1/2017,1,1,2,2,3,4,7,12,14,15,21,33,54,134,250
09/2017,9/1/2017,10/1/2017,1,2,2,2,2,5,7,8,10,12,21,34,51,133,241
10/2017,10/1/2017,11/1/2017,0,1,2,3,4,8,11,13,15,18,24,38,53,131,239
11/2017,11/1/2017,12/1/2017,1,2,3,4,5,8,11,11,14,18,24,36,54,130,243
12/2017,12/1/2017,1/1/2018,1,2,3,4,5,8,11,12,14,17,26,38,57,131,215
01/2018,1/1/2018,2/1/2018,1,2,3,4,5,8,11,13,15,18,25,37,50,121,208
02/2018,2/1/2018,3/1/2018,1,2,3,4,5,8,10,14,15,16,21,32,51,110,168
03/2018,3/1/2018,4/1/2018,1,1,2,3,4,7,10,11,14,15,23,34,57,104,171
04/2018,4/1/2018,5/1/2018,1,2,3,3,4,9,10,11,13,16,23,37,58,99,166
Quarter from 01/2014,1/1/2014,4/1/2014,1,1,2,3,3,5,9,11,13,15,17,24,24,24,24
Quarter from 04/2014,4/1/2014,7/1/2014,1,1,2,3,3,5,6,7,9,12,19,37,43,43,43
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,2,2,2,4,4,4,4,6,13,29,56,79,79
Quarter from 10/2014,10/1/2014,1/1/2015,1,1,1,1,1,4,4,5,6,7,12,25,61,109,109
Quarter from 01/2015,1/1/2015,4/1/2015,1,2,2,2,2,4,4,7,7,7,9,17,55,133,155
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,2,3,3,3,4,4,5,5,10,17,53,132,205
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,2,2,2,2,2,4,5,7,11,18,50,133,247
Quarter from 10/2015,10/1/2015,1/1/2016,1,2,2,2,2,4,5,7,10,10,11,19,39,128,249
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,1,1,3,5,7,10,12,13,22,43,124,231
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,2,2,3,5,7,8,9,11,13,21,45,126,232
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,3,4,4,5,7,10,11,12,13,21,39,114,214
Quarter from 10/2016,10/1/2016,1/1/2017,1,2,3,4,4,6,9,9,11,12,16,24,43,122,256
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,3,3,4,6,8,11,12,13,18,30,48,134,273
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,3,4,4,5,9,10,11,15,21,31,51,124,266
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,1,2,3,4,8,11,12,14,21,35,55,130,280
Quarter from 10/2017,10/1/2017,1/1/2018,1,2,2,3,4,8,11,14,18,20,24,37,56,129,259
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,3,4,4,7,11,12,14,16,24,34,58,107,200
Quarter from 04/2018,4/1/2018,7/1/2018,1,2,3,3,4,9,11,11,14,16,23,36,59,98,152
