Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 4 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
01/2014,1/1/2014,2/1/2014,1,1,2,3,3,6,7,8,8,8,8,8,8,8,8
02/2014,2/1/2014,3/1/2014,1,1,2,2,2,5,9,10,10,10,10,10,10,10,10
03/2014,3/1/2014,4/1/2014,1,1,2,3,4,6,8,9,9,9,9,9,9,9,9
04/2014,4/1/2014,5/1/2014,1,1,2,3,4,5,7,9,9,9,9,9,9,9,9
05/2014,5/1/2014,6/1/2014,1,2,2,2,2,6,8,9,9,9,9,9,9,9,9
06/2014,6/1/2014,7/1/2014,1,1,2,3,3,5,6,8,8,10,16,22,22,22,22
07/2014,7/1/2014,8/1/2014,1,1,2,2,2,3,4,6,8,11,13,25,25,25,25
08/2014,8/1/2014,9/1/2014,1,1,2,3,3,4,4,5,6,6,10,23,23,23,23
09/2014,9/1/2014,10/1/2014,1,2,2,2,2,3,5,5,5,7,12,22,22,22,22
10/2014,10/1/2014,11/1/2014,1,1,1,2,2,3,3,5,7,7,15,27,27,27,27
11/2014,11/1/2014,12/1/2014,1,1,2,2,2,3,5,6,6,7,14,29,35,35,35
12/2014,12/1/2014,1/1/2015,1,1,2,2,2,4,5,7,7,8,15,28,49,49,49
01/2015,1/1/2015,2/1/2015,1,1,2,3,3,5,5,7,7,8,16,17,17,17,17
02/2015,2/1/2015,3/1/2015,1,1,1,2,3,5,7,8,8,8,12,16,16,16,16
03/2015,3/1/2015,4/1/2015,1,2,3,3,3,5,5,6,6,6,7,13,13,13,13
04/2015,4/1/2015,5/1/2015,1,2,3,3,3,5,5,5,7,8,11,16,16,16,16
05/2015,5/1/2015,6/1/2015,1,2,2,3,3,3,4,5,5,7,10,17,17,17,17
06/2015,6/1/2015,7/1/2015,1,1,2,3,3,4,4,7,9,10,11,18,18,18,18
07/2015,7/1/2015,8/1/2015,1,2,2,3,3,3,4,4,6,7,9,14,14,14,14
08/2015,8/1/2015,9/1/2015,1,2,2,3,4,5,6,8,8,8,11,19,19,19,19
09/2015,9/1/2015,10/1/2015,1,1,2,3,4,6,7,9,9,9,11,18,19,19,19
10/2015,10/1/2015,11/1/2015,1,1,2,3,4,7,8,9,10,12,13,18,20,20,20
11/2015,11/1/2015,12/1/2015,1,2,3,4,5,8,8,9,10,10,13,18,20,20,20
12/2015,12/1/2015,1/1/2016,1,2,3,4,5,6,7,7,10,11,12,21,22,22,22
01/2016,1/1/2016,2/1/2016,1,2,2,3,4,6,10,10,11,12,16,21,23,23,23
02/2016,2/1/2016,3/1/2016,1,2,3,4,4,6,7,9,10,11,18,20,24,24,24
03/2016,3/1/2016,4/1/2016,1,1,1,2,3,5,6,8,10,13,15,25,30,30,30
04/2016,4/1/2016,5/1/2016,1,2,3,3,4,6,10,10,11,12,15,25,29,29,29
05/2016,5/1/2016,6/1/2016,1,2,3,3,3,6,8,9,10,12,17,23,31,31,31
06/2016,6/1/2016,7/1/2016,1,1,2,3,4,6,8,10,10,11,16,23,33,33,33
07/2016,7/1/2016,8/1/2016,1,2,3,4,5,8,10,12,14,15,20,24,36,36,36
08/2016,8/1/2016,9/1/2016,1,2,3,4,4,7,9,9,10,13,18,26,35,35,35
09/2016,9/1/2016,10/1/2016,1,2,3,4,4,7,10,12,12,13,17,25,38,38,38
10/2016,10/1/2016,11/1/2016,1,2,2,2,3,6,9,10,12,12,18,26,38,38,38
11/2016,11/1/2016,12/1/2016,1,2,3,3,4,6,9,11,12,14,20,29,41,41,41
12/2016,12/1/2016,1/1/2017,1,2,3,4,4,7,11,12,14,15,18,27,38,40,40
01/2017,1/1/2017,2/1/2017,1,2,3,3,4,7,11,13,13,16,18,27,41,43,43
02/2017,2/1/2017,3/1/2017,1,2,2,3,3,5,7,12,15,17,21,32,48,52,52
03/2017,3/1/2017,4/1/2017,1,2,3,3,4,7,8,10,12,14,22,31,49,55,55
04/2017,4/1/2017,5/1/2017,1,2,2,3,3,6,10,12,13,14,21,34,44,49,49
05/2017,5/1/2017,6/1/2017,1,2,3,3,4,7,10,11,14,16,24,33,47,53,53
06/2017,6/1/2017,7/1/2017,1,2,2,3,3,7,9,12,14,14,21,33,48,57,57
07/2017,7/1/2017,8/1/2017,1,2,3,3,3,5,8,11,14,17,26,37,51,58,58
08/2017,8/1/2017,9/1/2017,1,1,2,3,4,5,10,13,14,16,24,35,50,62,62
09/2017,9/1/2017,10/1/2017,1,2,3,3,3,5,8,10,14,17,22,33,52,59,59
10/2017,10/1/2017,11/1/2017,1,1,2,3,3,8,10,11,14,17,27,37,52,66,66
11/2017,11/1/2017,12/1/2017,1,2,3,4,5,8,10,11,14,18,28,38,55,64,64
12/2017,12/1/2017,1/1/2018,1,2,3,3,4,9,12,14,14,18,26,37,57,68,68
01/2018,1/1/2018,2/1/2018,1,2,3,3,4,7,11,14,16,19,25,36,55,67,67
02/2018,2/1/2018,3/1/2018,1,2,3,3,3,7,11,14,15,17,23,32,56,64,64
03/2018,3/1/2018,4/1/2018,1,1,2,3,4,6,9,12,14,16,22,36,61,67,67
04/2018,4/1/2018,5/1/2018,1,2,2,3,4,7,9,13,15,16,21,37,60,60,60
