Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
01/2014,1/1/2014,2/1/2014,48.6%,69.1%,82.1%,84.7%,86.9%,92.3%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%
02/2014,2/1/2014,3/1/2014,40.8%,72.6%,77.9%,82.3%,85.4%,92.6%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%,93.4%
03/2014,3/1/2014,4/1/2014,38.3%,62.3%,69.7%,75.8%,80.2%,87.9%,89.5%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%,90.1%
04/2014,4/1/2014,5/1/2014,34.3%,60.9%,72.7%,78.2%,81.2%,86.1%,87.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%
05/2014,5/1/2014,6/1/2014,36.1%,69.5%,79.3%,82.4%,85.2%,90.8%,92.7%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%
06/2014,6/1/2014,7/1/2014,64.5%,73.1%,81.6%,85.6%,88.9%,92.6%,94.0%,94.7%,95.3%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
07/2014,7/1/2014,8/1/2014,59.2%,77.4%,81.5%,85.5%,87.0%,91.6%,93.5%,94.4%,94.8%,95.2%,95.4%,95.4%,95.4%,95.4%,95.4%
08/2014,8/1/2014,9/1/2014,51.5%,76.1%,82.6%,87.9%,89.1%,91.9%,93.0%,93.7%,94.1%,94.4%,94.9%,94.9%,94.9%,94.9%,94.9%
09/2014,9/1/2014,10/1/2014,57.2%,75.1%,81.4%,83.5%,85.3%,90.2%,91.6%,92.4%,92.8%,93.0%,93.2%,93.2%,93.2%,93.2%,93.2%
10/2014,10/1/2014,11/1/2014,60.3%,77.0%,83.7%,87.4%,89.0%,92.7%,94.2%,95.2%,95.8%,96.0%,96.4%,96.4%,96.4%,96.4%,96.4%
11/2014,11/1/2014,12/1/2014,57.8%,72.6%,78.6%,82.6%,84.6%,88.7%,90.4%,91.3%,91.9%,92.4%,93.4%,93.6%,93.6%,93.6%,93.6%
12/2014,12/1/2014,1/1/2015,49.2%,63.9%,70.4%,75.5%,77.0%,82.4%,85.3%,86.6%,87.7%,88.4%,89.7%,90.0%,90.0%,90.0%,90.0%
01/2015,1/1/2015,2/1/2015,48.6%,65.2%,75.4%,80.3%,84.9%,89.8%,91.3%,92.2%,92.7%,93.1%,94.0%,94.4%,94.4%,94.4%,94.4%
02/2015,2/1/2015,3/1/2015,50.9%,66.1%,76.4%,79.6%,82.0%,88.9%,90.6%,91.6%,92.3%,92.7%,93.7%,94.4%,94.4%,94.4%,94.4%
03/2015,3/1/2015,4/1/2015,62.6%,73.5%,80.2%,83.1%,85.7%,89.4%,90.7%,91.4%,92.0%,92.4%,93.3%,94.2%,94.2%,94.2%,94.2%
04/2015,4/1/2015,5/1/2015,59.8%,72.0%,77.4%,79.7%,81.9%,87.7%,89.7%,90.6%,91.1%,91.6%,92.8%,93.9%,93.9%,93.9%,93.9%
