Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Quarter from 01/2014,1/1/2014,4/1/2014,1,1,2,3,5,8,10,12,13,13,13,13,13,13
Quarter from 04/2014,4/1/2014,7/1/2014,1,2,2,3,5,6,8,10,11,15,26,26,26,26
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,2,3,3,4,4,5,7,12,26,46,46,46
Quarter from 10/2014,10/1/2014,1/1/2015,1,1,1,2,3,4,6,6,7,13,27,57,77,77
Quarter from 01/2015,1/1/2015,4/1/2015,1,2,2,3,4,6,6,7,7,9,18,20,20,20
Quarter from 04/2015,4/1/2015,7/1/2015,1,2,2,3,4,4,4,5,7,12,19,22,22,22
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,2,3,4,7,8,9,11,11,19,26,26,26
Quarter from 10/2015,10/1/2015,1/1/2016,1,2,3,5,7,9,9,11,11,13,22,28,28,28
Quarter from 01/2016,1/1/2016,4/1/2016,1,2,2,3,6,9,10,10,12,17,24,35,35,35
Quarter from 04/2016,4/1/2016,7/1/2016,1,2,2,4,6,7,8,10,11,19,24,44,44,44
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,3,5,9,10,11,12,15,19,25,42,47,47
Quarter from 10/2016,10/1/2016,1/1/2017,1,2,2,3,6,9,12,15,16,19,26,43,49,49
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,2,3,6,8,10,12,13,23,31,47,63,63
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,2,4,7,10,12,13,16,22,35,49,63,63
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,2,3,5,10,12,15,17,23,35,54,76,76
Quarter from 10/2017,10/1/2017,1/1/2018,1,2,3,4,7,10,13,17,20,27,39,57,84,84
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,3,4,7,11,11,14,16,23,35,61,81,81
Quarter from 04/2018,4/1/2018,7/1/2018,1,2,2,4,7,9,13,15,16,22,38,61,61,61
