Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,39.5%,68.5%,77.1%,80.5%,83.8%,89.7%,91.7%,92.2%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%,92.5%
Quarter from 04/2014,4/1/2014,7/1/2014,45.8%,63.0%,78.5%,83.2%,85.9%,89.8%,91.5%,92.5%,93.0%,93.4%,94.2%,94.2%,94.2%,94.2%,94.2%
Quarter from 07/2014,7/1/2014,10/1/2014,55.9%,76.2%,81.4%,85.7%,86.5%,89.4%,91.2%,92.2%,92.8%,93.2%,94.0%,94.5%,94.5%,94.5%,94.5%
Quarter from 10/2014,10/1/2014,1/1/2015,55.5%,70.8%,76.7%,81.6%,82.9%,86.4%,88.4%,89.6%,90.4%,90.8%,92.1%,93.1%,93.2%,93.2%,93.2%
Quarter from 01/2015,1/1/2015,4/1/2015,55.3%,67.2%,77.8%,81.2%,84.4%,88.8%,90.1%,91.1%,91.6%,92.0%,92.9%,93.9%,94.3%,94.3%,94.3%
Quarter from 04/2015,4/1/2015,7/1/2015,59.9%,68.9%,77.5%,80.4%,82.4%,87.6%,89.9%,90.9%,91.4%,91.8%,92.8%,93.9%,94.6%,94.6%,94.6%
Quarter from 07/2015,7/1/2015,10/1/2015,58.8%,65.9%,72.0%,75.2%,77.6%,84.8%,87.5%,88.7%,89.4%,89.8%,90.8%,92.2%,93.1%,93.4%,93.4%
Quarter from 10/2015,10/1/2015,1/1/2016,50.5%,59.3%,63.3%,67.0%,70.4%,80.8%,84.3%,85.9%,86.9%,87.5%,88.7%,89.8%,90.7%,91.1%,91.1%
Quarter from 01/2016,1/1/2016,4/1/2016,46.7%,53.0%,58.4%,62.0%,64.8%,74.6%,80.2%,82.9%,84.5%,85.5%,87.2%,88.5%,89.4%,89.9%,89.9%
Quarter from 04/2016,4/1/2016,7/1/2016,43.9%,53.3%,57.4%,60.7%,63.7%,74.0%,78.0%,80.5%,82.1%,83.0%,85.1%,86.8%,88.0%,88.8%,88.8%
Quarter from 07/2016,7/1/2016,10/1/2016,39.7%,49.2%,53.5%,56.9%,59.6%,69.3%,73.8%,77.0%,79.1%,80.3%,83.0%,84.7%,85.9%,86.9%,86.9%
Quarter from 10/2016,10/1/2016,1/1/2017,35.2%,45.1%,50.0%,53.1%,56.2%,65.3%,70.2%,73.1%,75.6%,77.5%,80.4%,82.8%,84.4%,85.8%,86.0%
Quarter from 01/2017,1/1/2017,4/1/2017,31.5%,42.2%,45.6%,48.2%,50.7%,60.3%,66.1%,70.1%,72.6%,74.5%,78.8%,82.0%,84.0%,85.7%,86.2%
Quarter from 04/2017,4/1/2017,7/1/2017,30.4%,40.5%,43.6%,46.3%,48.7%,56.8%,63.0%,67.0%,70.0%,71.8%,76.2%,79.7%,81.5%,83.4%,83.9%
Quarter from 07/2017,7/1/2017,10/1/2017,29.9%,38.9%,41.7%,43.8%,45.9%,53.9%,59.6%,63.7%,66.7%,69.0%,74.1%,77.8%,79.9%,81.9%,82.5%
Quarter from 10/2017,10/1/2017,1/1/2018,24.0%,31.4%,34.6%,37.6%,39.6%,48.2%,54.0%,58.8%,62.6%,64.9%,70.8%,74.6%,76.6%,78.6%,79.1%
Quarter from 01/2018,1/1/2018,4/1/2018,21.7%,29.1%,34.1%,36.4%,38.6%,47.5%,53.2%,56.7%,59.7%,62.0%,66.8%,71.0%,72.7%,74.1%,74.2%
Quarter from 04/2018,4/1/2018,7/1/2018,21.1%,26.5%,31.5%,34.6%,37.6%,45.4%,51.0%,54.9%,57.6%,59.7%,65.0%,68.8%,70.6%,70.6%,70.6%
