date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,n_top_contributing_coms 1000,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
2014-01-01T00:00:00Z,2014-04-01T00:00:00Z,Quarter from 2014-01,1,1,2,3,5,8,11,12,15,17,24,24,24,24,22.1052631578947368,38.7218045112781955,53.6090225563909774,66.4661654135338346,80.3007518796992481,86.4661654135338346,90.7518796992481203,93.1578947368421053,94.2857142857142857,96.9924812030075188,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-04-01T00:00:00Z,2014-07-01T00:00:00Z,Quarter from 2014-04,1,1,2,3,5,6,7,8,11,18,37,44,44,44,14.7058823529411765,28.3088235294117647,39.8692810457516340,56.7401960784313725,73.1617647058823529,79.1258169934640523,82.9656862745098039,86.0294117647058824,88.3986928104575163,93.3415032679738562,98.0800653594771242,100.0000000000000000,100.0000000000000000,100.0000000000000000
2014-07-01T00:00:00Z,2014-10-01T00:00:00Z,Quarter from 2014-07,1,1,2,2,4,4,4,4,6,14,30,56,80,80,15.0313971742543171,26.0989010989010989,33.3071690214547357,43.0141287284144427,55.8477237048665620,62.9251700680272109,68.6289900575614861,73.0376766091051805,76.7399267399267399,86.5384615384615385,94.6493982208267923,98.3254840397697541,100.0000000000000000,100.0000000000000000
2014-10-01T00:00:00Z,2015-01-01T00:00:00Z,Quarter from 2014-10,1,1,1,1,4,4,5,6,7,12,25,63,110,110,8.8481866229269182,14.9808638600328048,20.2660834700200474,28.7953344268270457,44.6783305995990523,55.5221432476763259,62.5022781119008566,67.2954255513030800,71.4780390012757427,81.7477674503371606,91.8261344997266266,96.9564425004556224,100.0000000000000000,100.0000000000000000
2015-01-01T00:00:00Z,2015-04-01T00:00:00Z,Quarter from 2015-01,1,2,2,2,4,4,7,7,7,9,18,56,134,156,6.2899711856068592,10.6402417597863518,14.6391172956637852,21.4421252371916509,35.1676154332700822,46.0538337198678755,53.3628505165507063,58.7813620071684588,63.2721905966687750,77.1452667088340713,89.4230093471080188,95.2631948836882423,99.0652891981165226,100.0000000000000000
2015-04-01T00:00:00Z,2015-07-01T00:00:00Z,Quarter from 2015-04,1,1,2,3,3,4,4,5,5,10,18,53,137,206,3.5544675642594859,6.7368421052631579,9.4394124847001224,14.4479804161566707,24.9106487148102815,33.8261933904528764,41.3219094247246022,47.5446756425948592,53.0526315789473684,69.3904528763769890,87.3635250917992656,93.4100367197062424,98.1150550795593635,100.0000000000000000
2015-07-01T00:00:00Z,2015-10-01T00:00:00Z,Quarter from 2015-07,1,1,2,2,2,2,4,5,7,11,18,51,137,250,2.7672203954392108,5.4917367724302857,8.1650083272835974,13.1955417004740146,22.8637314771319981,30.3497459110902336,37.0158431908442584,42.7253704573600376,47.4783277106375710,62.5613870265191955,82.7091429303497459,90.8997736687022249,96.4555664688047145,99.3295469103642653
2015-10-01T00:00:00Z,2016-01-01T00:00:00Z,Quarter from 2015-10,1,2,2,2,4,5,7,10,10,11,20,40,129,250,2.2434791183866673,4.4524431734135398,6.6466150584290715,10.5468172180858932,19.0030077412356393,26.0785957299935901,32.1236625412948079,37.4734973620630146,42.3302598491198659,58.0050293378038558,78.7683053103890341,88.8121887480893447,95.3108821064050096,98.6933583156649080
2016-01-01T00:00:00Z,2016-04-01T00:00:00Z,Quarter from 2016-01,1,1,1,1,3,5,7,10,12,13,23,44,125,232,2.9329971448700360,5.2615966480032630,7.3083911157254626,11.0311839519448255,18.8030701917015833,25.4143646408839779,31.2506952426860469,36.4529645148133042,40.9878008083354963,54.6738848307315807,74.9378916533798064,87.6524898958062961,94.4788460825392117,97.9087100003707961
2016-04-01T00:00:00Z,2016-07-01T00:00:00Z,Quarter from 2016-04,1,1,2,3,5,7,8,9,11,15,22,46,133,240,4.1907362671988237,5.9027413086860624,7.5972411861499142,10.8847109897419739,18.0513251409165704,24.2481532051955327,29.7762840037811154,34.4536638308300949,38.5988866715681126,51.7382627875223191,71.2110072471379057,83.9967790498196968,92.1401813534992823,96.3904351783776214
2016-07-01T00:00:00Z,2016-10-01T00:00:00Z,Quarter from 2016-07,1,2,3,4,5,7,10,12,13,14,22,40,113,221,3.3565999689778191,4.8487668683108423,6.3285248953001396,9.1422366992399566,15.3497750891887700,20.5615014735535908,25.2086241662788894,29.3749030556848146,33.3395377695051962,45.3047929269427641,63.2449201178842873,79.8138669148441135,89.9581200558399255,94.5866294400496355
