Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 2014-01,1/1/2014,4/1/2014,22.1%,38.7%,53.6%,66.5%,80.3%,86.5%,90.8%,93.2%,94.3%,97.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 2014-04,4/1/2014,7/1/2014,14.7%,28.3%,39.9%,56.7%,73.2%,79.1%,83.0%,86.0%,88.4%,93.3%,98.1%,100.0%,100.0%,100.0%
Quarter from 2014-07,7/1/2014,10/1/2014,15.0%,26.1%,33.3%,43.0%,55.8%,62.9%,68.6%,73.0%,76.7%,86.5%,94.6%,98.3%,100.0%,100.0%
Quarter from 2014-10,10/1/2014,1/1/2015,8.8%,15.0%,20.3%,28.8%,44.7%,55.5%,62.5%,67.3%,71.5%,81.7%,91.8%,97.0%,100.0%,100.0%
Quarter from 2015-01,1/1/2015,4/1/2015,6.3%,10.6%,14.6%,21.4%,35.2%,46.1%,53.4%,58.8%,63.3%,77.1%,89.4%,95.3%,99.1%,100.0%
Quarter from 2015-04,4/1/2015,7/1/2015,3.6%,6.7%,9.4%,14.4%,24.9%,33.8%,41.3%,47.5%,53.1%,69.4%,87.4%,93.4%,98.1%,100.0%
Quarter from 2015-07,7/1/2015,10/1/2015,2.8%,5.5%,8.2%,13.2%,22.9%,30.3%,37.0%,42.7%,47.5%,62.6%,82.7%,90.9%,96.5%,99.3%
Quarter from 2015-10,10/1/2015,1/1/2016,2.2%,4.5%,6.6%,10.5%,19.0%,26.1%,32.1%,37.5%,42.3%,58.0%,78.8%,88.8%,95.3%,98.7%
Quarter from 2016-01,1/1/2016,4/1/2016,2.9%,5.3%,7.3%,11.0%,18.8%,25.4%,31.3%,36.5%,41.0%,54.7%,74.9%,87.7%,94.5%,97.9%
Quarter from 2016-04,4/1/2016,7/1/2016,4.2%,5.9%,7.6%,10.9%,18.1%,24.2%,29.8%,34.5%,38.6%,51.7%,71.2%,84.0%,92.1%,96.4%
Quarter from 2016-07,7/1/2016,10/1/2016,3.4%,4.8%,6.3%,9.1%,15.3%,20.6%,25.2%,29.4%,33.3%,45.3%,63.2%,79.8%,90.0%,94.6%
Quarter from 2016-10,10/1/2016,1/1/2017,1.9%,3.9%,5.6%,8.7%,15.1%,20.2%,24.7%,28.7%,32.4%,44.0%,61.6%,77.0%,87.8%,93.1%
Quarter from 2017-01,1/1/2017,4/1/2017,2.9%,5.4%,7.0%,9.6%,15.1%,19.6%,23.4%,26.8%,29.9%,39.6%,56.8%,73.9%,86.5%,92.0%
Quarter from 2017-04,4/1/2017,7/1/2017,3.6%,5.3%,6.7%,9.2%,14.1%,18.3%,22.0%,25.4%,28.6%,39.0%,55.3%,72.4%,85.0%,90.6%
Quarter from 2017-07,7/1/2017,10/1/2017,2.8%,5.0%,7.1%,10.3%,15.5%,19.4%,22.9%,26.1%,29.1%,39.4%,54.5%,70.3%,84.2%,90.1%
Quarter from 2017-10,10/1/2017,1/1/2018,2.6%,4.1%,5.6%,8.4%,14.1%,18.3%,21.8%,24.8%,27.6%,36.7%,52.7%,68.2%,81.7%,87.7%
Quarter from 2018-01,1/1/2018,4/1/2018,2.7%,4.6%,6.3%,9.0%,14.7%,18.5%,21.6%,24.4%,26.8%,34.6%,47.6%,62.7%,77.9%,85.0%
Quarter from 2018-04,4/1/2018,7/1/2018,2.8%,5.1%,7.2%,10.8%,16.8%,21.2%,24.6%,27.9%,30.7%,40.0%,54.3%,68.9%,84.9%,95.2%
