ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc
1,2014-01-01T00:00:00Z,2016-03-10T00:00:00Z,Before joining CNCF,799,120641,40822,26603,53216,86979,195058,3958,566,2759,2050,887,4121,718,134,396,622,242,649,150.98998748435545,51.09136420525657,33.29536921151439,66.60325406758449,108.85982478097623,244.12765957446808,"brendandburns,lavalamp,thockin,bgrant0607,alainjobart,juliusv,fabxc,ctiller,repeatedly,smarterclayton,erictune,dchen1107,sougou,zmerlynn,mikedanese,jtattermusch,jonboulle,murgatroid99,ejona86,wojtek-t","Google,YouTube,SoundCloud,Treasure Data,Red Hat",5,40783,33.8052569192894621,"alainjobart,brendandburns,fabxc,juliusv,lavalamp,sougou,repeatedly,thockin,bgrant0607,smarterclayton,enisoc,erictune,derekcollison,beorn7,jbeda,jonboulle,vmarmol,zmerlynn,satnam6502,ctiller","YouTube,Google,SoundCloud,Treasure Data,Red Hat,Apcera",6,17488,42.8396452893047866,"bgrant0607,thockin,ctiller,lavalamp,brendandburns,jtattermusch,dchen1107,erictune,ejona86,roberthbailey,murgatroid99,smarterclayton,repeatedly,gmarek,quinton-hoole,justinsb,ihmccreery,satnam6502,bprashanth,zmerlynn","Google,Red Hat,Treasure Data,FathomDB",4,8363,31.4363041762207270,"brendandburns,lavalamp,thockin,ctiller,bgrant0607,juliusv,mikedanese,smarterclayton,wojtek-t,zmerlynn,erictune,dchen1107,fabxc,nicolasnoble,murgatroid99,jtattermusch,jonboulle,gmarek,alainjobart,repeatedly","Google,SoundCloud,Red Hat,YouTube,Treasure Data",5,17309,32.5259320505111245,"lavalamp,bgrant0607,thockin,smarterclayton,brendandburns,davidopp,juliusv,ejona86,erictune,wojtek-t,pmorie,vishh,jonboulle,caesarxuchao,liggitt,nikhiljindal,quinton-hoole,derekwaynecarr,bprashanth,roberthbailey","Google,Red Hat,SoundCloud",3,38240,43.9646351418158406,"bgrant0607,thockin,lavalamp,smarterclayton,wojtek-t,brendandburns,erictune,dchen1107,davidopp,derekwaynecarr,zmerlynn,roberthbailey,yujuhong,pmorie,bprashanth,vishh,mikedanese,juliusv,quinton-hoole,gmarek","Google,Red Hat,SoundCloud",3,78912,40.4556593423494550
2,2016-03-10T00:00:00Z,2018-04-12T00:00:00Z,Since joining CNCF,763,351540,87514,97516,166510,268689,656619,18864,645,14558,8481,3858,22767,1859,127,1136,1801,861,1756,460.73394495412845,114.69724770642202,127.80602883355176,218.23066841415465,352.1480996068152,860.5753604193972,"mattklein123,miekg,chenopis,justinsb,brian-brazil,jtattermusch,aledbf,krzyzacy,lukaszgryglicki,repeatedly,taotaotheripper,kozlovic,Steve53,fejta,fabxc,yurishkuro,spxtr,technosophos,chrislovecnm,mwielgus","Lyft,Google,FathomDB,Robust Perception,Soficom,CNCF,Treasure Data,Apcera,Red Hat,Uber,Microsoft,CNM Consulting",12,64098,18.2334869431643625,"mattklein123,lukaszgryglicki,chenopis,miekg,repeatedly,brian-brazil,edsiper,kozlovic,fabxc,junr03,yurishkuro,tagomoris,aledbf,grobie,jtattermusch,Steve53,olix0r,justinsb,dlx,adleong","Lyft,CNCF,Google,Treasure Data,Robust Perception,Apcera,Red Hat,Uber,Soficom,SoundCloud,Buoyant,FathomDB",12,27967,31.9571725666750463,"brian-brazil,justinsb,jtattermusch,chrislovecnm,fejta,miekg,luxas,aledbf,thockin,technosophos,taotaotheripper,kargakis,mattklein123,mikedanese,liggitt,floreks,dgquintas,yujuhong,maciaszczykm,bgrant0607","Robust Perception,FathomDB,Google,CNM Consulting,Independent,Soficom,Microsoft,Red Hat,Lyft,Fujitsu",10,15378,15.7697198408466303,"justinsb,chenopis,mattklein123,krzyzacy,aledbf,jtattermusch,miekg,Steve53,taotaotheripper,brian-brazil,spxtr,ctiller,mwielgus,wojtek-t,fejta,ixdy,kozlovic,ejona86,technosophos,crosbymichael","FathomDB,Google,Lyft,Soficom,Robust Perception,Apcera,Microsoft,Docker",8,28897,17.3545132424479010,"liggitt,sttts,mattklein123,deads2k,taotaotheripper,luxas,wojtek-t,htuch,thockin,brian-brazil,lavalamp,smarterclayton,kargakis,caesarxuchao,ixdy,fejta,pmorie,chrislovecnm,krzyzacy,justinsb","Red Hat,Lyft,Independent,Google,Robust Perception,CNM Consulting,FathomDB",7,62131,23.1237601837068135,"liggitt,smarterclayton,chrislovecnm,thockin,wojtek-t,brian-brazil,luxas,krzyzacy,deads2k,ixdy,kargakis,justinsb,taotaotheripper,BenTheElder,yujuhong,bgrant0607,fejta,mikedanese,sttts,dims","Red Hat,CNM Consulting,Google,Robust Perception,Independent,FathomDB,Huawei",7,115234,17.5495987779823612
1001,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2014,365,22396,14436,2368,5592,9016,16992,794,401,381,439,170,596,180,108,78,146,47,145,61.35890410958904,39.55068493150685,6.487671232876712,15.32054794520548,24.7013698630137,46.553424657534244,"brendandburns,lavalamp,alainjobart,thockin,jbeda,smarterclayton,repeatedly,sougou,erictune,bgrant0607,derekwaynecarr,enisoc,dchen1107,satnam6502,henryanand,vladimir-v-diaz,ddysher,kiyoto,sonots,markturansky","Google,YouTube,Red Hat,Treasure Data,NYU,DeNA",6,14239,63.5783175567065547,"brendandburns,alainjobart,lavalamp,sougou,thockin,smarterclayton,repeatedly,jbeda,erictune,derekwaynecarr,henryanand,satnam6502,enisoc,bgrant0607,markturansky,ddysher,kiyoto,sonots,mfojtik,kelseyhightower","Google,YouTube,Red Hat,Treasure Data,DeNA",5,8960,62.0670545857578277,"brendandburns,lavalamp,bgrant0607,thockin,repeatedly,jbeda,erictune,dchen1107,smarterclayton,juliusv,roberthbailey,vladimir-v-diaz,kiyoto,ddysher,derekcollison,derekwaynecarr,goltermann,abonas,tagomoris,trishankkarthik","Google,Treasure Data,Red Hat,SoundCloud,NYU,Apcera",6,1560,65.8783783783783784,"brendandburns,lavalamp,jbeda,thockin,smarterclayton,repeatedly,bgrant0607,dchen1107,erictune,vladimir-v-diaz,alainjobart,enisoc,derekwaynecarr,sougou,uu59,sonots,ddysher,filbranden,satnam6502,eparis","Google,Red Hat,Treasure Data,NYU,YouTube,DeNA",6,4041,72.2639484978540773,"lavalamp,thockin,smarterclayton,brendandburns,bgrant0607,erictune,jbeda,filbranden,Sarsate,repeatedly,derekwaynecarr,proppy,dchen1107,ddysher,ghodss,roberthbailey,satnam6502,vishh,markturansky,vmarmol","Google,Red Hat,Treasure Data,Box",4,7708,85.4924578527062999,"lavalamp,smarterclayton,brendandburns,thockin,bgrant0607,jbeda,erictune,repeatedly,dchen1107,derekwaynecarr,sonots,tagomoris,filbranden,monnand,satnam6502,ddysher,eparis,derekcollison,proppy,kiyoto","Google,Red Hat,Treasure Data,DeNA,Apcera",5,12762,75.1059322033898305
1002,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2015,365,78352,21160,18476,38716,62349,138871,2764,206,2017,1436,673,3020,542,44,312,461,191,521,214.66301369863012,57.97260273972603,50.61917808219178,106.07123287671233,170.81917808219177,380.46849315068494,"juliusv,fabxc,thockin,brendandburns,bgrant0607,ctiller,zmerlynn,alainjobart,dchen1107,jonboulle,wojtek-t,mikedanese,vmarmol,erictune,nicolasnoble,ejona86,murgatroid99,lavalamp,jtattermusch,beorn7","SoundCloud,Google,YouTube,Red Hat",4,26547,33.8817132938533796,"juliusv,fabxc,alainjobart,bgrant0607,vmarmol,repeatedly,beorn7,brendandburns,thockin,zmerlynn,sougou,jonboulle,edsiper,stuartnelson3,nicolasnoble,ctiller,derekcollison,dchen1107,enisoc,murgatroid99","SoundCloud,YouTube,Google,Treasure Data,Red Hat,Apcera",6,9577,45.2599243856332703,"thockin,bgrant0607,ctiller,jtattermusch,ejona86,brendandburns,erictune,lavalamp,dchen1107,roberthbailey,satnam6502,murgatroid99,zmerlynn,jonboulle,quinton-hoole,gmarek,juliusv,smarterclayton,wojtek-t,davidopp","Google,Red Hat,SoundCloud",3,5901,31.9387313271270838,"brendandburns,ctiller,juliusv,thockin,mikedanese,wojtek-t,zmerlynn,bgrant0607,nicolasnoble,vmarmol,fabxc,erictune,jonboulle,dchen1107,murgatroid99,smarterclayton,lavalamp,alainjobart,caesarxuchao,jtattermusch","Google,SoundCloud,Red Hat,YouTube",4,12623,32.6040913317491476,"bgrant0607,thockin,lavalamp,smarterclayton,juliusv,davidopp,ejona86,brendandburns,pmorie,wojtek-t,vishh,jonboulle,caesarxuchao,erictune,liggitt,nikhiljindal,quinton-hoole,gmarek,bprashanth,nmittler","Google,Red Hat,SoundCloud",3,27597,44.2621373237742386,"bgrant0607,thockin,smarterclayton,lavalamp,wojtek-t,dchen1107,brendandburns,erictune,zmerlynn,davidopp,roberthbailey,juliusv,pmorie,derekwaynecarr,vishh,yujuhong,quinton-hoole,jonboulle,mikedanese,satnam6502","Google,Red Hat,SoundCloud",3,57442,41.3635676275104233
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,123528,31065,35609,56854,95106,235134,6341,364,4824,2980,1340,7210,992,65,601,855,349,979,337.5081967213115,84.87704918032787,97.29234972677595,155.33879781420765,259.8524590163934,642.4426229508197,"justinsb,jtattermusch,bryk,technosophos,miekg,tagomoris,wojtek-t,mikedanese,fejta,brian-brazil,fabxc,ctiller,spxtr,gmarek,mwielgus,bprashanth,mcqueary,repeatedly,ejona86,riyazdf","FathomDB,Google,Microsoft,Treasure Data,Robust Perception,Red Hat,Apcera,Docker",8,27587,22.3325885629169095,"tagomoris,miekg,riyazdf,mcqueary,jtattermusch,bryk,edsiper,olix0r,johndmulhausen,fabxc,bensigelman,repeatedly,kozlovic,brian-brazil,adleong,beorn7,justinsb,cyli,technosophos,derekcollison","Treasure Data,Google,Docker,Apcera,Buoyant,Red Hat,LightStep,Robust Perception,SoundCloud,FathomDB,Microsoft",11,11505,37.0352486721390633,"justinsb,fejta,jtattermusch,technosophos,bprashanth,bgrant0607,mikedanese,thockin,lavalamp,piosz,wojtek-t,pwittrock,bryk,miekg,yujuhong,chrislovecnm,brian-brazil,ixdy,ejona86,gmarek","FathomDB,Google,Microsoft,CNM Consulting,Robust Perception",5,7995,22.4521890533292145,"justinsb,jtattermusch,wojtek-t,bryk,spxtr,ctiller,gmarek,technosophos,mwielgus,mikedanese,ejona86,nicolasnoble,dlorenc,eparis,tagomoris,fejta,brian-brazil,fabxc,piosz,zmerlynn","FathomDB,Google,Microsoft,Red Hat,Treasure Data,Robust Perception",6,12846,22.5947162908502480,"lavalamp,wojtek-t,thockin,smarterclayton,deads2k,ixdy,bprashanth,liggitt,bgrant0607,caesarxuchao,yujuhong,brian-brazil,kargakis,nikhiljindal,vishh,pmorie,sttts,derekwaynecarr,ejona86,davidopp","Google,Red Hat,Robust Perception",3,27605,29.0255083801232309,"bgrant0607,smarterclayton,thockin,wojtek-t,lavalamp,bprashanth,ixdy,yujuhong,mikedanese,bryk,luxas,davidopp,vishh,taotaotheripper,deads2k,spxtr,brian-brazil,pwittrock,saad-ali,justinsb","Google,Red Hat,Independent,Robust Perception,FathomDB",5,59720,25.3982835319434875
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,192817,48478,52591,91748,149222,352851,11741,513,9011,5317,2570,14577,1496,103,894,1410,685,1465,528.2657534246575,132.81643835616438,144.0849315068493,251.36438356164385,408.827397260274,966.7150684931507,"chenopis,mattklein123,aledbf,miekg,krzyzacy,brian-brazil,Steve53,justinsb,taotaotheripper,repeatedly,lukaszgryglicki,chrislovecnm,ctiller,jtattermusch,r2d4,mattymo,kozlovic,junr03,crosbymichael,yurishkuro","Google,Lyft,Soficom,Robust Perception,FathomDB,Treasure Data,CNCF,CNM Consulting,Mirantis,Apcera,Docker,Uber",12,39376,20.4214358692438945,"chenopis,mattklein123,lukaszgryglicki,miekg,junr03,repeatedly,Steve53,brian-brazil,aledbf,edsiper,grobie,krzyzacy,kozlovic,fabxc,yurishkuro,hh,dlx,hawkw,crosbymichael,sougou","Google,Lyft,CNCF,Treasure Data,Robust Perception,Soficom,SoundCloud,Apcera,Red Hat,Uber,Buoyant,Docker,YouTube",13,17496,36.0905977969388176,"brian-brazil,luxas,chrislovecnm,aledbf,jtattermusch,kargakis,miekg,dgquintas,mattklein123,justinsb,thockin,taotaotheripper,liggitt,maciaszczykm,pmorie,floreks,fejta,smarterclayton,mumoshu,travisn","Robust Perception,Independent,CNM Consulting,Soficom,Google,Red Hat,Lyft,FathomDB,Fujitsu,Cloud Works,Quantum",11,9107,17.3166511380274191,"chenopis,krzyzacy,mattklein123,aledbf,Steve53,justinsb,taotaotheripper,miekg,brian-brazil,ctiller,mattymo,spxtr,crosbymichael,r2d4,htuch,mwielgus,jtattermusch,sougou,chrislovecnm,fejta","Google,Lyft,Soficom,FathomDB,Robust Perception,Mirantis,Docker,YouTube,CNM Consulting",9,18418,20.0745520338318001,"liggitt,mattklein123,sttts,luxas,htuch,deads2k,taotaotheripper,brian-brazil,krzyzacy,kargakis,msau42,smarterclayton,caesarxuchao,fejta,justinsb,thockin,chrislovecnm,wojtek-t,pmorie,lavalamp","Red Hat,Lyft,Independent,Google,Robust Perception,FathomDB,CNM Consulting",7,35787,23.9823886558282291,"liggitt,chrislovecnm,krzyzacy,luxas,kargakis,zhaoxpZTE,smarterclayton,brian-brazil,deads2k,thockin,dims,justinsb,aledbf,sttts,BenTheElder,wojtek-t,ixdy,cblecker,fejta,caesarxuchao","Red Hat,CNM Consulting,Google,Independent,Robust Perception,Huawei,FathomDB,Soficom,Kelowna",9,65941,18.6880581321861069
1005,2018-01-01T00:00:00Z,2018-04-12T00:00:00Z,2018,101,55088,13197,15075,26816,39975,107829,6129,359,4418,2997,1616,8263,613,84,417,478,307,752,545.4257425742575,130.66336633663366,149.25742574257427,265.5049504950495,395.7920792079208,1067.6138613861385,"lukaszgryglicki,mattklein123,miekg,brian-brazil,dankohn,yurishkuro,taotaotheripper,aledbf,htuch,kozlovic,bacongobbler,tsandall,dlx,SuperQ,jtattermusch,MarkThink,floreks,tengqm,ejona86,repeatedly","CNCF,Lyft,Google,Robust Perception,Uber,Soficom,Apcera,Microsoft,Styra,IPB,Caicloud,Fujitsu,IBM,Treasure Data",14,11887,21.5782021492884113,"lukaszgryglicki,mattklein123,miekg,dlx,yurishkuro,dankohn,kozlovic,brian-brazil,htuch,floreks,SuperQ,maciaszczykm,aledbf,MarkThink,repeatedly,taotaotheripper,edsiper,mwielgus,aricart,tsandall","CNCF,Lyft,Google,Uber,Apcera,Robust Perception,Fujitsu,IPB,Soficom,Caicloud,Treasure Data,Styra",12,6008,45.5254982192922634,"dankohn,brian-brazil,aledbf,taotaotheripper,yurishkuro,bacongobbler,miekg,jtattermusch,mattklein123,krzyzacy,floreks,liggitt,tengqm,DirectXMan12,bgrant0607,chrislovecnm,zacharysarah,lukaszgryglicki,kozlovic,tsandall","CNCF,Robust Perception,Soficom,Uber,Microsoft,Google,Lyft,Fujitsu,Red Hat,IBM,CNM Consulting,Apcera,Styra",13,2630,17.4461028192371476,"mattklein123,taotaotheripper,miekg,AdamDang,htuch,aledbf,yurishkuro,brian-brazil,BenTheElder,tsandall,justinsb,ejona86,MarkThink,kozlovic,krzyzacy,zpencer,jtattermusch,tengqm,mwielgus,bacongobbler","Lyft,Google,DaoCloud,Soficom,Uber,Robust Perception,Styra,FathomDB,Caicloud,Apcera,IBM,Microsoft",12,4711,17.5678699284009547,"mattklein123,sttts,liggitt,htuch,BenTheElder,unguiculus,taotaotheripper,hzxuzhonghu,deads2k,brian-brazil,jmarantz,msau42,yurishkuro,krzyzacy,stevekuznetsov,cjwagner,fejta,mtaufen,bsalamat,alyssawilk","Lyft,Red Hat,Google,Codecentric AG,Huawei,Robust Perception,Uber",7,9990,24.9906191369606004,"BenTheElder,liggitt,unguiculus,dims,krzyzacy,brian-brazil,chrislovecnm,cblecker,mattklein123,heckj,ixdy,aledbf,hzxuzhonghu,sttts,taotaotheripper,thockin,rhatdan,deads2k,msau42,feiskyer","Google,Red Hat,Codecentric AG,Huawei,Robust Perception,CNM Consulting,Kelowna,Lyft,Dell,Soficom,Hyper.sh",11,19818,18.3791002420499124
2001,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-01-01,31,457,358,45,54,19,165,44,18,22,17,10,39,13,8,5,9,4,12,14.741935483870968,11.548387096774194,1.4516129032258065,1.7419354838709677,0.6129032258064516,5.32258064516129,"alainjobart,sougou,vladimir-v-diaz,repeatedly,kiyoto,hkmurakami,mazgi,okahashi117,kzk,suzukaze,ryszard,derekcollison,trishankkarthik,JustinCappos,vito,shrutip,guoliang100,yssk22,tagomoris,jace","YouTube,NYU,Treasure Data,Maverick,JBAT,Ubiregi,Google,Apcera,Funky",9,428,93.6542669584245077,"alainjobart,sougou,vladimir-v-diaz,repeatedly,kiyoto,hkmurakami,okahashi117,mazgi,ryszard,kzk,trishankkarthik,guoliang100,derekcollison,shrutip,MasayukiKiyota,tagomoris,komamitsu,yssk22","YouTube,NYU,Treasure Data,JBAT,Maverick,Google,Apcera,Funky",8,358,100.0000000000000000,"vladimir-v-diaz,vito,JustinCappos,repeatedly,cyberabis,diwakergupta,jace,yssk22,mazgi,phaothu,tagomoris,zanefisher,erbdex,tomohisaota,suzukaze,brucewoo,fwhite-wsm,shinji62,stephenmw,dliebreich","NYU,Treasure Data,Funky,Maverick,Ubiregi",5,43,95.5555555555555556,"repeatedly,kiyoto,suzukaze,kzk,vladimir-v-diaz,sonots,derekcollison,y-ken,usk,RafaelSzefler,mazgi,ryotarai,trishankkarthik,choplin,fangli,ryotarai,rwstauner","Treasure Data,Ubiregi,NYU,DeNA,Apcera,Livesense,Maverick,Cookpad,Instructure",9,54,100.0000000000000000,"repeatedly,sonots,derekcollison,philpennock,JustinCappos,tomohisaota,krobertson,trishankkarthik,vladimir-v-diaz,cee-dub","Treasure Data,DeNA,Apcera,NYU",4,19,100.0000000000000000,"vladimir-v-diaz,repeatedly,trishankkarthik,sonots,tagomoris,kiyoto,suzukaze,y-ken,derekcollison,JustinCappos,frsyuki,imkira,tbrosman,kzk,vito,stephenmw,BrunoAndrade,sougou,jace,krobertson","NYU,Treasure Data,DeNA,Ubiregi,Livesense,Apcera,YouTube",7,146,88.4848484848484848
2002,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-02-01,28,485,384,38,63,34,147,41,23,16,20,8,37,13,10,5,8,5,15,17.321428571428573,13.714285714285714,1.3571428571428572,2.25,1.2142857142857142,5.25,"alainjobart,repeatedly,sougou,kzk,kiyoto,vladimir-v-diaz,sonots,hkmurakami,xerial,suzukaze,derekcollison,trishankkarthik,y-ken,guoliang100,shrutip,tagomoris,okahashi117,nyarly,mazgi,lucapette","YouTube,Treasure Data,NYU,DeNA,Ubiregi,Apcera,Livesense,Google,JBAT,Maverick",10,460,94.8453608247422680,"alainjobart,sougou,repeatedly,kzk,kiyoto,vladimir-v-diaz,hkmurakami,sonots,guoliang100,xerial,suzukaze,shrutip,okahashi117,y-ken,derekcollison,tagomoris,mazgi,jyuan,ryszard,msolo","YouTube,Treasure Data,NYU,DeNA,Google,Ubiregi,JBAT,Livesense,Apcera,Maverick",10,381,99.2187500000000000,"trishankkarthik,repeatedly,derekcollison,vladimir-v-diaz,nyarly,y-ken,arascanakin,romanoff,hotei,josephsu,MelvinK,sapg,xerial,komamitsu,sougou,szhem","Treasure Data,Apcera,NYU,Livesense,YouTube",5,38,100.0000000000000000,"repeatedly,sonots,suzukaze,xerial,kzk,kiyoto,tagomoris,sougou,ryotarai,y-ken,cynipe,MasayukiKiyota,kiela,lucapette,ryanseddon,fatum,giwa,yoshi-taka,MasayukiKiyota,tatsu-yam","Treasure Data,DeNA,Ubiregi,YouTube,Cookpad,Livesense,Acorns,Instyle",8,63,100.0000000000000000,"SantiagoTorres,repeatedly,trishankkarthik,vladimir-v-diaz,ryotarai,y-ken,kesuzuki,suzukaze","Treasure Data,NYU,Cookpad,Livesense,Ubiregi",5,34,100.0000000000000000,"repeatedly,vladimir-v-diaz,derekcollison,xerial,trishankkarthik,tagomoris,SantiagoTorres,komamitsu,kiyoto,vito,muga,sougou,hkmurakami,suzukaze,y-ken,sonots,tbrosman,hotchpotch,kzk,cynipe","Treasure Data,NYU,Apcera,YouTube,Ubiregi,Livesense,DeNA,GlaxoSmithKline",8,128,87.0748299319727891
2003,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-03-01,31,388,283,56,49,44,171,44,20,20,18,5,44,17,9,8,10,2,16,12.516129032258064,9.129032258064516,1.8064516129032258,1.5806451612903225,1.4193548387096775,5.516129032258065,"sougou,repeatedly,alainjobart,prometheus-roobot,vladimir-v-diaz,sonots,ryszard,juliusv,u-c-l,hkmurakami,trishankkarthik,semihalev,y-ken,kiyoto,shrutip,lipengyuntian,sabottenda,suzukaze,amagnus,advidi-alex","YouTube,Treasure Data,NYU,DeNA,Google,SoundCloud,Netdirekt,Livesense,Mercari,Ubiregi",10,359,92.5257731958762887,"sougou,alainjobart,repeatedly,prometheus-roobot,sonots,ryszard,vladimir-v-diaz,u-c-l,hkmurakami,shrutip,y-ken,semihalev,kiyoto,juliusv,trishankkarthik,kzk,JustinCappos,tagomoris,tailorcai,suzukaze","YouTube,Treasure Data,DeNA,Google,NYU,Livesense,Netdirekt,SoundCloud,Ubiregi",9,283,100.0000000000000000,"repeatedly,juliusv,vladimir-v-diaz,lipengyuntian,amagnus,bernerdschaefer,advidi-alex,kiyoto,trishankkarthik,Tsidkenu,jish,sgulati89,rahuldahiya,grobie,yyamano,derekcollison,discordianfish,sabottenda,gtrevg,f0","Treasure Data,SoundCloud,NYU,thoughtbot,groom gbr,Apcera,imgix,Mercari",8,56,100.0000000000000000,"repeatedly,vladimir-v-diaz,sonots,cubicdaiya,trishankkarthik,semihalev,sabottenda,suzukaze,tbrosman,yoloseem,miyagawa,jmoses,disq,tagomoris,fatum,szhem,y-ken,SantiagoTorres","Treasure Data,NYU,DeNA,Netdirekt,Mercari,Ubiregi,The BeatPacking Company,Fastly,DataStax,Livesense",10,49,100.0000000000000000,"trishankkarthik,repeatedly,frsyuki,vladimir-v-diaz,kesuzuki","Treasure Data,NYU",2,44,100.0000000000000000,"repeatedly,trishankkarthik,sonots,vladimir-v-diaz,juliusv,frsyuki,lipengyuntian,rahuldahiya,tagomoris,typingduck,szhem,josephsu,matttproud,kiyoto,chobie,asyd,sgulati89,graysky,amagnus,disq","Treasure Data,DeNA,NYU,SoundCloud,WATTx,Google,GREE",7,144,84.2105263157894737
