ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2014-01-01T00:00:00Z,2016-03-10T00:00:00Z,Before joining CNCF,799,120533,40714,26603,53216,86979,197623,3957,565,2759,2050,887,4156,717,133,395,621,241,649,150.85481852315394,50.95619524405507,33.29536921151439,66.60325406758449,108.85982478097623,247.33792240300374,"brendandburns,lavalamp,thockin",Google,1,10376,8.6084308861473621,"Google,Red Hat,SoundCloud",82843,68.7305551176856131,"alainjobart,brendandburns,fabxc","YouTube,Google,SoundCloud",3,5203,12.7793879255293020,"Google,SoundCloud,Red Hat",27096,66.5520459792700300,"bgrant0607,thockin,ctiller",Google,1,2293,8.6193286471450588,"Google,Red Hat,SoundCloud",16887,63.4778032552719618,"brendandburns,lavalamp,thockin",Google,1,4402,8.2719482862297054,"Google,Red Hat,SoundCloud",38860,73.0231509320505111,"lavalamp,bgrant0607,thockin",Google,1,14064,16.1694202048770393,"Google,Red Hat,SoundCloud",69035,79.3697329240391359,"bgrant0607,thockin,smarterclayton","Google,Red Hat",2,26008,13.1604114905653694,"Google,Red Hat,SoundCloud",145894,73.8244030300116889
2,2016-03-10T00:00:00Z,2018-04-13T00:00:00Z,Since joining CNCF,764,352206,87643,97728,166835,269089,659735,18904,645,14591,8497,3863,22897,1858,126,1136,1800,860,1755,461.0026178010471,114.71596858638743,127.91623036649214,218.37041884816753,352.2107329842932,863.5274869109948,"mattklein123,miekg,chenopis","Lyft,Google",2,15199,4.3153722537378693,"Google,Red Hat,Microsoft",149378,42.4121110940756262,"mattklein123,lukaszgryglicki,chenopis","Lyft,CNCF,Google",3,8223,9.3823807948153304,"Google,Red Hat,Lyft",37996,43.3531485686249900,"brian-brazil,justinsb,jtattermusch","Robust Perception,FathomDB,Google",3,3543,3.6253683693516699,"Google,Red Hat,Microsoft",35692,36.5217747216764898,"justinsb,chenopis,mattklein123","FathomDB,Google,Lyft",3,6533,3.9158449965534810,"Google,Red Hat,Microsoft",77993,46.7485839302304672,"liggitt,sttts,mattklein123","Red Hat,Lyft",2,15289,5.6817632827800468,"Google,Red Hat,IBM",155134,57.6515576630780151,"liggitt,smarterclayton,chrislovecnm","Red Hat,CNM Consulting",2,23321,3.5349041660666783,"Google,Red Hat,Microsoft",318863,48.3319817805634080
1001,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2014,365,22288,14328,2368,5592,9016,18105,793,400,381,439,170,606,179,107,77,145,46,146,61.06301369863014,39.25479452054795,6.487671232876712,15.32054794520548,24.7013698630137,49.602739726027394,"brendandburns,lavalamp,alainjobart","Google,YouTube",2,5539,24.8519382627422828,"Google,Red Hat,YouTube",16681,74.8429648241206030,"brendandburns,alainjobart,lavalamp","Google,YouTube",2,3513,24.5184254606365159,"Google,Red Hat,YouTube",10968,76.5494137353433836,"brendandburns,lavalamp,bgrant0607",Google,1,581,24.5354729729729730,"Google,Treasure Data,Red Hat",1649,69.6368243243243243,"brendandburns,lavalamp,jbeda",Google,1,1855,33.1723891273247496,"Google,Red Hat,Treasure Data",4522,80.8655221745350501,"lavalamp,thockin,smarterclayton","Google,Red Hat",2,4021,44.5984915705412600,"Google,Red Hat,Treasure Data",8313,92.2027506654835847,"lavalamp,smarterclayton,thockin","Google,Red Hat",2,6122,33.8138635735984535,"Google,Red Hat,Treasure Data",15156,83.7116818558409279
1002,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2015,365,78352,21160,18476,38716,62349,139951,2764,206,2017,1436,673,3045,541,43,311,460,190,521,214.66301369863012,57.97260273972603,50.61917808219178,106.07123287671233,170.81917808219177,383.42739726027395,"juliusv,fabxc,thockin","SoundCloud,Google",2,5924,7.5607514804982642,"Google,Red Hat,SoundCloud",56543,72.1653563406167041,"juliusv,fabxc,alainjobart","SoundCloud,YouTube",2,3218,15.2079395085066163,"Google,SoundCloud,YouTube",15595,73.7003780718336484,"thockin,bgrant0607,ctiller",Google,1,1596,8.6382333838493180,"Google,Red Hat,SoundCloud",12106,65.5228404416540377,"brendandburns,ctiller,juliusv","Google,SoundCloud",2,2782,7.1856596755863209,"Google,Red Hat,SoundCloud",29155,75.3047835520198368,"bgrant0607,thockin,lavalamp",Google,1,9103,14.6000737782482478,"Google,Red Hat,SoundCloud",50558,81.0887103241431298,"bgrant0607,thockin,smarterclayton","Google,Red Hat",2,17642,12.6058406156440468,"Google,Red Hat,SoundCloud",105779,75.5828825803316875
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,123528,31065,35609,56854,95106,236205,6341,364,4824,2980,1340,7237,991,64,600,854,348,978,337.5081967213115,84.87704918032787,97.29234972677595,155.33879781420765,259.8524590163934,645.3688524590164,"justinsb,jtattermusch,bryk","FathomDB,Google",2,6505,5.2660125639531118,"Google,Red Hat,Apcera",65828,53.2899423612460333,"tagomoris,miekg,riyazdf","Treasure Data,Google,Docker",3,2362,7.6034122002253340,"Google,Apcera,Treasure Data",16157,52.0103009818123290,"justinsb,fejta,jtattermusch","FathomDB,Google",2,2055,5.7710129461652953,"Google,Red Hat,Microsoft",17659,49.5913954337386616,"justinsb,jtattermusch,wojtek-t","FathomDB,Google",2,3032,5.3329581032117353,"Google,Red Hat,Microsoft",33203,58.4004643472754775,"lavalamp,wojtek-t,thockin",Google,1,6328,6.6536285828444052,"Google,Red Hat,Docker",65282,68.6413054907156226,"bgrant0607,smarterclayton,thockin","Google,Red Hat",2,14049,5.9477995808725472,"Google,Red Hat,Microsoft",143216,60.6320780677801063
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,192817,48478,52591,91748,149222,353709,11741,513,9011,5317,2570,14622,1495,102,893,1409,684,1464,528.2657534246575,132.81643835616438,144.0849315068493,251.36438356164385,408.827397260274,969.0657534246575,"chenopis,mattklein123,aledbf","Google,Lyft,Soficom",3,11150,5.7826851366840061,"Google,Red Hat,Lyft",78927,40.9336313706778967,"chenopis,mattklein123,lukaszgryglicki","Google,Lyft,CNCF",3,5879,12.1271504600024753,"Google,Red Hat,Lyft",21799,44.9667890589545773,"brian-brazil,luxas,chrislovecnm","Robust Perception,CNM Consulting",2,2115,4.0216006541043144,"Google,Red Hat,Microsoft",17587,33.4410830750508642,"chenopis,krzyzacy,mattklein123","Google,Lyft",2,4870,5.3080176134629638,"Google,Red Hat,Microsoft",40608,44.2603653485634564,"liggitt,mattklein123,sttts","Red Hat,Lyft",2,9717,6.5117744032381284,"Google,Red Hat,IBM",82210,55.0924126469287370,"liggitt,chrislovecnm,krzyzacy","Red Hat,CNM Consulting,Google",3,13666,3.8636280105962811,"Google,Red Hat,Huawei",162939,46.0658337786146239
1005,2018-01-01T00:00:00Z,2018-04-13T00:00:00Z,2018,102,55754,13326,15287,27141,40375,109388,6186,361,4465,3017,1625,8363,614,83,418,478,309,753,546.6078431372549,130.64705882352942,149.87254901960785,266.0882352941176,395.8333333333333,1072.4313725490197,"lukaszgryglicki,mattklein123,miekg","CNCF,Lyft,Google",3,3466,6.2165943250708469,"Google,Red Hat,CNCF",18871,33.8468988772106037,"lukaszgryglicki,mattklein123,miekg","CNCF,Lyft,Google",3,2367,17.7622692480864475,"Google,CNCF,Red Hat",5473,41.0700885487017860,"dankohn,brian-brazil,aledbf","CNCF,Robust Perception,Soficom",3,738,4.8276313207300321,"Google,Red Hat,CNCF",3915,25.6099954209459017,"mattklein123,taotaotheripper,AdamDang","Lyft,DaoCloud",2,1061,3.9092148410154379,"Google,Red Hat,IBM",9648,35.5476953686304852,"mattklein123,sttts,liggitt","Lyft,Red Hat",2,3133,7.7597523219814241,"Google,Red Hat,Lyft",20505,50.7863777089783282,"BenTheElder,liggitt,unguiculus","Google,Red Hat,Codecentric AG",3,5419,4.9539254762862471,"Google,Red Hat,Huawei",41421,37.8661279116539291
2001,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,01/2014,31,457,358,45,54,19,165,44,18,22,17,10,39,13,8,5,9,4,12,14.741935483870968,11.548387096774194,1.4516129032258065,1.7419354838709677,0.6129032258064516,5.32258064516129,"alainjobart,sougou,vladimir-v-diaz","YouTube,NYU",2,278,60.8315098468271335,"YouTube,Treasure Data,NYU",375,82.0568927789934354,"alainjobart,sougou,vladimir-v-diaz","YouTube,NYU",2,261,72.9050279329608939,"YouTube,Treasure Data,NYU",320,89.3854748603351955,"vladimir-v-diaz,vito,JustinCappos",NYU,1,20,44.4444444444444444,"NYU,Treasure Data,Funky",24,53.3333333333333333,"repeatedly,kiyoto,suzukaze","Treasure Data,Ubiregi",2,32,59.2592592592592593,"Treasure Data,Ubiregi,NYU",39,72.2222222222222222,"repeatedly,derekcollison,sonots","Treasure Data,Apcera,DeNA",3,10,52.6315789473684211,"Apcera,Treasure Data,DeNA",13,68.4210526315789474,"vladimir-v-diaz,repeatedly,trishankkarthik","NYU,Treasure Data",2,69,41.8181818181818182,"Treasure Data,NYU,DeNA",99,60.0000000000000000
2002,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,02/2014,28,485,384,38,63,34,161,41,23,16,20,8,37,13,10,5,8,5,15,17.321428571428573,13.714285714285714,1.3571428571428572,2.25,1.2142857142857142,5.75,"alainjobart,repeatedly,sougou","YouTube,Treasure Data",2,235,48.4536082474226804,"Treasure Data,YouTube,NYU",378,77.9381443298969072,"alainjobart,sougou,repeatedly","YouTube,Treasure Data",2,201,52.3437500000000000,"Treasure Data,YouTube,NYU",329,85.6770833333333333,"trishankkarthik,vladimir-v-diaz,repeatedly","NYU,Treasure Data",2,18,47.3684210526315789,"Treasure Data,NYU,Apcera",17,44.7368421052631579,"repeatedly,sonots,suzukaze","Treasure Data,DeNA,Ubiregi",3,39,61.9047619047619048,"Treasure Data,DeNA,Ubiregi",47,74.6031746031746032,"SantiagoTorres,repeatedly,trishankkarthik",Treasure Data,1,23,67.6470588235294118,"Treasure Data,NYU,Livesense",14,41.1764705882352941,"repeatedly,vladimir-v-diaz,derekcollison","Treasure Data,NYU,Apcera",3,60,37.2670807453416149,"Treasure Data,NYU,Apcera",106,65.8385093167701863
2003,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,03/2014,31,363,258,56,49,44,173,43,19,20,18,5,44,17,9,8,10,2,16,11.709677419354838,8.32258064516129,1.8064516129032258,1.5806451612903225,1.4193548387096775,5.580645161290323,"sougou,repeatedly,alainjobart","YouTube,Treasure Data",2,210,57.8512396694214876,"YouTube,Treasure Data,NYU",253,69.6969696969696970,"sougou,alainjobart,repeatedly","YouTube,Treasure Data",2,178,68.9922480620155039,"YouTube,Treasure Data,DeNA",209,81.0077519379844961,"repeatedly,juliusv,vladimir-v-diaz","Treasure Data,SoundCloud,NYU",3,32,57.1428571428571429,"Treasure Data,SoundCloud,NYU",34,60.7142857142857143,"repeatedly,vladimir-v-diaz,sonots","Treasure Data,NYU,DeNA",3,29,59.1836734693877551,"Treasure Data,NYU,DeNA",30,61.2244897959183673,"trishankkarthik,repeatedly,frsyuki",Treasure Data,1,35,79.5454545454545455,"Treasure Data,NYU",29,65.9090909090909091,"repeatedly,trishankkarthik,sonots","Treasure Data,DeNA",2,75,43.3526011560693642,"Treasure Data,NYU,DeNA",89,51.4450867052023121
