Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Since joining CNCF,12/7/2015,4/17/2018,59.5%,62.5%,65.0%,65.9%,66.5%,67.3%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%,67.4%
2015,12/7/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,27.1%,37.4%,44.8%,47.5%,48.0%,48.8%,48.8%,48.8%,48.8%,48.8%,48.8%,48.8%,48.8%,48.8%,48.8%
2017,1/1/2017,1/1/2018,57.6%,61.7%,63.9%,64.7%,65.0%,65.5%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%
2018,1/1/2018,4/17/2018,66.0%,69.1%,71.2%,71.7%,71.8%,71.9%,71.9%,71.9%,71.9%,71.9%,71.9%,71.9%,71.9%,71.9%,71.9%
12/2015,12/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,85.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
