Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Since joining CNCF,12/7/2015,4/17/2018,50.3%,52.9%,55.3%,57.6%,59.7%,63.1%,63.7%,64.2%,64.6%,64.9%,65.5%,66.3%,66.5%,66.5%,66.5%
2015,12/7/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,17.4%,30.9%,40.0%,41.7%,42.8%,46.1%,47.4%,47.9%,48.2%,48.2%,48.2%,48.2%,48.2%,48.2%,48.2%
2017,1/1/2017,1/1/2018,48.0%,52.0%,55.4%,57.8%,59.3%,62.1%,63.2%,63.8%,64.3%,64.7%,65.7%,66.7%,66.8%,66.8%,66.8%
2018,1/1/2018,4/17/2018,60.6%,64.0%,65.7%,66.8%,67.5%,68.8%,69.3%,69.6%,69.8%,70.0%,70.5%,70.5%,70.5%,70.5%,70.5%
12/2015,12/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,92.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,55.2%,89.7%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%,96.6%
07/2016,7/1/2016,8/1/2016,55.6%,59.8%,63.0%,64.6%,65.1%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%
08/2016,8/1/2016,9/1/2016,23.5%,40.5%,54.5%,58.0%,59.0%,61.0%,61.0%,61.0%,61.0%,61.0%,61.0%,61.0%,61.0%,61.0%,61.0%
09/2016,9/1/2016,10/1/2016,15.8%,25.1%,25.7%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%,26.3%
10/2016,10/1/2016,11/1/2016,21.2%,24.7%,26.7%,27.4%,27.4%,27.4%,27.4%,27.4%,27.4%,27.4%,27.4%,27.4%,27.4%,27.4%,27.4%
11/2016,11/1/2016,12/1/2016,17.9%,22.0%,25.0%,26.8%,28.6%,34.5%,35.7%,35.7%,35.7%,35.7%,35.7%,35.7%,35.7%,35.7%,35.7%
12/2016,12/1/2016,1/1/2017,18.2%,27.3%,36.4%,40.0%,43.6%,50.9%,50.9%,50.9%,50.9%,50.9%,50.9%,50.9%,50.9%,50.9%,50.9%
01/2017,1/1/2017,2/1/2017,27.3%,36.4%,39.4%,40.9%,42.4%,45.5%,45.5%,45.5%,45.5%,45.5%,45.5%,45.5%,45.5%,45.5%,45.5%
