Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Since joining CNCF,12/7/2015,4/17/2018,CNCF,"CNCF,Vulk","CNCF,Vulk,IBM","CNCF,Vulk,IBM,Cleverstep","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa,Grafana,Infoblox,inwinSTACK,SkyWalking,Oracle","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa,Grafana,Infoblox,inwinSTACK,SkyWalking,Oracle,RX-M,Iguaz.io,Datawire.io,Upbound,Apprenda","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa,Grafana,Infoblox,inwinSTACK,SkyWalking,Oracle,RX-M,Iguaz.io,Datawire.io,Upbound,Apprenda,EMC,Prometheus Consulting,Platform9,Twistlock,Walt Disney,Wipro Consulting Services,Factotum,Mirantis,Robust Perception,SNCF,Uber,HNA,Bitnami,Cisco,Rackspace,Kinvolk,LightStep,OpenStack Foundation,ZTE,Covalent","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa,Grafana,Infoblox,inwinSTACK,SkyWalking,Oracle,RX-M,Iguaz.io,Datawire.io,Upbound,Apprenda,EMC,Prometheus Consulting,Platform9,Twistlock,Walt Disney,Wipro Consulting Services,Factotum,Mirantis,Robust Perception,SNCF,Uber,HNA,Bitnami,Cisco,Rackspace,Kinvolk,LightStep,OpenStack Foundation,ZTE,Covalent,Loodse,Fujitsu,Quantum,Pivotal,Lyft,storageos,Liz Rice,Streamplace,PayScale,Portworx,AT&T,Eastbanc Technologies,SUSE,Dell,Serverless,SAP,Buoyant,Magnet.me,Caicloud,Chef,Hasura,NIO,Canonical,Dailymotion,CurrencyFair.com,ContainerStack.io,Concur,Code Coup,CloudHealth Technologies,Cloudflare,msg systems,OpenStack,SolidFire,Spirula Systems,StackPointCloud,Edumall.vn,Telefónica,Tencent,Shopify,Tremolo Security,Ubisoft,Univa,SanDisk,Weibo.com,wellcometrust,WIDEN,Wikimedia Foundation,Pieter Lange PTLC,WP Engine,YouTube","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa,Grafana,Infoblox,inwinSTACK,SkyWalking,Oracle,RX-M,Iguaz.io,Datawire.io,Upbound,Apprenda,EMC,Prometheus Consulting,Platform9,Twistlock,Walt Disney,Wipro Consulting Services,Factotum,Mirantis,Robust Perception,SNCF,Uber,HNA,Bitnami,Cisco,Rackspace,Kinvolk,LightStep,OpenStack Foundation,ZTE,Covalent,Loodse,Fujitsu,Quantum,Pivotal,Lyft,storageos,Liz Rice,Streamplace,PayScale,Portworx,AT&T,Eastbanc Technologies,SUSE,Dell,Serverless,SAP,Buoyant,Magnet.me,Caicloud,Chef,Hasura,NIO,Canonical,Dailymotion,CurrencyFair.com,ContainerStack.io,Concur,Code Coup,CloudHealth Technologies,Cloudflare,msg systems,OpenStack,SolidFire,Spirula Systems,StackPointCloud,Edumall.vn,Telefónica,Tencent,Shopify,Tremolo Security,Ubisoft,Univa,SanDisk,Weibo.com,wellcometrust,WIDEN,Wikimedia Foundation,Pieter Lange PTLC,WP Engine,YouTube,Zalando,Linux,Juniper Networks,Robert Koch-institut,RackN,indiehosters,Activision Blizzard,Aperian Global,home.ai,Project Calico,Pretty Robots,GoodData,FathomDB,Styra,EasyStack,Dynatrace,Baidu,DigitalOcean,Dataman,DaoCloud","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa,Grafana,Infoblox,inwinSTACK,SkyWalking,Oracle,RX-M,Iguaz.io,Datawire.io,Upbound,Apprenda,EMC,Prometheus Consulting,Platform9,Twistlock,Walt Disney,Wipro Consulting Services,Factotum,Mirantis,Robust Perception,SNCF,Uber,HNA,Bitnami,Cisco,Rackspace,Kinvolk,LightStep,OpenStack Foundation,ZTE,Covalent,Loodse,Fujitsu,Quantum,Pivotal,Lyft,storageos,Liz Rice,Streamplace,PayScale,Portworx,AT&T,Eastbanc Technologies,SUSE,Dell,Serverless,SAP,Buoyant,Magnet.me,Caicloud,Chef,Hasura,NIO,Canonical,Dailymotion,CurrencyFair.com,ContainerStack.io,Concur,Code Coup,CloudHealth Technologies,Cloudflare,msg systems,OpenStack,SolidFire,Spirula Systems,StackPointCloud,Edumall.vn,Telefónica,Tencent,Shopify,Tremolo Security,Ubisoft,Univa,SanDisk,Weibo.com,wellcometrust,WIDEN,Wikimedia Foundation,Pieter Lange PTLC,WP Engine,YouTube,Zalando,Linux,Juniper Networks,Robert Koch-institut,RackN,indiehosters,Activision Blizzard,Aperian Global,home.ai,Project Calico,Pretty Robots,GoodData,FathomDB,Styra,EasyStack,Dynatrace,Baidu,DigitalOcean,Dataman,DaoCloud","CNCF,Vulk,IBM,Cleverstep,The Linux Foundation,SolarWinds,Google,Red Hat,Intel,Heptio,Samsung,Microsoft,Docker,Nirmata,Weaveworks,Treasure Data,VMware,Huawei,PLYmedia,Europa,Grafana,Infoblox,inwinSTACK,SkyWalking,Oracle,RX-M,Iguaz.io,Datawire.io,Upbound,Apprenda,EMC,Prometheus Consulting,Platform9,Twistlock,Walt Disney,Wipro Consulting Services,Factotum,Mirantis,Robust Perception,SNCF,Uber,HNA,Bitnami,Cisco,Rackspace,Kinvolk,LightStep,OpenStack Foundation,ZTE,Covalent,Loodse,Fujitsu,Quantum,Pivotal,Lyft,storageos,Liz Rice,Streamplace,PayScale,Portworx,AT&T,Eastbanc Technologies,SUSE,Dell,Serverless,SAP,Buoyant,Magnet.me,Caicloud,Chef,Hasura,NIO,Canonical,Dailymotion,CurrencyFair.com,ContainerStack.io,Concur,Code Coup,CloudHealth Technologies,Cloudflare,msg systems,OpenStack,SolidFire,Spirula Systems,StackPointCloud,Edumall.vn,Telefónica,Tencent,Shopify,Tremolo Security,Ubisoft,Univa,SanDisk,Weibo.com,wellcometrust,WIDEN,Wikimedia Foundation,Pieter Lange PTLC,WP Engine,YouTube,Zalando,Linux,Juniper Networks,Robert Koch-institut,RackN,indiehosters,Activision Blizzard,Aperian Global,home.ai,Project Calico,Pretty Robots,GoodData,FathomDB,Styra,EasyStack,Dynatrace,Baidu,DigitalOcean,Dataman,DaoCloud"
2015,12/7/2015,1/1/2016,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF
2016,1/1/2016,1/1/2017,CNCF,"CNCF,IBM","CNCF,IBM,SolarWinds","CNCF,IBM,SolarWinds,Google","CNCF,IBM,SolarWinds,Google,Intel","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent,Chef,The Linux Foundation,Univa","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent,Chef,The Linux Foundation,Univa","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent,Chef,The Linux Foundation,Univa","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent,Chef,The Linux Foundation,Univa","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent,Chef,The Linux Foundation,Univa","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent,Chef,The Linux Foundation,Univa","CNCF,IBM,SolarWinds,Google,Intel,PLYmedia,Red Hat,Weaveworks,Treasure Data,SNCF,Huawei,Factotum,Fujitsu,Microsoft,NIO,Upbound,Prometheus Consulting,Dynatrace,DigitalOcean,Covalent,Chef,The Linux Foundation,Univa"
2017,1/1/2017,1/1/2018,CNCF,"CNCF,The Linux Foundation","CNCF,The Linux Foundation,Cleverstep","CNCF,The Linux Foundation,Cleverstep,Vulk","CNCF,The Linux Foundation,Cleverstep,Vulk,Google","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io,RX-M,Wipro Consulting Services,Oracle,Nirmata,Mirantis","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io,RX-M,Wipro Consulting Services,Oracle,Nirmata,Mirantis,Weaveworks,Walt Disney,Upbound,Apprenda,Twistlock","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io,RX-M,Wipro Consulting Services,Oracle,Nirmata,Mirantis,Weaveworks,Walt Disney,Upbound,Apprenda,Twistlock,Treasure Data,Prometheus Consulting,Kinvolk,Robust Perception,Bitnami,EMC,SAP,Caicloud,Cisco,Eastbanc Technologies,Europa,HNA,Liz Rice,Loodse,OpenStack Foundation,PayScale,Portworx,Serverless,storageos,Streamplace","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io,RX-M,Wipro Consulting Services,Oracle,Nirmata,Mirantis,Weaveworks,Walt Disney,Upbound,Apprenda,Twistlock,Treasure Data,Prometheus Consulting,Kinvolk,Robust Perception,Bitnami,EMC,SAP,Caicloud,Cisco,Eastbanc Technologies,Europa,HNA,Liz Rice,Loodse,OpenStack Foundation,PayScale,Portworx,Serverless,storageos,Streamplace,SUSE,Uber,CloudHealth Technologies,OpenStack,msg systems,Linux,LightStep,Juniper Networks,indiehosters,Hasura,GoodData,Fujitsu,FathomDB,Factotum,Edumall.vn,EasyStack,Dell,Datawire.io,Dataman,Cloudflare,Dailymotion,ZTE,Zalando,YouTube,WIDEN,wellcometrust,Weibo.com,Ubisoft,Tremolo Security,Tencent,Telefónica,Styra,StackPointCloud,Spirula Systems,SolidFire,SanDisk,DaoCloud,Aperian Global,Buoyant,Pieter Lange PTLC,Code Coup,Robert Koch-institut,RackN,Project Calico,Pretty Robots,Platform9,Pivotal,Concur,Canonical,ContainerStack.io","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io,RX-M,Wipro Consulting Services,Oracle,Nirmata,Mirantis,Weaveworks,Walt Disney,Upbound,Apprenda,Twistlock,Treasure Data,Prometheus Consulting,Kinvolk,Robust Perception,Bitnami,EMC,SAP,Caicloud,Cisco,Eastbanc Technologies,Europa,HNA,Liz Rice,Loodse,OpenStack Foundation,PayScale,Portworx,Serverless,storageos,Streamplace,SUSE,Uber,CloudHealth Technologies,OpenStack,msg systems,Linux,LightStep,Juniper Networks,indiehosters,Hasura,GoodData,Fujitsu,FathomDB,Factotum,Edumall.vn,EasyStack,Dell,Datawire.io,Dataman,Cloudflare,Dailymotion,ZTE,Zalando,YouTube,WIDEN,wellcometrust,Weibo.com,Ubisoft,Tremolo Security,Tencent,Telefónica,Styra,StackPointCloud,Spirula Systems,SolidFire,SanDisk,DaoCloud,Aperian Global,Buoyant,Pieter Lange PTLC,Code Coup,Robert Koch-institut,RackN,Project Calico,Pretty Robots,Platform9,Pivotal,Concur,Canonical,ContainerStack.io,Covalent,CurrencyFair.com","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io,RX-M,Wipro Consulting Services,Oracle,Nirmata,Mirantis,Weaveworks,Walt Disney,Upbound,Apprenda,Twistlock,Treasure Data,Prometheus Consulting,Kinvolk,Robust Perception,Bitnami,EMC,SAP,Caicloud,Cisco,Eastbanc Technologies,Europa,HNA,Liz Rice,Loodse,OpenStack Foundation,PayScale,Portworx,Serverless,storageos,Streamplace,SUSE,Uber,CloudHealth Technologies,OpenStack,msg systems,Linux,LightStep,Juniper Networks,indiehosters,Hasura,GoodData,Fujitsu,FathomDB,Factotum,Edumall.vn,EasyStack,Dell,Datawire.io,Dataman,Cloudflare,Dailymotion,ZTE,Zalando,YouTube,WIDEN,wellcometrust,Weibo.com,Ubisoft,Tremolo Security,Tencent,Telefónica,Styra,StackPointCloud,Spirula Systems,SolidFire,SanDisk,DaoCloud,Aperian Global,Buoyant,Pieter Lange PTLC,Code Coup,Robert Koch-institut,RackN,Project Calico,Pretty Robots,Platform9,Pivotal,Concur,Canonical,ContainerStack.io,Covalent,CurrencyFair.com","CNCF,The Linux Foundation,Cleverstep,Vulk,Google,IBM,Red Hat,Intel,Heptio,SolarWinds,Samsung,Docker,Microsoft,Grafana,VMware,Huawei,Infoblox,inwinSTACK,SkyWalking,Iguaz.io,RX-M,Wipro Consulting Services,Oracle,Nirmata,Mirantis,Weaveworks,Walt Disney,Upbound,Apprenda,Twistlock,Treasure Data,Prometheus Consulting,Kinvolk,Robust Perception,Bitnami,EMC,SAP,Caicloud,Cisco,Eastbanc Technologies,Europa,HNA,Liz Rice,Loodse,OpenStack Foundation,PayScale,Portworx,Serverless,storageos,Streamplace,SUSE,Uber,CloudHealth Technologies,OpenStack,msg systems,Linux,LightStep,Juniper Networks,indiehosters,Hasura,GoodData,Fujitsu,FathomDB,Factotum,Edumall.vn,EasyStack,Dell,Datawire.io,Dataman,Cloudflare,Dailymotion,ZTE,Zalando,YouTube,WIDEN,wellcometrust,Weibo.com,Ubisoft,Tremolo Security,Tencent,Telefónica,Styra,StackPointCloud,Spirula Systems,SolidFire,SanDisk,DaoCloud,Aperian Global,Buoyant,Pieter Lange PTLC,Code Coup,Robert Koch-institut,RackN,Project Calico,Pretty Robots,Platform9,Pivotal,Concur,Canonical,ContainerStack.io,Covalent,CurrencyFair.com"
2018,1/1/2018,4/17/2018,CNCF,"CNCF,Vulk","CNCF,Vulk,Cleverstep","CNCF,Vulk,Cleverstep,IBM","CNCF,Vulk,Cleverstep,IBM,Red Hat","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft,AT&T,Magnet.me,Oracle,EMC,Pivotal","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft,AT&T,Magnet.me,Oracle,EMC,Pivotal,ZTE,Infoblox,inwinSTACK,OpenStack Foundation,WP Engine","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft,AT&T,Magnet.me,Oracle,EMC,Pivotal,ZTE,Infoblox,inwinSTACK,OpenStack Foundation,WP Engine,Wikimedia Foundation,Weaveworks,VMware,Uber,Treasure Data,SkyWalking,Shopify,RX-M,Loodse,home.ai,HNA,Hasura,Dell,Covalent,Cisco,Chef,Canonical,Buoyant,Baidu,Apprenda","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft,AT&T,Magnet.me,Oracle,EMC,Pivotal,ZTE,Infoblox,inwinSTACK,OpenStack Foundation,WP Engine,Wikimedia Foundation,Weaveworks,VMware,Uber,Treasure Data,SkyWalking,Shopify,RX-M,Loodse,home.ai,HNA,Hasura,Dell,Covalent,Cisco,Chef,Canonical,Buoyant,Baidu,Apprenda,Activision Blizzard","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft,AT&T,Magnet.me,Oracle,EMC,Pivotal,ZTE,Infoblox,inwinSTACK,OpenStack Foundation,WP Engine,Wikimedia Foundation,Weaveworks,VMware,Uber,Treasure Data,SkyWalking,Shopify,RX-M,Loodse,home.ai,HNA,Hasura,Dell,Covalent,Cisco,Chef,Canonical,Buoyant,Baidu,Apprenda,Activision Blizzard","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft,AT&T,Magnet.me,Oracle,EMC,Pivotal,ZTE,Infoblox,inwinSTACK,OpenStack Foundation,WP Engine,Wikimedia Foundation,Weaveworks,VMware,Uber,Treasure Data,SkyWalking,Shopify,RX-M,Loodse,home.ai,HNA,Hasura,Dell,Covalent,Cisco,Chef,Canonical,Buoyant,Baidu,Apprenda,Activision Blizzard","CNCF,Vulk,Cleverstep,IBM,Red Hat,The Linux Foundation,Google,Heptio,SolarWinds,Nirmata,Europa,Datawire.io,Quantum,Platform9,Samsung,Microsoft,Docker,Rackspace,LightStep,Lyft,AT&T,Magnet.me,Oracle,EMC,Pivotal,ZTE,Infoblox,inwinSTACK,OpenStack Foundation,WP Engine,Wikimedia Foundation,Weaveworks,VMware,Uber,Treasure Data,SkyWalking,Shopify,RX-M,Loodse,home.ai,HNA,Hasura,Dell,Covalent,Cisco,Chef,Canonical,Buoyant,Baidu,Apprenda,Activision Blizzard"
12/2015,12/1/2015,1/1/2016,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF
02/2016,2/1/2016,3/1/2016,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF
03/2016,3/1/2016,4/1/2016,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF
04/2016,4/1/2016,5/1/2016,CNCF,"CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat","CNCF,Red Hat"
05/2016,5/1/2016,6/1/2016,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF
