Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Since joining CNCF,12/7/2015,4/17/2018,1,1,1,1,1,4,5,7,8,10,21,40,69,110,120
2015,12/7/2015,1/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,1/1/2016,1/1/2017,0,1,2,3,3,7,10,12,14,14,18,23,23,23,23
2017,1/1/2017,1/1/2018,1,1,1,1,1,4,6,8,12,14,25,46,71,102,102
2018,1/1/2018,4/17/2018,1,1,1,1,1,2,4,7,9,11,16,34,51,51,51
12/2015,12/1/2015,1/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02/2016,2/1/2016,3/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
03/2016,3/1/2016,4/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04/2016,4/1/2016,5/1/2016,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
05/2016,5/1/2016,6/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06/2016,6/1/2016,7/1/2016,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
07/2016,7/1/2016,8/1/2016,1,1,1,2,3,6,6,6,6,6,6,6,6,6,6
08/2016,8/1/2016,9/1/2016,0,1,2,3,3,5,8,8,8,8,8,8,8,8,8
09/2016,9/1/2016,10/1/2016,0,1,2,2,3,4,4,4,4,4,4,4,4,4,4
10/2016,10/1/2016,11/1/2016,0,1,2,2,3,4,4,4,4,4,4,4,4,4,4
11/2016,11/1/2016,12/1/2016,0,1,1,2,3,6,9,9,11,11,12,12,12,12,12
12/2016,12/1/2016,1/1/2017,1,1,2,3,3,4,5,8,9,9,9,9,9,9,9
01/2017,1/1/2017,2/1/2017,0,1,2,2,2,5,6,7,7,7,7,7,7,7,7
02/2017,2/1/2017,3/1/2017,1,1,1,1,1,4,7,11,13,15,18,18,18,18,18
03/2017,3/1/2017,4/1/2017,1,1,2,2,2,6,9,10,13,14,18,18,18,18,18
04/2017,4/1/2017,5/1/2017,0,1,1,1,1,4,6,6,9,11,20,21,21,21,21
05/2017,5/1/2017,6/1/2017,1,1,1,1,1,2,5,8,8,9,9,9,9,9,9
06/2017,6/1/2017,7/1/2017,1,1,1,1,1,3,5,6,8,11,11,11,11,11,11
07/2017,7/1/2017,8/1/2017,0,1,2,2,2,4,6,10,12,12,12,12,12,12,12
08/2017,8/1/2017,9/1/2017,1,1,1,1,1,3,4,5,7,9,16,16,16,16,16
09/2017,9/1/2017,10/1/2017,1,1,1,1,2,6,7,10,10,12,14,14,14,14,14
10/2017,10/1/2017,11/1/2017,1,1,2,2,2,6,9,11,14,16,22,33,33,33,33
11/2017,11/1/2017,12/1/2017,1,1,1,1,2,4,8,12,15,19,32,49,49,49,49
12/2017,12/1/2017,1/1/2018,1,1,2,2,2,4,6,9,12,13,18,23,23,23,23
01/2018,1/1/2018,2/1/2018,1,1,2,2,2,3,6,8,12,16,24,27,27,27,27
02/2018,2/1/2018,3/1/2018,1,1,1,1,1,3,6,7,7,9,15,22,22,22,22
03/2018,3/1/2018,4/1/2018,1,1,1,1,1,2,3,4,7,7,13,26,26,26,26
04/2018,4/1/2018,5/1/2018,1,1,1,1,1,1,3,6,7,7,9,9,9,9,9
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 04/2016,4/1/2016,7/1/2016,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Quarter from 07/2016,7/1/2016,10/1/2016,0,1,2,3,3,4,7,10,12,12,12,12,12,12,12
Quarter from 10/2016,10/1/2016,1/1/2017,0,1,1,2,3,7,10,12,13,13,16,17,17,17,17
Quarter from 01/2017,1/1/2017,4/1/2017,1,1,1,1,1,5,9,10,11,11,20,31,31,31,31
Quarter from 04/2017,4/1/2017,7/1/2017,1,1,1,1,1,3,7,9,11,11,15,28,28,28,28
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,1,1,2,4,6,9,9,11,18,28,28,28,28
Quarter from 10/2017,10/1/2017,1/1/2018,1,1,1,2,2,5,7,10,10,13,27,42,69,69,69
Quarter from 01/2018,1/1/2018,4/1/2018,1,1,1,1,1,2,5,6,9,11,19,28,50,50,50
