Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
12/2015,12/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,85.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,55.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,42.5%,50.7%,52.1%,53.4%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%,54.8%
08/2016,8/1/2016,9/1/2016,31.4%,52.9%,64.3%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%,65.7%
09/2016,9/1/2016,10/1/2016,18.5%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%,30.8%
10/2016,10/1/2016,11/1/2016,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%,26.6%
11/2016,11/1/2016,12/1/2016,25.0%,30.4%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%,32.1%
12/2016,12/1/2016,1/1/2017,41.7%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
01/2017,1/1/2017,2/1/2017,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%,40.0%
02/2017,2/1/2017,3/1/2017,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%,68.9%
03/2017,3/1/2017,4/1/2017,34.3%,35.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%,36.3%
04/2017,4/1/2017,5/1/2017,29.0%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%,31.7%
05/2017,5/1/2017,6/1/2017,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%,80.2%
06/2017,6/1/2017,7/1/2017,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%,71.1%
07/2017,7/1/2017,8/1/2017,39.3%,47.8%,48.2%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%,48.6%
08/2017,8/1/2017,9/1/2017,55.8%,58.7%,59.6%,60.3%,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%,60.6%
09/2017,9/1/2017,10/1/2017,73.9%,75.2%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%,75.6%
10/2017,10/1/2017,11/1/2017,50.8%,53.2%,54.7%,55.6%,55.8%,56.3%,56.3%,56.3%,56.3%,56.3%,56.3%,56.3%,56.3%,56.3%,56.3%
11/2017,11/1/2017,12/1/2017,69.1%,77.2%,81.7%,82.9%,83.1%,83.4%,83.4%,83.4%,83.4%,83.4%,83.4%,83.4%,83.4%,83.4%,83.4%
12/2017,12/1/2017,1/1/2018,47.8%,66.1%,67.4%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%,67.9%
01/2018,1/1/2018,2/1/2018,61.8%,69.7%,72.2%,72.4%,72.4%,72.4%,72.4%,72.4%,72.4%,72.4%,72.4%,72.4%,72.4%,72.4%,72.4%
02/2018,2/1/2018,3/1/2018,65.1%,67.4%,69.1%,69.4%,69.6%,69.9%,69.9%,69.9%,69.9%,69.9%,69.9%,69.9%,69.9%,69.9%,69.9%
03/2018,3/1/2018,4/1/2018,68.8%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%,73.5%
04/2018,4/1/2018,5/1/2018,67.2%,68.1%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%,68.6%
