Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Quarter from 10/2015,10/1/2015,1/1/2016,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF
Quarter from 01/2016,1/1/2016,4/1/2016,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF,CNCF
Quarter from 04/2016,4/1/2016,7/1/2016,CNCF,"CNCF,PLYmedia","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat","CNCF,PLYmedia,Red Hat"
Quarter from 07/2016,7/1/2016,10/1/2016,CNCF,"CNCF,IBM","CNCF,IBM,SolarWinds","CNCF,IBM,SolarWinds,Google","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation","CNCF,IBM,SolarWinds,Google,The Linux Foundation"
Quarter from 10/2016,10/1/2016,1/1/2017,CNCF,"CNCF,SolarWinds","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel","CNCF,SolarWinds,Intel"
Quarter from 01/2017,1/1/2017,4/1/2017,CNCF,"CNCF,The Linux Foundation","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google","CNCF,The Linux Foundation,Google"
Quarter from 04/2017,4/1/2017,7/1/2017,CNCF,"CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds","CNCF,SolarWinds"
Quarter from 07/2017,7/1/2017,10/1/2017,CNCF,"CNCF,Vulk","CNCF,Vulk,Google","CNCF,Vulk,Google,The Linux Foundation","CNCF,Vulk,Google,The Linux Foundation,SolarWinds","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei","CNCF,Vulk,Google,The Linux Foundation,SolarWinds,Huawei"
Quarter from 10/2017,10/1/2017,1/1/2018,CNCF,"CNCF,Cleverstep","CNCF,Cleverstep,Vulk","CNCF,Cleverstep,Vulk,Google","CNCF,Cleverstep,Vulk,Google,IBM","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io","CNCF,Cleverstep,Vulk,Google,IBM,SolarWinds,Heptio,EMC,VMware,Iguaz.io"
Quarter from 01/2018,1/1/2018,4/1/2018,CNCF,"CNCF,Vulk","CNCF,Vulk,Cleverstep","CNCF,Vulk,Cleverstep,IBM","CNCF,Vulk,Cleverstep,IBM,SolarWinds","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google","CNCF,Vulk,Cleverstep,IBM,SolarWinds,Heptio,EMC,Google"
