Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 10/2015,10/1/2015,1/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,70.2%,91.5%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
Quarter from 07/2016,7/1/2016,10/1/2016,23.8%,37.5%,47.9%,50.2%,50.5%,51.6%,52.0%,52.0%,52.0%,52.0%,52.0%,52.0%,52.0%,52.0%,52.0%
Quarter from 10/2016,10/1/2016,1/1/2017,19.2%,22.5%,25.2%,26.6%,27.9%,32.5%,34.1%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%,34.7%
Quarter from 01/2017,1/1/2017,4/1/2017,36.8%,42.0%,44.6%,46.4%,48.0%,52.2%,53.8%,54.9%,56.0%,57.1%,57.4%,57.4%,57.4%,57.4%,57.4%
Quarter from 04/2017,4/1/2017,7/1/2017,47.7%,50.5%,51.7%,52.7%,53.3%,55.3%,56.2%,56.8%,57.3%,57.7%,57.7%,57.7%,57.7%,57.7%,57.7%
Quarter from 07/2017,7/1/2017,10/1/2017,48.8%,53.2%,55.6%,56.5%,57.4%,58.8%,59.6%,60.1%,60.5%,60.8%,60.8%,60.8%,60.8%,60.8%,60.8%
Quarter from 10/2017,10/1/2017,1/1/2018,49.8%,56.5%,61.5%,64.1%,66.4%,70.2%,71.3%,72.1%,72.6%,73.0%,74.3%,75.1%,75.1%,75.1%,75.1%
Quarter from 01/2018,1/1/2018,4/1/2018,60.0%,63.8%,65.7%,66.7%,67.5%,68.9%,69.4%,69.8%,70.0%,70.2%,70.8%,70.8%,70.8%,70.8%,70.8%
