ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
2,2015-12-07T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,862,10000,6383,1689,1928,566,4277,544,39,336,280,80,484,120,15,68,88,32,111,11.600928074245939,7.4048723897911835,1.9593967517401392,2.2366589327146174,0.6566125290023201,4.961716937354988,"lukaszgryglicki,dankohn,dlx,caniszczyk",CNCF,1,5595,55.9500000000000000,"CNCF,Vulk,IBM,Cleverstep",5763,57.6300000000000000,"lukaszgryglicki,dlx,hh,dankohn",CNCF,1,4488,70.3117656274479085,"CNCF,Cleverstep,Vulk,IBM",4207,65.9094469685101050,"dankohn,shawnpreissner,lukaszgryglicki,caniszczyk","CNCF,The Linux Foundation",2,823,48.7270574304322084,"CNCF,The Linux Foundation,Red Hat,Vulk",905,53.5820011841326229,"zilman,caniszczyk,dankohn,duglin","CNCF,IBM",2,746,38.6929460580912863,"CNCF,IBM,Vulk,SolarWinds",891,46.2136929460580913,"lukaszgryglicki,duglin,bgrant0607,dankohn","CNCF,IBM,Google",3,225,39.7526501766784452,"CNCF,IBM,Google,Red Hat",373,65.9010600706713781,"dankohn,lukaszgryglicki,shawnpreissner,caniszczyk","CNCF,The Linux Foundation",2,1843,43.0909516015898995,"CNCF,The Linux Foundation,Red Hat,Google",2391,55.9036707972878186
1001,2015-12-07T00:00:00Z,2016-01-01T00:00:00Z,2015,25,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0.04,0.04,0,0,0,0,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,986,377,202,407,122,458,77,11,66,20,13,60,23,8,17,11,7,17,2.6939890710382515,1.030054644808743,0.5519125683060109,1.1120218579234973,0.3333333333333333,1.2513661202185793,"zilman,caniszczyk,duglin,leecalcote","CNCF,IBM,SolarWinds",3,816,82.7586206896551724,"CNCF,IBM,SolarWinds,Google",411,41.6835699797160243,"zilman,caniszczyk,duglin,leecalcote","CNCF,IBM,SolarWinds",3,354,93.8992042440318302,"CNCF,IBM,SolarWinds,PLYmedia",179,47.4801061007957560,"zilman,caniszczyk,dankohn,duglin","CNCF,IBM",2,114,56.4356435643564356,"CNCF,IBM,Intel,Red Hat",58,28.7128712871287129,"zilman,duglin,leecalcote,caniszczyk","IBM,SolarWinds,CNCF",3,357,87.7149877149877150,"IBM,SolarWinds,CNCF,Google",188,46.1916461916461916,"duglin,jonboulle,MHBauer,vaikas-google","IBM,Red Hat,Google",3,87,71.3114754098360656,"IBM,Google,Red Hat,CNCF",114,93.4426229508196721,"duglin,dankohn,caniszczyk,zilman","IBM,CNCF",2,224,48.9082969432314410,"IBM,CNCF,Google,Intel",296,64.6288209606986900
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,4784,3201,827,756,332,2119,360,27,228,168,52,333,102,12,54,73,23,86,13.106849315068493,8.76986301369863,2.265753424657534,2.0712328767123287,0.9095890410958904,5.8054794520547945,"lukaszgryglicki,hh,dlx,caniszczyk",CNCF,1,2968,62.0401337792642140,"CNCF,The Linux Foundation,Cleverstep,Vulk",2763,57.7550167224080268,"lukaszgryglicki,hh,dlx,caniszczyk",CNCF,1,2563,80.0687285223367698,"CNCF,Cleverstep,Vulk,Google",2072,64.7297719462667916,"shawnpreissner,dankohn,caniszczyk,hh","The Linux Foundation,CNCF",2,385,46.5538089480048368,"The Linux Foundation,CNCF,Vulk,Intel",412,49.8186215235792019,"caniszczyk,kbarnard10,dlx,zilman",CNCF,1,301,39.8148148148148148,"CNCF,IBM,Google,Cleverstep",384,50.7936507936507937,"lukaszgryglicki,bgrant0607,quinton-hoole,dankohn","CNCF,Google,Huawei",3,154,46.3855421686746988,"CNCF,Google,IBM,Huawei",218,65.6626506024096386,"shawnpreissner,dankohn,lukaszgryglicki,caniszczyk","The Linux Foundation,CNCF",2,919,43.3695139216611609,"CNCF,The Linux Foundation,Google,Red Hat",1211,57.1495988673902784
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,4229,2804,660,765,112,1700,201,24,83,144,38,192,51,8,22,41,19,55,39.89622641509434,26.452830188679247,6.226415094339623,7.216981132075472,1.0566037735849056,16.037735849056602,"lukaszgryglicki,dankohn,dlx,ZeusTheTrueGod",CNCF,1,2856,67.5336959091983921,"CNCF,Vulk,Cleverstep,IBM",2824,66.7770158429888863,"lukaszgryglicki,dlx,dankohn,ZeusTheTrueGod",CNCF,1,2171,77.4251069900142653,"CNCF,Vulk,Cleverstep,IBM",2010,71.6833095577746077,"dankohn,lukaszgryglicki,lixuna,ZeusTheTrueGod",CNCF,1,497,75.3030303030303030,"CNCF,Red Hat,The Linux Foundation,Heptio",468,70.9090909090909091,"dankohn,taylorwaggoner,taylor,caniszczyk","CNCF,Vulk",2,328,42.8758169934640523,"CNCF,Vulk,IBM,Red Hat",382,49.9346405228758170,"justincormack,stealthybox,duglin,dankohn","Docker,AT&T,IBM,CNCF",4,36,32.1428571428571429,"CNCF,Docker,IBM,AT&T",56,50.0000000000000000,"lukaszgryglicki,dankohn,CNCF-Bot,ZeusTheTrueGod",CNCF,1,950,55.8823529411764706,"CNCF,Red Hat,The Linux Foundation,IBM",986,58.0000000000000000
2001,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,12/2015,31,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0.03225806451612903,0.03225806451612903,0,0,0,0,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,02/2016,29,3,2,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0.10344827586206896,0.06896551724137931,0.034482758620689655,0,0,0,caniszczyk,CNCF,1,3,100.0000000000000000,CNCF,3,100.0000000000000000,caniszczyk,CNCF,1,2,100.0000000000000000,CNCF,2,100.0000000000000000,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000,,,,,,,,,,,,,,,,,,,,,,,,
2004,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,03/2016,31,7,5,1,1,4,1,1,1,1,1,3,1,1,1,1,1,3,1,0.22580645161290322,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.03225806451612903,caniszczyk,CNCF,1,7,100.0000000000000000,CNCF,7,100.0000000000000000,caniszczyk,CNCF,1,5,100.0000000000000000,CNCF,5,100.0000000000000000,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000,"duglin,jonboulle,caniszczyk","IBM,Red Hat,CNCF",3,4,100.0000000000000000,"IBM,Red Hat,CNCF",4,100.0000000000000000,caniszczyk,CNCF,1,1,100.0000000000000000,CNCF,1,100.0000000000000000
2005,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,04/2016,30,13,7,2,4,16,17,2,2,1,1,3,6,2,2,1,1,3,4,0.43333333333333335,0.23333333333333334,0.06666666666666667,0.13333333333333333,0.5333333333333333,0.5666666666666667,"caniszczyk,jonboulle","CNCF,Red Hat",2,13,100.0000000000000000,"CNCF,Red Hat",13,100.0000000000000000,"caniszczyk,jonboulle","CNCF,Red Hat",2,7,100.0000000000000000,"CNCF,Red Hat",7,100.0000000000000000,caniszczyk,CNCF,1,2,100.0000000000000000,CNCF,2,100.0000000000000000,caniszczyk,CNCF,1,4,100.0000000000000000,CNCF,4,100.0000000000000000,"bgrant0607,caniszczyk,duglin","Google,CNCF,IBM",3,16,100.0000000000000000,"Google,CNCF,IBM",16,100.0000000000000000,"caniszczyk,bgrant0607,duglin,jonboulle","CNCF,Google,IBM,Red Hat",4,15,88.2352941176470588,"CNCF,Google,Red Hat,IBM",15,88.2352941176470588
2006,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,05/2016,31,5,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0.16129032258064516,0.16129032258064516,0,0,0,0,caniszczyk,CNCF,1,5,100.0000000000000000,CNCF,5,100.0000000000000000,caniszczyk,CNCF,1,5,100.0000000000000000,CNCF,5,100.0000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
