Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,4/5/2015,5/23/2017,49.2%,65.0%,72.9%,77.0%,79.0%,85.6%,88.8%,90.3%,91.3%,92.0%,93.3%,93.3%,93.3%,93.3%,93.3%
Since joining CNCF,5/23/2017,4/17/2018,47.8%,70.9%,76.1%,79.0%,81.1%,86.9%,89.1%,90.4%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
2015,4/5/2015,1/1/2016,90.5%,94.0%,95.0%,96.0%,97.0%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%
2016,1/1/2016,1/1/2017,44.6%,64.2%,69.5%,74.5%,77.5%,85.7%,88.8%,90.2%,91.0%,91.9%,92.1%,92.1%,92.1%,92.1%,92.1%
2017,1/1/2017,1/1/2018,39.3%,62.8%,72.2%,76.4%,78.3%,85.3%,88.6%,90.3%,91.1%,91.8%,91.8%,91.8%,91.8%,91.8%,91.8%
2018,1/1/2018,4/17/2018,54.5%,68.5%,73.4%,78.3%,81.1%,88.1%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%
04/2015,4/1/2015,5/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,91.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,84.2%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%
09/2015,9/1/2015,10/1/2015,86.4%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%
10/2015,10/1/2015,11/1/2015,63.6%,81.8%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,83.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,62.8%,76.7%,83.7%,90.7%,93.0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
02/2016,2/1/2016,3/1/2016,39.1%,60.9%,65.2%,69.6%,73.9%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%
