Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
04/2015,4/1/2015,5/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,91.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,84.2%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%
09/2015,9/1/2015,10/1/2015,86.4%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%
10/2015,10/1/2015,11/1/2015,63.6%,81.8%,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,83.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,62.8%,76.7%,83.7%,90.7%,93.0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
02/2016,2/1/2016,3/1/2016,39.1%,60.9%,65.2%,69.6%,73.9%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%,84.8%
03/2016,3/1/2016,4/1/2016,50.0%,80.2%,87.2%,91.9%,93.0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
04/2016,4/1/2016,5/1/2016,54.5%,70.9%,87.3%,94.5%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,67.6%,80.0%,83.8%,84.8%,85.7%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%,89.5%
06/2016,6/1/2016,7/1/2016,44.6%,57.1%,64.3%,69.6%,73.2%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%,83.9%
07/2016,7/1/2016,8/1/2016,56.5%,78.3%,82.6%,87.0%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%,91.3%
08/2016,8/1/2016,9/1/2016,26.2%,50.0%,59.5%,69.0%,76.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%,95.2%
09/2016,9/1/2016,10/1/2016,50.0%,86.4%,90.9%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%
10/2016,10/1/2016,11/1/2016,51.3%,66.7%,69.2%,71.8%,74.4%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%,82.1%
11/2016,11/1/2016,12/1/2016,32.4%,56.8%,62.2%,67.6%,70.3%,83.8%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
12/2016,12/1/2016,1/1/2017,44.4%,85.2%,92.6%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
01/2017,1/1/2017,2/1/2017,33.3%,66.7%,83.3%,91.7%,94.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,33.3%,59.6%,80.7%,84.2%,87.7%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
03/2017,3/1/2017,4/1/2017,21.5%,41.5%,58.5%,64.6%,67.7%,81.5%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%,87.7%
04/2017,4/1/2017,5/1/2017,29.8%,47.4%,57.9%,66.7%,71.9%,89.5%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
05/2017,5/1/2017,6/1/2017,50.7%,66.2%,74.6%,81.7%,84.5%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
06/2017,6/1/2017,7/1/2017,44.6%,74.6%,83.1%,85.4%,87.7%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
07/2017,7/1/2017,8/1/2017,40.6%,64.1%,71.9%,76.6%,79.7%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%,89.1%
08/2017,8/1/2017,9/1/2017,49.4%,80.5%,87.4%,90.8%,92.0%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
09/2017,9/1/2017,10/1/2017,66.7%,83.3%,85.4%,87.5%,89.6%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%,91.7%
10/2017,10/1/2017,11/1/2017,40.0%,64.0%,72.0%,80.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
11/2017,11/1/2017,12/1/2017,38.3%,73.3%,78.3%,80.0%,81.7%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%,85.0%
