Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Quarter from 04/2015,4/1/2015,7/1/2015,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat,Red Hat
Quarter from 07/2015,7/1/2015,10/1/2015,Red Hat,"Red Hat,Weaveworks","Red Hat,Weaveworks,Huawei","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch","Red Hat,Weaveworks,Huawei,Metaswitch"
Quarter from 10/2015,10/1/2015,1/1/2016,Red Hat,"Red Hat,Google","Red Hat,Google,Weaveworks","Red Hat,Google,Weaveworks,Metaswitch","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel","Red Hat,Google,Weaveworks,Metaswitch,Intel"
Quarter from 01/2016,1/1/2016,4/1/2016,Red Hat,"Red Hat,Pivotal","Red Hat,Pivotal,EMC","Red Hat,Pivotal,EMC,Cisco","Red Hat,Pivotal,EMC,Cisco,Huawei","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google","Red Hat,Pivotal,EMC,Cisco,Huawei,Weaveworks,Metaswitch,Kinvolk,Mesosphere,Microsoft,Debian,Apcera,Intel,Google"
Quarter from 04/2016,4/1/2016,7/1/2016,Red Hat,"Red Hat,Weaveworks","Red Hat,Weaveworks,Pivotal","Red Hat,Weaveworks,Pivotal,Metaswitch","Red Hat,Weaveworks,Pivotal,Metaswitch,Google","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds","Red Hat,Weaveworks,Pivotal,Metaswitch,Google,Fujitsu,Mesosphere,42 Tech,Hyper.sh,Rancher,Cisco,Bulletproof,Kinvolk,Tencent,SolarWinds"
Quarter from 07/2016,7/1/2016,10/1/2016,Pivotal,"Pivotal,Red Hat","Pivotal,Red Hat,Metaswitch","Pivotal,Red Hat,Metaswitch,Intel","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh","Pivotal,Red Hat,Metaswitch,Intel,Mesosphere,Mirantis,Google,Nirmata,Covalent,Fujitsu,EMC,Weaveworks,Hyper.sh"
Quarter from 10/2016,10/1/2016,1/1/2017,Pivotal,"Pivotal,Red Hat","Pivotal,Red Hat,Intel","Pivotal,Red Hat,Intel,Futurequest","Pivotal,Red Hat,Intel,Futurequest,Tencent","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic","Pivotal,Red Hat,Intel,Futurequest,Tencent,Mesosphere,Metaswitch,SalesForce,42 Tech,Canonical,Cisco,Heroku,IBM,Infoblox,Weaveworks,Softonic"
Quarter from 01/2017,1/1/2017,4/1/2017,Metaswitch,"Metaswitch,Pivotal","Metaswitch,Pivotal,Red Hat","Metaswitch,Pivotal,Red Hat,Microsoft","Metaswitch,Pivotal,Red Hat,Microsoft,Intel","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global","Metaswitch,Pivotal,Red Hat,Microsoft,Intel,HPE,Cisco,Weaveworks,Google,Mesosphere,Net EASE,SalesForce,Apprenda,Docker,viralkitty,New Networking,Aperian Global"
Quarter from 04/2017,4/1/2017,7/1/2017,Red Hat,"Red Hat,Pivotal","Red Hat,Pivotal,Weaveworks","Red Hat,Pivotal,Weaveworks,Metaswitch","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE","Red Hat,Pivotal,Weaveworks,Metaswitch,CNCF,Hyper.sh,Cisco,Google,Intel,Skuid,SalesForce,Microsoft,MailChimp,Tigera,IBM,Heptio,Huawei,ZTE"
Quarter from 07/2017,7/1/2017,10/1/2017,Red Hat,"Red Hat,Pivotal","Red Hat,Pivotal,Metaswitch","Red Hat,Pivotal,Metaswitch,Weaveworks","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera","Red Hat,Pivotal,Metaswitch,Weaveworks,DaoCloud,Google,Intel,IBM,Verizon,Cisco,Mesosphere,Hyper.sh,CNCF,VMware,Tigera"
