ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2015-04-05T00:00:00Z,2017-05-23T00:00:00Z,Before joining CNCF,779,1050,236,265,549,705,1984,118,11,71,80,44,142,44,4,26,37,19,44,1.3478818998716302,0.3029525032092426,0.34017971758664955,0.7047496790757382,0.9050064184852374,2.546854942233633,"steveeJ,rosenhouse,eyakubovich,tomdee","Red Hat,Pivotal,Metaswitch",3,547,52.0952380952380952,"Red Hat,Pivotal,Metaswitch,Weaveworks",809,77.0476190476190476,"steveeJ,rosenhouse,tomdee,eyakubovich","Red Hat,Pivotal,Metaswitch",3,161,68.2203389830508475,"Red Hat,Pivotal,Metaswitch,Weaveworks",236,100.0000000000000000,"steveeJ,eyakubovich,rosenhouse,tomdee","Red Hat,Pivotal,Metaswitch",3,110,41.5094339622641509,"Red Hat,Pivotal,Google,Metaswitch",156,58.8679245283018868,"steveeJ,rosenhouse,eyakubovich,dcbw","Red Hat,Pivotal",2,287,52.2768670309653916,"Red Hat,Pivotal,Metaswitch,Weaveworks",424,77.2313296903460838,"steveeJ,jonboulle,dcbw,eyakubovich",Red Hat,1,409,58.0141843971631206,"Red Hat,Pivotal,Google,Cisco",581,82.4113475177304965,"dcbw,steveeJ,rosenhouse,squeed","Red Hat,Pivotal",2,820,41.3306451612903226,"Red Hat,Pivotal,Weaveworks,Google",1336,67.3387096774193548
2,2017-05-23T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,329,594,121,141,332,268,838,82,6,52,52,32,101,21,5,15,20,13,27,1.8054711246200608,0.3677811550151976,0.42857142857142855,1.0091185410334347,0.8145896656534954,2.547112462006079,"squeed,rosenhouse,dcbw,bboreham","Red Hat,Pivotal,Weaveworks",3,437,73.5690235690235690,"Red Hat,Pivotal,Weaveworks,Metaswitch",469,78.9562289562289562,"rosenhouse,squeed,dcbw,bboreham","Pivotal,Red Hat,Weaveworks",3,114,94.2148760330578512,"Red Hat,Pivotal,Weaveworks,Metaswitch",118,97.5206611570247934,"squeed,rosenhouse,dcbw,bboreham","Red Hat,Pivotal,Weaveworks",3,85,60.2836879432624113,"Red Hat,Pivotal,Weaveworks,Intel",96,68.0851063829787234,"squeed,rosenhouse,dcbw,bboreham","Red Hat,Pivotal,Weaveworks",3,238,71.6867469879518072,"Red Hat,Pivotal,Weaveworks,Google",258,77.7108433734939759,"squeed,rosenhouse,dcbw,rakelkar","Red Hat,Pivotal",2,174,64.9253731343283582,"Red Hat,Pivotal,Weaveworks,Cisco",182,67.9104477611940299,"squeed,dcbw,rosenhouse,bboreham","Red Hat,Pivotal,Weaveworks",3,504,60.1431980906921241,"Red Hat,Pivotal,Weaveworks,Intel",556,66.3484486873508353
1001,2015-04-05T00:00:00Z,2016-01-01T00:00:00Z,2015,271,200,45,60,95,153,226,15,4,12,8,11,28,6,2,5,4,5,11,0.7380073800738007,0.16605166051660517,0.22140221402214022,0.3505535055350554,0.5645756457564576,0.8339483394833949,"eyakubovich,steveeJ,jonboulle,squaremo","Red Hat,Weaveworks",2,185,92.5000000000000000,"Red Hat,Weaveworks,Metaswitch,Huawei",192,96.0000000000000000,"eyakubovich,steveeJ,jonboulle,squaremo","Red Hat,Weaveworks",2,45,100.0000000000000000,"Red Hat,Weaveworks",45,100.0000000000000000,"eyakubovich,steveeJ,jonboulle,rushmorem",Red Hat,1,51,85.0000000000000000,"Red Hat,Google,Intel,Huawei",55,91.6666666666666667,"eyakubovich,steveeJ,jonboulle,squaremo","Red Hat,Weaveworks",2,91,95.7894736842105263,"Red Hat,Weaveworks,Metaswitch,Huawei",94,98.9473684210526316,"jonboulle,eyakubovich,thockin,joshix","Red Hat,Google",2,141,92.1568627450980392,"Red Hat,Google,Kinvolk,Weaveworks",152,99.3464052287581699,"eyakubovich,jonboulle,steveeJ,dcbw",Red Hat,1,162,71.6814159292035398,"Red Hat,Weaveworks,Google,Huawei",196,86.7256637168141593
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,581,124,144,313,413,1220,73,8,47,50,30,83,31,4,21,25,15,30,1.5874316939890711,0.33879781420765026,0.39344262295081966,0.855191256830601,1.1284153005464481,3.3333333333333335,"steveeJ,rosenhouse,zachgersh,dcbw","Red Hat,Pivotal",2,334,57.4870912220309811,"Red Hat,Pivotal,Weaveworks,Metaswitch",433,74.5266781411359725,"steveeJ,rosenhouse,squaremo,zachgersh","Red Hat,Pivotal,Weaveworks",3,100,80.6451612903225806,"Red Hat,Pivotal,Weaveworks,Metaswitch",124,100.0000000000000000,"steveeJ,rosenhouse,qianzhangxa,asridharan","Red Hat,Pivotal,Mesosphere",3,63,43.7500000000000000,"Red Hat,Pivotal,Mesosphere,Google",80,55.5555555555555556,"steveeJ,rosenhouse,dcbw,zachgersh","Red Hat,Pivotal",2,182,58.1469648562300319,"Red Hat,Pivotal,Weaveworks,Metaswitch",237,75.7188498402555911,"steveeJ,dcbw,jonboulle,rosenhouse","Red Hat,Pivotal",2,276,66.8280871670702179,"Red Hat,Pivotal,Kinvolk,Google",339,82.0823244552058111,"steveeJ,dcbw,rosenhouse,zachgersh","Red Hat,Pivotal",2,597,48.9344262295081967,"Red Hat,Pivotal,Weaveworks,Intel",829,67.9508196721311475
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,720,157,165,398,356,1149,90,7,53,58,35,120,30,5,15,27,15,34,1.9726027397260273,0.4301369863013699,0.4520547945205479,1.0904109589041096,0.9753424657534246,3.147945205479452,"rosenhouse,squeed,dcbw,tomdee","Pivotal,Red Hat,Metaswitch",3,507,70.4166666666666667,"Red Hat,Pivotal,Metaswitch,Weaveworks",550,76.3888888888888889,"rosenhouse,dcbw,squeed,tomdee","Pivotal,Red Hat,Metaswitch",3,148,94.2675159235668790,"Red Hat,Pivotal,Metaswitch,Weaveworks",155,98.7261146496815287,"squeed,rosenhouse,bboreham,dcbw","Red Hat,Pivotal,Weaveworks",3,84,50.9090909090909091,"Red Hat,Pivotal,Weaveworks,Metaswitch",100,60.6060606060606061,"rosenhouse,squeed,dcbw,tomdee","Pivotal,Red Hat,Metaswitch",3,278,69.8492462311557789,"Red Hat,Pivotal,Metaswitch,Weaveworks",295,74.1206030150753769,"dcbw,rosenhouse,squeed,rakelkar","Red Hat,Pivotal",2,215,60.3932584269662921,"Red Hat,Pivotal,Cisco,Weaveworks",252,70.7865168539325843,"squeed,dcbw,rosenhouse,bboreham","Red Hat,Pivotal,Weaveworks",3,644,56.0487380330722367,"Red Hat,Pivotal,Weaveworks,Google",732,63.7075718015665796
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,143,31,37,75,51,227,33,5,23,22,15,42,11,4,9,10,7,14,1.349056603773585,0.29245283018867924,0.3490566037735849,0.7075471698113207,0.4811320754716981,2.141509433962264,"squeed,dcbw,rosenhouse,bboreham","Red Hat,Pivotal,Weaveworks",3,94,65.7342657342657343,"Red Hat,Pivotal,Google,Weaveworks",112,78.3216783216783217,"squeed,dcbw,rosenhouse,bboreham","Red Hat,Pivotal,Weaveworks",3,30,96.7741935483870968,"Red Hat,Pivotal,Weaveworks,Tigera",31,100.0000000000000000,"squeed,nyren,jingax10,jellonek","Red Hat,Google,Intel",3,18,48.6486486486486486,"Red Hat,Google,Tigera,Weaveworks",22,59.4594594594594595,"squeed,dcbw,rosenhouse,jingax10","Red Hat,Pivotal,Google",3,50,66.6666666666666667,"Red Hat,Pivotal,Google,Huawei",60,80.0000000000000000,"squeed,rosenhouse,dcbw,matthewdupre","Red Hat,Pivotal,Tigera",3,33,64.7058823529411765,"Red Hat,Pivotal,Tigera,Weaveworks",39,76.4705882352941176,"squeed,dcbw,m1093782566,rosenhouse","Red Hat,Huawei,Pivotal",3,123,54.1850220264317181,"Red Hat,Huawei,Pivotal,Weaveworks",159,70.0440528634361233
2001,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,04/2015,30,9,3,1,5,51,23,2,1,1,2,4,7,1,1,1,1,2,3,0.3,0.1,0.03333333333333333,0.16666666666666666,1.7,0.7666666666666667,"eyakubovich,jonboulle",Red Hat,1,9,100.0000000000000000,Red Hat,9,100.0000000000000000,eyakubovich,Red Hat,1,3,100.0000000000000000,Red Hat,3,100.0000000000000000,eyakubovich,Red Hat,1,1,100.0000000000000000,Red Hat,1,100.0000000000000000,"eyakubovich,jonboulle",Red Hat,1,5,100.0000000000000000,Red Hat,5,100.0000000000000000,"thockin,jonboulle,eyakubovich,rajatchopra","Google,Red Hat",2,51,100.0000000000000000,"Red Hat,Google",51,100.0000000000000000,"eyakubovich,joeswaminathan,jonboulle,errordeveloper","Red Hat,Weaveworks",2,19,82.6086956521739130,"Red Hat,Weaveworks,VMware",18,78.2608695652173913
2002,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,05/2015,31,28,6,11,11,9,23,3,1,3,2,2,7,1,1,1,1,1,4,0.9032258064516129,0.1935483870967742,0.3548387096774194,0.3548387096774194,0.2903225806451613,0.7419354838709677,"eyakubovich,steveeJ,jonboulle",Red Hat,1,28,100.0000000000000000,Red Hat,28,100.0000000000000000,eyakubovich,Red Hat,1,6,100.0000000000000000,Red Hat,6,100.0000000000000000,"eyakubovich,steveeJ,jonboulle",Red Hat,1,11,100.0000000000000000,Red Hat,11,100.0000000000000000,"eyakubovich,steveeJ",Red Hat,1,11,100.0000000000000000,Red Hat,11,100.0000000000000000,"jonboulle,eyakubovich",Red Hat,1,9,100.0000000000000000,Red Hat,9,100.0000000000000000,"eyakubovich,jonboulle,vcaputo,steveeJ",Red Hat,1,18,78.2608695652173913,"Red Hat,Google,Qwil,Cisco",21,91.3043478260869565
2003,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,06/2015,30,22,6,4,12,29,11,2,2,1,2,3,3,1,1,1,1,1,1,0.7333333333333333,0.2,0.13333333333333333,0.4,0.9666666666666667,0.36666666666666664,"eyakubovich,jonboulle",Red Hat,1,22,100.0000000000000000,Red Hat,22,100.0000000000000000,"eyakubovich,jonboulle",Red Hat,1,6,100.0000000000000000,Red Hat,6,100.0000000000000000,eyakubovich,Red Hat,1,4,100.0000000000000000,Red Hat,4,100.0000000000000000,"eyakubovich,jonboulle",Red Hat,1,12,100.0000000000000000,Red Hat,12,100.0000000000000000,"jonboulle,eyakubovich,philips",Red Hat,1,29,100.0000000000000000,Red Hat,29,100.0000000000000000,"jonboulle,eyakubovich,victorwangyang",Red Hat,1,11,100.0000000000000000,Red Hat,10,90.9090909090909091
2004,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,07/2015,31,24,6,6,12,2,29,3,2,3,3,2,5,2,1,2,2,2,3,0.7741935483870968,0.1935483870967742,0.1935483870967742,0.3870967741935484,0.06451612903225806,0.9354838709677419,"eyakubovich,jonboulle,zenlinTechnofreak","Red Hat,Huawei",2,24,100.0000000000000000,"Red Hat,Huawei",24,100.0000000000000000,"eyakubovich,jonboulle",Red Hat,1,6,100.0000000000000000,Red Hat,6,100.0000000000000000,"eyakubovich,zenlinTechnofreak,jonboulle","Red Hat,Huawei",2,6,100.0000000000000000,"Red Hat,Huawei",6,100.0000000000000000,"eyakubovich,jonboulle,zenlinTechnofreak","Red Hat,Huawei",2,12,100.0000000000000000,"Red Hat,Huawei",12,100.0000000000000000,"jonboulle,zenlinTechnofreak","Red Hat,Huawei",2,2,100.0000000000000000,"Red Hat,Huawei",2,100.0000000000000000,"eyakubovich,zenlinTechnofreak,jonboulle,steveeJ","Red Hat,Huawei",2,26,89.6551724137931034,"Red Hat,Huawei,Kinvolk",29,100.0000000000000000
