Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
Before joining CNCF,2015-12-17,2017-03-29,1,1,1,2,5,6,6,6,6,6,6,6,6,6
Since joining CNCF,2017-03-29,2018-04-12,1,2,2,3,7,8,8,8,8,8,8,8,8,8
start - v0.0.5,2015-12-17,2016-02-12,1,1,2,2,2,2,2,2,2,2,2,2,2,2
v0.0.5 - v0.1.0,2016-02-12,2016-03-21,1,2,2,2,2,2,2,2,2,2,2,2,2,2
v0.1.0 - v0.2.0,2016-03-21,2016-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
v0.2.0 - v0.2.9,2016-04-14,2017-05-30,1,1,1,2,5,5,5,5,5,5,5,5,5,5
v0.2.9 - v1.0.0-alpha0,2017-05-30,2017-07-13,1,1,1,2,4,4,4,4,4,4,4,4,4,4
v1.0.0-alpha0 - v1.0.0-alpha6,2017-07-13,2017-08-23,1,1,2,2,4,4,4,4,4,4,4,4,4,4
v1.0.0-alpha6 - v1.0.0-beta.0,2017-08-23,2017-09-06,1,1,1,2,2,2,2,2,2,2,2,2,2,2
v1.0.0-beta.0 - v1.0.0-beta.3,2017-09-06,2017-11-08,1,2,2,3,5,5,5,5,5,5,5,5,5,5
v1.0.0-beta.3 - v1.0.0,2017-11-08,2017-12-05,1,1,2,3,5,5,5,5,5,5,5,5,5,5
v1.0.0 - v1.0.1,2017-12-05,2018-01-17,1,2,2,4,7,7,7,7,7,7,7,7,7,7
v1.0.1 - v1.0.2,2018-01-17,2018-02-13,1,2,2,3,5,5,5,5,5,5,5,5,5,5
v1.0.2 - v1.0.3,2018-02-13,2018-04-02,1,2,2,3,6,6,6,6,6,6,6,6,6,6
v1.0.3 - v1.1.0-rc.1,2018-04-02,2018-04-05,1,2,2,4,4,4,4,4,4,4,4,4,4,4
v1.1.0.rc.1 - now,2018-04-05,2018-04-12,1,2,2,4,4,4,4,4,4,4,4,4,4,4
2015-12-17,2015-12-17,2016-01-17,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2016-01-17,2016-01-17,2016-02-17,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016-02-17,2016-02-17,2016-03-17,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016-03-17,2016-03-17,2016-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-04-17,2016-04-17,2016-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-05-17,2016-05-17,2016-06-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-06-17,2016-06-17,2016-07-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-07-17,2016-07-17,2016-08-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-08-17,2016-08-17,2016-09-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-09-17,2016-09-17,2016-10-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-10-17,2016-10-17,2016-11-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-11-17,2016-11-17,2016-12-17,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2016-12-17,2016-12-17,2017-01-17,1,1,2,3,3,3,3,3,3,3,3,3,3,3
2017-01-17,2017-01-17,2017-02-17,1,1,1,2,3,3,3,3,3,3,3,3,3,3
2017-02-17,2017-02-17,2017-03-17,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2017-03-17,2017-03-17,2017-04-17,1,1,2,3,4,4,4,4,4,4,4,4,4,4
2017-04-17,2017-04-17,2017-05-17,1,1,1,3,5,5,5,5,5,5,5,5,5,5
2017-05-17,2017-05-17,2017-06-17,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2017-06-17,2017-06-17,2017-07-17,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2017-07-17,2017-07-17,2017-08-17,1,1,2,2,4,4,4,4,4,4,4,4,4,4
2017-08-17,2017-08-17,2017-09-17,1,1,2,2,3,3,3,3,3,3,3,3,3,3
2017-09-17,2017-09-17,2017-10-17,1,2,2,3,5,5,5,5,5,5,5,5,5,5
2017-10-17,2017-10-17,2017-11-17,1,2,2,3,5,5,5,5,5,5,5,5,5,5
2017-11-17,2017-11-17,2017-12-17,1,2,2,3,4,4,4,4,4,4,4,4,4,4
2017-12-17,2017-12-17,2018-01-17,1,2,3,4,6,6,6,6,6,6,6,6,6,6
2018-01-17,2018-01-17,2018-02-17,1,2,2,3,5,5,5,5,5,5,5,5,5,5
2018-02-17,2018-02-17,2018-03-17,1,2,3,3,6,6,6,6,6,6,6,6,6,6
2018-03-17,2018-03-17,2018-04-17,1,2,2,3,5,5,5,5,5,5,5,5,5,5
Quarter from 2015-10,2015-10-01,2016-01-01,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Quarter from 2016-01,2016-01-01,2016-04-01,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Quarter from 2016-04,2016-04-01,2016-07-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 2016-07,2016-07-01,2016-10-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 2016-10,2016-10-01,2017-01-01,1,1,2,3,3,3,3,3,3,3,3,3,3,3
Quarter from 2017-01,2017-01-01,2017-04-01,1,1,1,2,4,4,4,4,4,4,4,4,4,4
Quarter from 2017-04,2017-04-01,2017-07-01,1,1,2,2,5,5,5,5,5,5,5,5,5,5
Quarter from 2017-07,2017-07-01,2017-10-01,1,1,2,2,5,5,5,5,5,5,5,5,5,5
Quarter from 2017-10,2017-10-01,2018-01-01,1,2,2,3,5,5,5,5,5,5,5,5,5,5
Quarter from 2018-01,2018-01-01,2018-04-01,1,2,2,3,6,7,7,7,7,7,7,7,7,7
