release,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500,top_contributions_perc 1000
Before joining CNCF,40.3935185185185185,56.1342592592592593,64.5254629629629630,71.5277777777777778,80.2662037037037037,84.3750000000000000,87.0949074074074074,88.8310185185185185,89.9884259259259259,93.7500000000000000,98.4375000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
Since joining CNCF,24.5175936435868331,38.8951948543321983,49.7729852440408627,70.4124101399924328,84.1657207718501703,87.7033673855467272,90.3329549754067348,92.2058267120696179,93.4165720771850170,95.9515701853953840,98.2595535376466137,100.0000000000000000,100.0000000000000000,100.0000000000000000
start - v0.0.5,58.7301587301587302,70.8994708994708995,79.3650793650793651,84.1269841269841270,92.0634920634920635,96.8253968253968254,99.4708994708994709,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v0.0.5 - v0.1.0,70.1986754966887417,77.4834437086092715,83.4437086092715232,94.0397350993377483,98.6754966887417219,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v0.1.0 - v0.2.0,54.0000000000000000,68.0000000000000000,75.3333333333333333,83.3333333333333333,92.0000000000000000,97.3333333333333333,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v0.2.0 - v0.2.9,29.0715372907153729,44.0385591070522577,56.9254185692541857,70.9791983764586504,81.0248604769152714,84.8300355149670218,87.5190258751902588,89.4977168949771689,90.5631659056316591,93.8102486047691527,97.9705733130390665,100.0000000000000000,100.0000000000000000,100.0000000000000000
v0.2.9 - v1.0.0-alpha0,36.6754617414248021,50.9234828496042216,62.9287598944591029,80.7387862796833773,89.7097625329815303,93.9313984168865435,96.5699208443271768,98.1530343007915567,99.2084432717678100,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.0.0-alpha0 - v1.0.0-alpha6,24.5738636363636364,47.7272727272727273,61.2215909090909091,81.8181818181818182,91.1931818181818182,94.0340909090909091,95.8806818181818182,97.3011363636363636,98.1534090909090909,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.0.0-alpha6 - v1.0.0-beta.0,32.8125000000000000,53.1250000000000000,68.2291666666666667,83.8541666666666667,97.3958333333333333,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
v1.0.0-beta.0 - v1.0.0-beta.3,28.7308228730822873,43.6541143654114365,54.9511854951185495,70.1534170153417015,86.7503486750348675,90.9344490934449093,93.4449093444909344,95.3974895397489540,96.7921896792189679,99.7210599721059972,100.0000000000000000,100.0000000000000000,100.0000000000000000,100.0000000000000000
