Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
12/2015,12/1/2015,1/1/2016,1,1,2,3,4,6,8,8,8,8,8,8,8,8,8
01/2016,1/1/2016,2/1/2016,1,2,2,2,3,6,6,6,6,6,6,6,6,6,6
02/2016,2/1/2016,3/1/2016,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4
03/2016,3/1/2016,4/1/2016,1,1,1,2,2,3,5,6,6,6,6,6,6,6,6
04/2016,4/1/2016,5/1/2016,1,1,1,1,2,4,7,10,10,10,10,10,10,10,10
05/2016,5/1/2016,6/1/2016,1,1,1,1,2,5,8,8,8,8,8,8,8,8,8
06/2016,6/1/2016,7/1/2016,1,1,2,3,3,5,7,7,7,7,7,7,7,7,7
07/2016,7/1/2016,8/1/2016,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5
08/2016,8/1/2016,9/1/2016,1,1,2,3,4,5,6,6,6,6,6,6,6,6,6
09/2016,9/1/2016,10/1/2016,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
10/2016,10/1/2016,11/1/2016,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5
11/2016,11/1/2016,12/1/2016,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3
12/2016,12/1/2016,1/1/2017,1,1,2,3,4,6,8,12,14,14,14,14,14,14,14
01/2017,1/1/2017,2/1/2017,1,1,1,2,3,5,7,9,11,13,13,13,13,13,13
02/2017,2/1/2017,3/1/2017,1,1,2,2,3,6,8,10,11,11,11,11,11,11,11
03/2017,3/1/2017,4/1/2017,1,1,1,1,2,6,9,11,13,14,14,14,14,14,14
04/2017,4/1/2017,5/1/2017,1,2,2,2,3,7,8,11,12,15,18,18,18,18,18
05/2017,5/1/2017,6/1/2017,1,1,1,1,2,5,8,11,11,11,14,14,14,14,14
06/2017,6/1/2017,7/1/2017,1,1,1,1,2,4,7,10,11,11,11,11,11,11,11
07/2017,7/1/2017,8/1/2017,1,1,1,2,2,5,8,8,9,12,14,14,14,14,14
08/2017,8/1/2017,9/1/2017,1,1,1,2,2,5,6,8,10,12,12,12,12,12,12
09/2017,9/1/2017,10/1/2017,1,2,2,2,2,6,7,10,11,13,13,13,13,13,13
10/2017,10/1/2017,11/1/2017,1,2,3,3,3,5,6,9,12,14,14,14,14,14,14
11/2017,11/1/2017,12/1/2017,1,1,2,3,3,6,8,11,12,12,12,12,12,12,12
12/2017,12/1/2017,1/1/2018,1,2,2,2,3,7,10,11,11,12,12,12,12,12,12
01/2018,1/1/2018,2/1/2018,1,2,2,3,3,5,8,10,10,12,17,17,17,17,17
02/2018,2/1/2018,3/1/2018,1,2,2,2,3,5,5,5,5,6,10,10,10,10,10
03/2018,3/1/2018,4/1/2018,1,2,2,2,3,6,7,8,8,10,11,11,11,11,11
04/2018,4/1/2018,5/1/2018,1,2,2,2,3,6,6,7,8,8,8,8,8,8,8
