release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,n_top_contributing_coms 1000
2015-12-17,1,1,2,3,6,10,11,11,11,11,11,11,11,11
2016-01-17,1,2,2,3,3,3,3,3,3,3,3,3,3,3
2016-02-17,1,2,2,3,4,4,4,4,4,4,4,4,4,4
2016-03-17,1,1,1,2,4,5,7,10,10,10,10,10,10,10
2016-04-17,1,1,2,3,5,7,9,9,9,9,9,9,9,9
2016-05-17,1,1,2,3,6,8,8,8,8,8,8,8,8,8
2016-06-17,1,1,2,4,8,8,8,8,8,8,8,8,8,8
2016-07-17,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016-08-17,1,1,2,3,5,7,7,7,7,7,7,7,7,7
2016-09-17,1,1,2,4,4,4,4,4,4,4,4,4,4,4
2016-10-17,1,1,2,2,4,4,4,4,4,4,4,4,4,4
2016-11-17,1,1,2,3,7,9,9,9,9,9,9,9,9,9
2016-12-17,1,1,2,3,6,9,13,13,13,13,13,13,13,13
2017-01-17,1,1,1,3,5,7,10,12,13,13,13,13,13,13
2017-02-17,1,1,1,2,5,8,10,11,14,14,14,14,14,14
2017-03-17,1,1,1,2,6,7,10,13,16,16,16,16,16,16
2017-04-17,1,1,1,2,6,10,12,16,18,20,20,20,20,20
2017-05-17,1,1,1,2,5,7,11,11,11,11,11,11,11,11
2017-06-17,1,1,1,2,5,6,9,11,13,14,14,14,14,14
2017-07-17,1,1,1,2,6,9,11,11,12,15,15,15,15,15
2017-08-17,1,1,1,2,5,7,9,10,11,13,13,13,13,13
2017-09-17,1,2,2,3,6,8,10,12,13,16,16,16,16,16
2017-10-17,1,1,2,3,5,7,11,12,13,14,14,14,14,14
2017-11-17,1,1,2,3,6,8,10,13,13,13,13,13,13,13
2017-12-17,1,2,3,4,7,9,12,13,15,18,18,18,18,18
2018-01-17,1,2,2,3,5,6,7,8,10,11,11,11,11,11
2018-02-17,1,2,3,3,5,6,8,8,10,12,12,12,12,12
2018-03-17,1,2,2,3,6,7,7,8,8,11,11,11,11,11
