Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Quarter from 10/2015,10/1/2015,1/1/2016,Docker,"Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF","Docker,CNCF"
Quarter from 01/2016,1/1/2016,4/1/2016,Docker,"Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google","Docker,Google"
Quarter from 04/2016,4/1/2016,7/1/2016,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker
Quarter from 07/2016,7/1/2016,10/1/2016,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker,Docker
Quarter from 10/2016,10/1/2016,1/1/2017,Docker,"Docker,IBM","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei","Docker,IBM,Huawei"
Quarter from 01/2017,1/1/2017,4/1/2017,Docker,"Docker,IBM","Docker,IBM,Cloudflare","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei"
Quarter from 04/2017,4/1/2017,7/1/2017,Docker,"Docker,IBM","Docker,IBM,Cloudflare","Docker,IBM,Cloudflare,Huawei","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF","Docker,IBM,Cloudflare,Huawei,CNCF"
Quarter from 07/2017,7/1/2017,10/1/2017,Docker,"Docker,IBM","Docker,IBM,Cloudflare","Docker,IBM,Cloudflare,NTT","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei","Docker,IBM,Cloudflare,NTT,Huawei"
Quarter from 10/2017,10/1/2017,1/1/2018,Docker,"Docker,IBM","Docker,IBM,Tesla","Docker,IBM,Tesla,NTT","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare","Docker,IBM,Tesla,NTT,Cloudflare"
Quarter from 01/2018,1/1/2018,4/1/2018,Docker,"Docker,Google","Docker,Google,IBM","Docker,Google,IBM,Tesla","Docker,Google,IBM,Tesla,NTT","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF","Docker,Google,IBM,Tesla,NTT,Cloudflare,CNCF"
