Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
start - v0.0.5,12/17/2015,2/12/2016,73.0%,85.2%,87.3%,91.0%,95.8%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
v0.0.5 - v0.1.0,2/12/2016,3/21/2016,82.8%,90.1%,96.0%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
v0.1.0 - v0.2.0,3/21/2016,4/14/2016,82.0%,88.0%,92.7%,94.7%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
v0.2.0 - v0.2.9,4/14/2016,5/30/2017,66.5%,73.5%,78.3%,85.1%,90.2%,92.5%,93.6%,94.2%,94.7%,95.3%,95.3%,95.3%,95.3%,95.3%
v0.2.9 - v1.0.0-alpha0,5/30/2017,7/13/2017,76.4%,83.6%,87.2%,91.4%,94.6%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%
v1.0.0-alpha0 - v1.0.0-alpha6,7/13/2017,8/23/2017,72.3%,83.9%,88.6%,92.6%,95.5%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%,96.2%
v1.0.0-alpha6 - v1.0.0-beta.0,8/23/2017,9/6/2017,74.0%,84.4%,90.1%,96.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
v1.0.0-beta.0 - v1.0.0-beta.3,9/6/2017,11/8/2017,56.9%,72.4%,79.2%,89.0%,92.5%,93.9%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%
v1.0.0-beta.3 - v1.0.0,11/8/2017,12/5/2017,63.2%,74.9%,85.2%,92.6%,96.7%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%
v1.0.0 - v1.0.1,12/5/2017,1/17/2018,45.8%,63.4%,74.4%,82.9%,89.9%,92.3%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%,93.0%
v1.0.1 - v1.0.2,1/17/2018,2/13/2018,43.5%,72.4%,82.7%,90.0%,91.7%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%,91.9%
v1.0.2 - v1.0.3,2/13/2018,4/2/2018,33.8%,64.9%,77.2%,84.4%,87.2%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%,87.4%
v1.0.3 - v1.1.0-rc.1,4/2/2018,4/5/2018,41.7%,75.0%,87.5%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%,93.8%
v1.1.0.rc.1 - now,4/5/2018,4/13/2018,41.4%,78.6%,85.7%,92.9%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%,94.3%
