Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
start - v0.0.5,2015-12-17,2016-02-12,58.7%,70.9%,79.4%,84.1%,92.1%,96.8%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.0.5 - v0.1.0,2016-02-12,2016-03-21,70.2%,77.5%,83.4%,94.0%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.1.0 - v0.2.0,2016-03-21,2016-04-14,54.0%,68.0%,75.3%,83.3%,92.0%,97.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v0.2.0 - v0.2.9,2016-04-14,2017-05-30,29.1%,44.0%,56.9%,71.0%,81.0%,84.8%,87.5%,89.5%,90.6%,93.8%,98.0%,100.0%,100.0%,100.0%
v0.2.9 - v1.0.0-alpha0,2017-05-30,2017-07-13,36.7%,50.9%,62.9%,80.7%,89.7%,93.9%,96.6%,98.2%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0-alpha0 - v1.0.0-alpha6,2017-07-13,2017-08-23,24.6%,47.7%,61.2%,81.8%,91.2%,94.0%,95.9%,97.3%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0-alpha6 - v1.0.0-beta.0,2017-08-23,2017-09-06,32.8%,53.1%,68.2%,83.9%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0-beta.0 - v1.0.0-beta.3,2017-09-06,2017-11-08,28.7%,43.7%,55.0%,70.2%,86.8%,90.9%,93.4%,95.4%,96.8%,99.7%,100.0%,100.0%,100.0%,100.0%
v1.0.0-beta.3 - v1.0.0,2017-11-08,2017-12-05,22.4%,43.4%,55.1%,76.4%,93.6%,97.1%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.0 - v1.0.1,2017-12-05,2018-01-17,28.4%,44.4%,55.4%,70.7%,84.3%,89.4%,93.0%,95.3%,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.1 - v1.0.2,2018-01-17,2018-02-13,28.9%,49.4%,62.2%,77.8%,91.7%,94.3%,96.3%,97.2%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.0.2 - v1.0.3,2018-02-13,2018-04-02,33.8%,45.1%,55.0%,71.8%,85.8%,90.2%,92.5%,94.0%,95.4%,98.5%,100.0%,100.0%,100.0%,100.0%
v1.0.3 - v1.1.0-rc.1,2018-04-02,2018-04-05,41.7%,56.2%,64.6%,79.2%,95.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
v1.1.0.rc.1 - now,2018-04-05,2018-04-12,44.6%,58.5%,72.3%,90.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
