ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2015-12-17T00:00:00Z,2017-03-29T00:00:00Z,Before joining CNCF,468,1728,506,229,993,817,1928,127,12,68,87,47,137,39,6,19,33,20,36,3.6923076923076925,1.0811965811965811,0.4893162393162393,2.121794871794872,1.7457264957264957,4.119658119658119,"crosbymichael,mlaventure,stevvooe,estesp,dmcgowan,AkihiroSuda,rakyll,hqhq,tonistiigi,LK4D4,kunalkushwaha,runcom,coolljt0725,samuelkarp,ibuildthecloud","Docker,IBM,NTT,Google,Huawei,Red Hat,AWS,Rancher",8,1458,84.3750000000000000,"Docker,IBM,Huawei,NTT,Google,Red Hat,HarmonyCloud,AWS,Microsoft,Rancher,SUSE/Novell,Cloudflare,Tonic,Intel,DaoCloud",1585,91.7245370370370370,"crosbymichael,mlaventure,stevvooe,estesp,dmcgowan,tonistiigi,hqhq,dqminh,rakyll,LK4D4,icecrime,chanezon","Docker,IBM,Huawei,Cloudflare,Google,CNCF",6,506,100.0000000000000000,"Docker,IBM,Huawei,Google,Cloudflare,CNCF",505,99.8023715415019763,"crosbymichael,mlaventure,stevvooe,rakyll,runcom,AkihiroSuda,cyphar,kunalkushwaha,ibuildthecloud,tonistiigi,coolljt0725,boucher,philips,samuelkarp,x1022as","Docker,Google,Red Hat,NTT,SUSE/Novell,Rancher,Huawei,Tonic,AWS",9,154,67.2489082969432314,"Docker,NTT,Red Hat,Google,Huawei,SUSE/Novell,Rancher,IBM,Tonic,AWS,Hyper.sh,FACEIT,Ben Hall,Netlify,Debian",181,79.0393013100436681,"crosbymichael,mlaventure,stevvooe,AkihiroSuda,dmcgowan,estesp,hqhq,rakyll,tonistiigi,LK4D4,coolljt0725,kunalkushwaha,jhowardmsft,samuelkarp,runcom","Docker,NTT,IBM,Huawei,Google,Microsoft,AWS,Red Hat",8,821,82.6787512588116818,"Docker,Huawei,NTT,IBM,Google,Red Hat,HarmonyCloud,Microsoft,AWS,Rancher,DaoCloud,Cloudflare,Intel,Uber,DPI Animation House",908,91.4400805639476334,"mlaventure,stevvooe,AkihiroSuda,crosbymichael,dmcgowan,samuelkarp,amitkris,estesp,jhowardmsft,anusha-ragunathan,rakyll,runcom,LK4D4,hqhq,HuKeping","Docker,NTT,AWS,Oracle,IBM,Microsoft,Google,Red Hat,Huawei",9,747,91.4320685434516524,"Docker,NTT,AWS,Oracle,IBM,Huawei,Microsoft,Google,Red Hat,Bobs Oil Field Service,DPI Animation House,Cloudflare,HarmonyCloud,Uber,Netlify",796,97.4296205630354957,"crosbymichael,mlaventure,stevvooe,AkihiroSuda,GordonTheTurtle,dmcgowan,LK4D4,estesp,runcom,hqhq,cyphar,samuelkarp,boucher,kunalkushwaha,tonistiigi","Docker,NTT,IBM,Red Hat,Huawei,SUSE/Novell,AWS,Tonic",8,1481,76.8153526970954357,"Docker,NTT,Red Hat,Huawei,IBM,Google,SUSE/Novell,AWS,Tonic,Uber,Microsoft,DPI Animation House,Rancher,Cloudflare,Oracle",1661,86.1514522821576763
2,2017-03-29T00:00:00Z,2018-04-13T00:00:00Z,Since joining CNCF,380,5291,1337,1020,2934,3689,7060,187,13,127,112,79,216,43,8,27,38,26,47,13.923684210526316,3.518421052631579,2.6842105263157894,7.721052631578948,9.707894736842105,18.57894736842105,"crosbymichael,stevvooe,Random-Liu,estesp,dmcgowan,mlaventure,AkihiroSuda,mlaventure,dqminh,kunalkushwaha,mikebrow,dnephin,ijc25,abhinandanpb,hqhq","Docker,Google,IBM,NTT,Tesla,Cloudflare,Huawei",7,4636,87.6204876204876205,"Docker,IBM,Google,NTT,Tesla,Huawei,Cloudflare,ZTE,Microsoft,CNCF,Red Hat,DaoCloud,AWS,Intel,Fundación Sadosky",4921,93.0069930069930070,"crosbymichael,estesp,stevvooe,dmcgowan,Random-Liu,mlaventure,mlaventure,AkihiroSuda,dqminh,hqhq,abhinandanpb,caniszczyk,andrewhsu,mikebrow","Docker,IBM,Google,Tesla,NTT,Cloudflare,Huawei,CNCF",8,1337,100.0000000000000000,"Docker,IBM,Google,Tesla,NTT,Cloudflare,Huawei,CNCF",1326,99.1772625280478684,"Random-Liu,crosbymichael,stevvooe,dmcgowan,AkihiroSuda,estesp,mlaventure,pauldotknopf,kunalkushwaha,ijc25,darrenstahlmsft,tonistiigi,mlaventure,caniszczyk,abhinandanpb","Google,Docker,NTT,IBM,Microsoft,Tesla,CNCF",7,798,78.2352941176470588,"Docker,Google,NTT,IBM,Huawei,Microsoft,Tesla,CNCF,ZTE,Cloudflare,DaoCloud,AWS,ARM,Letv Cloud Computing,Alibaba",833,81.6666666666666667,"crosbymichael,stevvooe,dmcgowan,estesp,Random-Liu,mlaventure,AkihiroSuda,mlaventure,dnephin,mikebrow,jessvalarezo,dqminh,justincormack,kunalkushwaha,ijc25","Docker,IBM,Google,NTT,Tesla,Cloudflare",6,2563,87.3551465576005453,"Docker,IBM,Google,NTT,Tesla,Huawei,ZTE,Cloudflare,Microsoft,Red Hat,CNCF,Intel,darkowlzz,Fundación Sadosky,Virtuozzo",2769,94.3762781186094070,"stevvooe,Random-Liu,mlaventure,crosbymichael,dmcgowan,AkihiroSuda,mlaventure,mikebrow,dnephin,estesp,darrenstahlmsft,yanxuean,jessvalarezo,ijc25,abhinandanpb","Docker,Google,NTT,Tesla,IBM,Microsoft,ZTE",7,3271,88.6690159934941719,"Docker,Google,NTT,IBM,Tesla,ZTE,Microsoft,Red Hat,Huawei,Intel,Oracle,Cloudflare,ARM,AWS,Fundación Sadosky",3521,95.4459203036053131,"crosbymichael,stevvooe,Random-Liu,dmcgowan,AkihiroSuda,mlaventure,estesp,mlaventure,ijc25,dnephin,mikebrow,kunalkushwaha,dqminh,yanxuean,pauldotknopf","Docker,Google,NTT,IBM,Tesla,Cloudflare,ZTE",7,5834,82.6345609065155807,"Docker,Google,NTT,IBM,Tesla,Huawei,ZTE,Microsoft,Cloudflare,Red Hat,CNCF,ARM,DPI Animation House,AWS,Fundación Sadosky",6312,89.4050991501416431
1001,2015-12-17T00:00:00Z,2016-02-12T23:00:00Z,start - v0.0.5,57,189,73,32,84,15,172,21,3,11,16,6,25,13,2,6,10,3,8,3.3157894736842106,1.280701754385965,0.5614035087719298,1.4736842105263157,0.2631578947368421,3.017543859649123,"crosbymichael,rakyll,LK4D4,tonistiigi,peter-edge,runcom,Issacpeng,thaJeztah,mlaventure,BenHall,aaronlehmann,estesp,kunalkushwaha,ashahab-altiscale,braderhart","Docker,Google,Uber,Red Hat,DPI Animation House,Ben Hall,IBM,NTT,Altiscale",9,183,96.8253968253968254,"Docker,Google,Uber,Red Hat,DPI Animation House,NTT,Ben Hall,Altiscale,IBM,CNCF,Huawei,Microsoft,Netlify",184,97.3544973544973545,"crosbymichael,LK4D4,chanezon","Docker,CNCF",2,73,100.0000000000000000,"Docker,CNCF",73,100.0000000000000000,"crosbymichael,rakyll,tonistiigi,Issacpeng,BenHall,runcom,aaronlehmann,sokoow,braderhart,calavera,kunalkushwaha","Docker,Google,Ben Hall,Red Hat,Netlify,NTT",6,32,100.0000000000000000,"Docker,Google,Red Hat,Ben Hall,NTT,Netlify",28,87.5000000000000000,"crosbymichael,rakyll,LK4D4,peter-edge,thaJeztah,mlaventure,runcom,estesp,tonistiigi,ashahab-altiscale,cpuguy83,coolljt0725,aaronlehmann,Issacpeng,kunalkushwaha","Docker,Google,Uber,DPI Animation House,Red Hat,IBM,Altiscale,Huawei,NTT",9,83,98.8095238095238095,"Docker,Google,Uber,DPI Animation House,IBM,Altiscale,Red Hat,Huawei,NTT,Microsoft",83,98.8095238095238095,"LK4D4,stevvooe,peter-edge,tonistiigi,rakyll,crosbymichael","Docker,Uber,Google",3,15,100.0000000000000000,"Docker,Google,Uber",15,100.0000000000000000,"LK4D4,crosbymichael,peter-edge,runcom,rakyll,GordonTheTurtle,tonistiigi,kunalkushwaha,Issacpeng,thaJeztah,mlaventure,BenHall,calavera,stevvooe,mrunalp","Docker,Uber,Red Hat,Google,NTT,DPI Animation House,Ben Hall,Netlify",8,162,94.1860465116279070,"Docker,Uber,Red Hat,Google,NTT,DPI Animation House,Ben Hall,Netlify",159,92.4418604651162791
1002,2016-02-12T23:00:00Z,2016-03-21T20:00:00Z,v0.0.5 - v0.1.0,37,151,55,17,79,20,92,12,4,5,11,4,15,5,2,3,5,3,7,4.081081081081081,1.4864864864864864,0.4594594594594595,2.135135135135135,0.5405405405405406,2.4864864864864864,"crosbymichael,rakyll,jhowardmsft,mlaventure,tonistiigi,WeiZhang555,bfirsh,marcosnils,cyphar,kencochrane,mtesselH,anusha-ragunathan","Docker,Google,Microsoft,Huawei,SUSE/Novell",5,151,100.0000000000000000,"Docker,Google,Microsoft,Huawei,SUSE/Novell",149,98.6754966887417219,"crosbymichael,rakyll,mlaventure,tonistiigi","Docker,Google",2,55,100.0000000000000000,"Docker,Google",55,100.0000000000000000,"crosbymichael,WeiZhang555,mlaventure,rakyll,anusha-ragunathan","Docker,Huawei,Google",3,17,100.0000000000000000,"Docker,Huawei,Google",17,100.0000000000000000,"crosbymichael,jhowardmsft,rakyll,tonistiigi,mlaventure,cyphar,mtesselH,bfirsh,kencochrane,WeiZhang555,marcosnils","Docker,Microsoft,Google,SUSE/Novell,Huawei",5,79,100.0000000000000000,"Docker,Microsoft,Google,Huawei,SUSE/Novell",77,97.4683544303797468,"rakyll,mlaventure,jhowardmsft,crosbymichael","Google,Docker,Microsoft",3,20,100.0000000000000000,"Docker,Google,Microsoft",20,100.0000000000000000,"mlaventure,crosbymichael,jhowardmsft,rakyll,marcosnils,GordonTheTurtle,stevvooe,tonistiigi,LK4D4,kencochrane,runcom,WeiZhang555,jamesodhunt,jfrazelle,thaJeztah","Docker,Microsoft,Google,Red Hat,Huawei,Intel,DPI Animation House",7,92,100.0000000000000000,"Docker,Microsoft,Google,Huawei,Intel,Red Hat,DPI Animation House",80,86.9565217391304348
1003,2016-03-21T20:00:00Z,2016-04-14T21:00:00Z,v0.1.0 - v0.2.0,24,150,48,18,84,30,120,19,4,9,15,9,20,7,1,6,4,4,10,6.25,2,0.75,3.5,1.25,5,"crosbymichael,mlaventure,tonistiigi,cyphar,ah3rz,coolljt0725,mYmNeo,icecrime,HackToday,bfirsh,x1022as,hqhq,tiborvass,calavera,WeiZhang555","Docker,SUSE/Novell,Huawei,IBM,Netlify",5,146,97.3333333333333333,"Docker,Huawei,SUSE/Novell,IBM,Tencent,Netlify,Debian",144,96.0000000000000000,"crosbymichael,tonistiigi,mlaventure,icecrime",Docker,1,48,100.0000000000000000,Docker,47,97.9166666666666667,"crosbymichael,cyphar,HackToday,x1022as,coolljt0725,onlyjob,chenchun,tonistiigi,bfirsh","Docker,SUSE/Novell,IBM,Huawei,Debian,Tencent",6,18,100.0000000000000000,"Docker,SUSE/Novell,Huawei,IBM,Debian,Tencent",18,100.0000000000000000,"crosbymichael,mlaventure,tonistiigi,ah3rz,mYmNeo,cyphar,hqhq,tiborvass,coolljt0725,tianon,icecrime,WeiZhang555,LK4D4,bfirsh,calavera","Docker,SUSE/Novell,Huawei,Netlify",4,84,100.0000000000000000,"Docker,Huawei,SUSE/Novell,Netlify",79,94.0476190476190476,"mlaventure,crosbymichael,jhowardmsft,mYmNeo,tonistiigi,calavera,tiborvass,LK4D4,thaJeztah","Docker,Microsoft,Netlify,DPI Animation House",4,30,100.0000000000000000,"Docker,Microsoft,Netlify,DPI Animation House",28,93.3333333333333333,"mlaventure,crosbymichael,cyphar,GordonTheTurtle,calavera,tonistiigi,LK4D4,coolljt0725,onlyjob,thaJeztah,WeiZhang555,ah3rz,mrunalp,anusha-ragunathan,jhowardmsft","Docker,SUSE/Novell,Netlify,Huawei,Debian,DPI Animation House,Red Hat,Microsoft",8,115,95.8333333333333333,"Docker,SUSE/Novell,Huawei,Netlify,Debian,DPI Animation House,Red Hat,IBM,Microsoft,Rancher",110,91.6666666666666667
1004,2016-04-14T21:00:00Z,2017-05-30T16:00:00Z,v0.2.0 - v0.2.9,410,1971,509,297,1165,1188,2538,140,9,75,95,57,147,42,5,21,37,23,42,4.807317073170732,1.2414634146341463,0.724390243902439,2.841463414634146,2.897560975609756,6.190243902439025,"crosbymichael,mlaventure,stevvooe,dmcgowan,estesp,AkihiroSuda,hqhq,dqminh,kunalkushwaha,Random-Liu,justincormack,coolljt0725,runcom,miaoyq,samuelkarp","Docker,IBM,NTT,Huawei,Cloudflare,Google,Red Hat,ZTE,AWS",9,1672,84.8300355149670218,"Docker,IBM,NTT,Huawei,Red Hat,Cloudflare,Google,ZTE,CNCF,AWS,HarmonyCloud,Rancher,Tonic,Microsoft,Intel",1824,92.5418569254185693,"crosbymichael,mlaventure,stevvooe,estesp,dmcgowan,dqminh,hqhq,caniszczyk,tonistiigi","Docker,IBM,Cloudflare,Huawei,CNCF",5,509,100.0000000000000000,"Docker,IBM,Cloudflare,Huawei,CNCF",509,100.0000000000000000,"crosbymichael,mlaventure,stevvooe,Random-Liu,AkihiroSuda,kunalkushwaha,estesp,caniszczyk,runcom,dmcgowan,ibuildthecloud,boucher,samuelkarp,hqhq,dqminh","Docker,Google,NTT,IBM,CNCF,Red Hat,Rancher,Tonic,AWS,Huawei,Cloudflare",11,211,71.0437710437710438,"Docker,NTT,Google,Huawei,Red Hat,IBM,CNCF,Tonic,Rancher,AWS,Cloudflare,Alibaba,Hyper.sh,SUSE/Novell,FACEIT",240,80.8080808080808081,"crosbymichael,mlaventure,stevvooe,dmcgowan,estesp,AkihiroSuda,hqhq,justincormack,dqminh,kunalkushwaha,coolljt0725,miaoyq,ehazlett,vbatts,fate-grand-order","Docker,IBM,NTT,Huawei,Cloudflare,ZTE,Red Hat,HarmonyCloud",8,975,83.6909871244635193,"Docker,Huawei,IBM,NTT,Red Hat,Cloudflare,ZTE,HarmonyCloud,AWS,Microsoft,CNCF,Intel,DaoCloud,Rancher,Tonic",1082,92.8755364806866953,"stevvooe,mlaventure,crosbymichael,AkihiroSuda,dmcgowan,samuelkarp,Random-Liu,amitkris,estesp,runcom,anusha-ragunathan,hqhq,kunalkushwaha,jhowardmsft,HuKeping","Docker,NTT,AWS,Google,Oracle,IBM,Red Hat,Huawei,Microsoft",9,1088,91.5824915824915825,"Docker,NTT,AWS,Google,IBM,Oracle,Huawei,Red Hat,Microsoft,Bobs Oil Field Service,ZTE,Cloudflare,DPI Animation House,Tonic,HarmonyCloud",1160,97.6430976430976431,"crosbymichael,mlaventure,stevvooe,AkihiroSuda,dmcgowan,estesp,hqhq,Random-Liu,GordonTheTurtle,samuelkarp,runcom,boucher,dqminh,justincormack,kunalkushwaha","Docker,NTT,IBM,Huawei,Google,AWS,Red Hat,Tonic,Cloudflare",9,2004,78.9598108747044917,"Docker,NTT,Red Hat,Huawei,IBM,Google,AWS,Tonic,Cloudflare,SUSE/Novell,Rancher,Microsoft,CNCF,Oracle,DPI Animation House",2244,88.4160756501182033
1005,2017-05-30T16:00:00Z,2017-07-13T00:00:00Z,v0.2.9 - v1.0.0-alpha0,43,758,197,123,438,462,887,36,8,21,29,22,41,14,4,7,13,10,18,17.627906976744185,4.5813953488372094,2.86046511627907,10.186046511627907,10.744186046511627,20.627906976744185,"crosbymichael,stevvooe,dmcgowan,mlaventure,estesp,ijc25,AkihiroSuda,xiekeyang,tonistiigi,dqminh,kunalkushwaha,Random-Liu,ehazlett,samuelkarp,hqhq","Docker,IBM,NTT,Huawei,Cloudflare,Google,AWS",7,712,93.9313984168865435,"Docker,IBM,Huawei,NTT,Cloudflare,Google,AWS,Red Hat,darkowlzz,ZTE,CNCF,Intel,Microsoft,viralkitty",724,95.5145118733509235,"crosbymichael,stevvooe,dmcgowan,mlaventure,estesp,dqminh,hqhq,andrewhsu","Docker,IBM,Cloudflare,Huawei",4,197,100.0000000000000000,"Docker,IBM,Cloudflare,Huawei",195,98.9847715736040609,"crosbymichael,stevvooe,dmcgowan,estesp,ijc25,mlaventure,Random-Liu,xiekeyang,kunalkushwaha,AkihiroSuda,ehazlett,samuelkarp,hiroakis,3XX0,tonistiigi","Docker,IBM,Google,Huawei,NTT,AWS",6,117,95.1219512195121951,"Docker,IBM,NTT,Huawei,Google,AWS,ZTE",107,86.9918699186991870,"crosbymichael,stevvooe,dmcgowan,mlaventure,estesp,AkihiroSuda,ijc25,xiekeyang,tonistiigi,justincormack,dqminh,runcom,darkowlzz,samuelkarp,ehazlett","Docker,IBM,NTT,Huawei,Cloudflare,Red Hat,darkowlzz,AWS",8,410,93.6073059360730594,"Docker,IBM,Huawei,NTT,Cloudflare,Red Hat,darkowlzz,AWS,CNCF,Intel,ZTE,viralkitty,Microsoft",422,96.3470319634703196,"stevvooe,mlaventure,crosbymichael,dmcgowan,AkihiroSuda,ehazlett,estesp,ijc25,aaronlehmann,xiekeyang,dqminh,runcom,samuelkarp,cpuguy83,mrunalp","Docker,NTT,IBM,Huawei,Cloudflare,Red Hat,AWS",7,449,97.1861471861471861,"Docker,NTT,IBM,Red Hat,Huawei,Cloudflare,AWS,Google,ZTE,CNCF",446,96.5367965367965368,"crosbymichael,stevvooe,dmcgowan,mlaventure,AkihiroSuda,ijc25,estesp,Random-Liu,xiekeyang,dqminh,kunalkushwaha,ehazlett,justincormack,hqhq,samuelkarp","Docker,NTT,IBM,Google,Huawei,Cloudflare,AWS",7,837,94.3630214205186020,"Docker,NTT,Huawei,IBM,Google,Cloudflare,AWS,Red Hat,Rancher,CNCF,darkowlzz,SUSE/Novell,Intel,viralkitty,DPI Animation House",823,92.7846674182638106
1006,2017-07-13T00:00:00Z,2017-08-23T22:00:00Z,v1.0.0-alpha0 - v1.0.0-alpha6,41,704,183,121,400,564,895,43,8,24,35,27,45,15,4,11,11,10,14,17.170731707317074,4.463414634146342,2.951219512195122,9.75609756097561,13.75609756097561,21.829268292682926,"stevvooe,crosbymichael,dmcgowan,estesp,mlaventure,AkihiroSuda,Random-Liu,tophj-ibm,darrenstahlmsft,epilatow,kunalkushwaha,keloyang,hqhq,tklauser,tossmilestone","Docker,IBM,NTT,Google,Microsoft,Oracle,Huawei",7,662,94.0340909090909091,"Docker,IBM,NTT,Google,Huawei,Microsoft,Oracle,Cloudflare,ZTE,HarmonyCloud,CNCF,ARM,Adaptly,AWS,darkowlzz",677,96.1647727272727273,"crosbymichael,stevvooe,estesp,dmcgowan,mlaventure,hqhq,andrewhsu,dqminh","Docker,IBM,Huawei,Cloudflare",4,183,100.0000000000000000,"Docker,IBM,Huawei,Cloudflare",182,99.4535519125683060,"stevvooe,dmcgowan,mlaventure,crosbymichael,Random-Liu,AkihiroSuda,estesp,darrenstahlmsft,tophj-ibm,kunalkushwaha,epilatow,miaoyq,YummyPeng,jongwu,caniszczyk","Docker,Google,NTT,IBM,Microsoft,Oracle,ZTE,ARM,CNCF",9,112,92.5619834710743802,"Docker,NTT,IBM,Google,Microsoft,Oracle,ZTE,CNCF,AWS,ARM,Adaptly",114,94.2148760330578512,"stevvooe,crosbymichael,dmcgowan,mlaventure,estesp,AkihiroSuda,Random-Liu,tophj-ibm,tklauser,keloyang,cpuguy83,epilatow,tossmilestone,ijc25,kunalkushwaha","Docker,IBM,NTT,Google,Huawei,Oracle",6,375,93.7500000000000000,"Docker,IBM,NTT,Google,Huawei,Oracle,Microsoft,Cloudflare,HarmonyCloud,ZTE,darkowlzz",381,95.2500000000000000,"mlaventure,stevvooe,crosbymichael,dmcgowan,AkihiroSuda,Random-Liu,epilatow,TomSweeneyRedHat,estesp,ijc25,samuelkarp,dqminh,tophj-ibm,tianon,ringanta","Docker,NTT,Google,Oracle,Red Hat,IBM,AWS,Cloudflare",8,534,94.6808510638297872,"Docker,NTT,Google,Oracle,IBM,Red Hat,AWS,Huawei,Cloudflare,ZTE",535,94.8581560283687943,"crosbymichael,stevvooe,mlaventure,dmcgowan,AkihiroSuda,Random-Liu,estesp,ijc25,cpuguy83,epilatow,keloyang,kunalkushwaha,darrenstahlmsft,tophj-ibm,hqhq","Docker,NTT,Google,IBM,Oracle,Huawei,Microsoft",7,836,93.4078212290502793,"Docker,NTT,Google,IBM,Huawei,Oracle,Microsoft,Red Hat,Cloudflare,ARM,AWS,darkowlzz,ZTE,CNCF",848,94.7486033519553073
1007,2017-08-23T22:00:00Z,2017-09-06T23:00:00Z,v1.0.0-alpha6 - v1.0.0-beta.0,14,192,55,33,104,242,278,15,5,10,13,18,20,7,2,5,7,8,7,13.714285714285714,3.9285714285714284,2.357142857142857,7.428571428571429,17.285714285714285,19.857142857142858,"crosbymichael,mlaventure,dmcgowan,estesp,stevvooe,Random-Liu,darrenstahlmsft,AkihiroSuda,kunalkushwaha,ijc25,mikebrow,sandyskies,runcom,craig-sanders,onorua","Docker,IBM,Google,Microsoft,NTT,Red Hat,AnchorFree",7,192,100.0000000000000000,"Docker,IBM,Google,NTT,Microsoft,AnchorFree,Red Hat",187,97.3958333333333333,"crosbymichael,mlaventure,dmcgowan,estesp,stevvooe","Docker,IBM",2,55,100.0000000000000000,"Docker,IBM",55,100.0000000000000000,"Random-Liu,mlaventure,crosbymichael,estesp,dmcgowan,ijc25,kunalkushwaha,mikebrow,darrenstahlmsft,craig-sanders","Google,Docker,IBM,NTT,Microsoft",5,33,100.0000000000000000,"Docker,Google,IBM,NTT,Microsoft",30,90.9090909090909091,"crosbymichael,mlaventure,dmcgowan,stevvooe,estesp,AkihiroSuda,darrenstahlmsft,Random-Liu,kunalkushwaha,runcom,ijc25,sandyskies,onorua","Docker,IBM,NTT,Microsoft,Google,Red Hat,AnchorFree",7,104,100.0000000000000000,"Docker,IBM,NTT,Google,Microsoft,Red Hat,AnchorFree",102,98.0769230769230769,"mlaventure,stevvooe,crosbymichael,darrenstahlmsft,dmcgowan,Random-Liu,AkihiroSuda,estesp,ijc25,rneugeba,runcom,kunalkushwaha,cpuguy83,yastij,raj1003","Docker,Microsoft,Google,NTT,IBM,Red Hat,Amadeus",7,239,98.7603305785123967,"Docker,Microsoft,Google,NTT,IBM,Red Hat,Amadeus,AWS",228,94.2148760330578512,"crosbymichael,mlaventure,Random-Liu,stevvooe,dmcgowan,AkihiroSuda,sandyskies,darrenstahlmsft,estesp,ijc25,abhinandanpb,cpuguy83,craig-sanders,vburenin,kunalkushwaha","Docker,Google,NTT,Microsoft,IBM",5,273,98.2014388489208633,"Docker,Google,NTT,Microsoft,IBM,Amadeus,CNCF",251,90.2877697841726619
1008,2017-09-06T23:00:00Z,2017-11-08T19:00:00Z,v1.0.0-beta.0 - v1.0.0-beta.3,62,717,183,137,397,556,987,51,7,36,34,27,62,19,5,13,17,15,22,11.564516129032258,2.9516129032258065,2.2096774193548385,6.403225806451613,8.96774193548387,15.919354838709678,"crosbymichael,estesp,stevvooe,dmcgowan,mlaventure,AkihiroSuda,mlaventure,Random-Liu,jessvalarezo,dqminh,allencloud,qingyunha,kunalkushwaha,ijc25,tklauser","Docker,IBM,Tesla,NTT,Google,Cloudflare,DaoCloud",7,652,90.9344490934449093,"Docker,IBM,NTT,Tesla,Google,DaoCloud,Cloudflare,ZTE,Huawei,Microsoft,ARM,Cisco,CNCF,Letv Cloud Computing,Red Hat",673,93.8633193863319386,"crosbymichael,estesp,stevvooe,dmcgowan,mlaventure,mlaventure,AkihiroSuda,dqminh","Docker,IBM,Tesla,NTT,Cloudflare",5,183,100.0000000000000000,"Docker,IBM,Tesla,NTT,Cloudflare",183,100.0000000000000000,"crosbymichael,Random-Liu,stevvooe,estesp,mlaventure,AkihiroSuda,kunalkushwaha,xianwei2016,mlaventure,ijc25,dmcgowan,abhinandanpb,tonistiigi,allencloud,caniszczyk","Docker,Google,IBM,NTT,Tesla,DaoCloud,CNCF",7,110,80.2919708029197080,"Docker,Google,IBM,NTT,Tesla,DaoCloud,Microsoft,CNCF,ARM,ZTE,Buildbot,Huawei,Letv Cloud Computing",111,81.0218978102189781,"crosbymichael,estesp,stevvooe,dmcgowan,AkihiroSuda,mlaventure,mlaventure,jessvalarezo,Random-Liu,allencloud,tklauser,qingyunha,dqminh,mikebrow,cpuguy83","Docker,IBM,NTT,Tesla,Google,DaoCloud,Cloudflare",7,372,93.7027707808564232,"Docker,IBM,NTT,Tesla,Google,DaoCloud,Cloudflare,ZTE,Huawei,Cisco,ARM,Alter Way,Red Hat,SUSE/Novell,DPI Animation House",381,95.9697732997481108,"stevvooe,mlaventure,crosbymichael,dmcgowan,AkihiroSuda,darrenstahlmsft,jessvalarezo,mlaventure,estesp,johnstep,Weichen81,Random-Liu,cpuguy83,ijc25,dqminh","Docker,Tesla,NTT,Microsoft,IBM,ARM,Google,Cloudflare",8,533,95.8633093525179856,"Docker,Tesla,NTT,Microsoft,IBM,ARM,Google,Cloudflare,Letv Cloud Computing,Alter Way,ZTE,Huawei,Red Hat,DPI Animation House,DaoCloud",536,96.4028776978417266,"crosbymichael,stevvooe,dmcgowan,Random-Liu,AkihiroSuda,mlaventure,estesp,ijc25,mlaventure,Weichen81,dqminh,carlwgeorge,cpuguy83,jessvalarezo,darrenstahlmsft","Docker,Google,NTT,Tesla,IBM,ARM,Cloudflare,Microsoft",8,851,86.2208713272543060,"Docker,Google,NTT,IBM,Tesla,ARM,Cloudflare,Microsoft,Fedora,DaoCloud,ZTE,InfluxData,Huawei,Red Hat,DPI Animation House",890,90.1722391084093212
