ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc
1,2015-12-17T00:00:00Z,2017-03-29T00:00:00Z,Before joining CNCF,468,1728,506,229,993,817,1926,127,12,68,87,47,136,40,6,19,34,21,36,3.6923076923076925,1.0811965811965811,0.4893162393162393,2.121794871794872,1.7457264957264957,4.115384615384615,"crosbymichael,mlaventure",Docker,1,970,56.1342592592592593,"crosbymichael,mlaventure",Docker,1,388,76.6798418972332016,"crosbymichael,mlaventure",Docker,1,82,35.8078602620087336,"crosbymichael,mlaventure",Docker,1,500,50.3524672708962739,"mlaventure,stevvooe",Docker,1,335,41.0036719706242350,"crosbymichael,mlaventure",Docker,1,744,38.6292834890965732
2,2017-03-29T00:00:00Z,2018-04-12T00:00:00Z,Since joining CNCF,379,5286,1337,1016,2933,3689,7033,185,13,125,112,79,213,43,8,27,39,27,48,13.947229551451187,3.5277044854881265,2.6807387862796834,7.738786279683377,9.733509234828496,18.556728232189975,"crosbymichael,stevvooe",Docker,1,2056,38.8951948543321983,"crosbymichael,estesp","Docker,IBM",2,636,47.5691847419596111,"Random-Liu,crosbymichael","Google,Docker",2,356,35.0393700787401575,"crosbymichael,stevvooe",Docker,1,1138,38.7998636208660075,"stevvooe,Random-Liu","Docker,Google",2,1073,29.0864732989970182,"crosbymichael,stevvooe",Docker,1,2703,38.4331010948386179
1001,2015-12-17T00:00:00Z,2016-02-12T23:00:00Z,start - v0.0.5,57,189,73,32,84,15,171,21,3,11,16,6,24,13,2,6,10,3,8,3.3157894736842106,1.280701754385965,0.5614035087719298,1.4736842105263157,0.2631578947368421,3,"crosbymichael,rakyll","Docker,Google",2,134,70.8994708994708995,"crosbymichael,LK4D4",Docker,1,72,98.6301369863013699,"crosbymichael,rakyll","Docker,Google",2,18,56.2500000000000000,"crosbymichael,rakyll","Docker,Google",2,47,55.9523809523809524,"LK4D4,rakyll","Docker,Google",2,8,53.3333333333333333,"LK4D4,crosbymichael",Docker,1,83,48.5380116959064327
1002,2016-02-12T23:00:00Z,2016-03-21T20:00:00Z,v0.0.5 - v0.1.0,37,151,55,17,79,20,92,12,4,5,11,4,15,5,2,3,5,3,7,4.081081081081081,1.4864864864864864,0.4594594594594595,2.135135135135135,0.5405405405405406,2.4864864864864864,"crosbymichael,rakyll","Docker,Google",2,117,77.4834437086092715,"crosbymichael,rakyll","Docker,Google",2,53,96.3636363636363636,"crosbymichael,WeiZhang555","Docker,Huawei",2,13,76.4705882352941176,"crosbymichael,jhowardmsft","Docker,Microsoft",2,55,69.6202531645569620,"rakyll,mlaventure","Google,Docker",2,14,70.0000000000000000,"mlaventure,crosbymichael",Docker,1,46,50.0000000000000000
1003,2016-03-21T20:00:00Z,2016-04-14T21:00:00Z,v0.1.0 - v0.2.0,24,150,48,18,84,30,119,19,4,9,15,9,20,7,1,6,4,4,10,6.25,2,0.75,3.5,1.25,4.958333333333333,"crosbymichael,mlaventure",Docker,1,102,68.0000000000000000,"crosbymichael,tonistiigi",Docker,1,44,91.6666666666666667,"crosbymichael,cyphar","Docker,SUSE/Novell",2,8,44.4444444444444444,"crosbymichael,mlaventure",Docker,1,55,65.4761904761904762,"mlaventure,crosbymichael",Docker,1,17,56.6666666666666667,"mlaventure,crosbymichael",Docker,1,58,48.7394957983193277
1004,2016-04-14T21:00:00Z,2017-05-30T16:00:00Z,v0.2.0 - v0.2.9,410,1971,509,297,1165,1188,2538,140,9,75,95,57,147,43,5,22,38,24,43,4.807317073170732,1.2414634146341463,0.724390243902439,2.841463414634146,2.897560975609756,6.190243902439025,"crosbymichael,mlaventure",Docker,1,868,44.0385591070522577,"crosbymichael,mlaventure",Docker,1,294,57.7603143418467583,"crosbymichael,mlaventure",Docker,1,91,30.6397306397306397,"crosbymichael,mlaventure",Docker,1,483,41.4592274678111588,"stevvooe,mlaventure",Docker,1,501,42.1717171717171717,"crosbymichael,mlaventure",Docker,1,895,35.2639873916469661
1005,2017-05-30T16:00:00Z,2017-07-13T00:00:00Z,v0.2.9 - v1.0.0-alpha0,43,758,197,123,438,462,887,36,8,21,29,22,41,15,4,7,14,10,18,17.627906976744185,4.5813953488372094,2.86046511627907,10.186046511627907,10.744186046511627,20.627906976744185,"crosbymichael,stevvooe",Docker,1,386,50.9234828496042216,"crosbymichael,stevvooe",Docker,1,119,60.4060913705583756,"crosbymichael,stevvooe",Docker,1,50,40.6504065040650407,"crosbymichael,stevvooe",Docker,1,217,49.5433789954337900,"stevvooe,mlaventure",Docker,1,219,47.4025974025974026,"crosbymichael,stevvooe",Docker,1,392,44.1939120631341601
1006,2017-07-13T00:00:00Z,2017-08-23T22:00:00Z,v1.0.0-alpha0 - v1.0.0-alpha6,41,704,183,121,400,564,895,43,8,24,35,27,45,16,4,12,12,10,15,17.170731707317074,4.463414634146342,2.951219512195122,9.75609756097561,13.75609756097561,21.829268292682926,"stevvooe,crosbymichael",Docker,1,336,47.7272727272727273,"crosbymichael,stevvooe",Docker,1,108,59.0163934426229508,"stevvooe,dmcgowan",Docker,1,40,33.0578512396694215,"stevvooe,crosbymichael",Docker,1,189,47.2500000000000000,"mlaventure,stevvooe",Docker,1,269,47.6950354609929078,"crosbymichael,stevvooe",Docker,1,393,43.9106145251396648
1007,2017-08-23T22:00:00Z,2017-09-06T23:00:00Z,v1.0.0-alpha6 - v1.0.0-beta.0,14,192,55,33,104,242,275,15,5,10,13,18,20,7,2,5,7,8,7,13.714285714285714,3.9285714285714284,2.357142857142857,7.428571428571429,17.285714285714285,19.642857142857142,"crosbymichael,mlaventure",Docker,1,102,53.1250000000000000,"crosbymichael,mlaventure",Docker,1,35,63.6363636363636364,"mlaventure,Random-Liu","Docker,Google",2,14,42.4242424242424242,"crosbymichael,mlaventure",Docker,1,54,51.9230769230769231,"mlaventure,stevvooe",Docker,1,113,46.6942148760330579,"crosbymichael,mlaventure",Docker,1,125,45.4545454545454545
1008,2017-09-06T23:00:00Z,2017-11-08T19:00:00Z,v1.0.0-beta.0 - v1.0.0-beta.3,62,717,183,137,397,556,985,51,7,36,34,27,62,20,5,13,18,16,23,11.564516129032258,2.9516129032258065,2.2096774193548385,6.403225806451613,8.96774193548387,15.887096774193548,"crosbymichael,estesp","Docker,IBM",2,313,43.6541143654114365,"crosbymichael,estesp","Docker,IBM",2,111,60.6557377049180328,"crosbymichael,Random-Liu","Docker,Google",2,35,25.5474452554744526,"crosbymichael,estesp","Docker,IBM",2,170,42.8211586901763224,"stevvooe,mlaventure","Docker,Tesla",2,172,30.9352517985611511,"crosbymichael,stevvooe",Docker,1,424,43.0456852791878173
