Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,3/18/2016,2/27/2017,Google,"Google,Infoblox","Google,Infoblox,NIO","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom"
Since joining CNCF,2/27/2017,4/17/2018,Google,"Google,Infoblox","Google,Infoblox,Name.com","Google,Infoblox,Name.com,SoundCloud","Google,Infoblox,Name.com,SoundCloud,Zendesk","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions","Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions"
2016,3/18/2016,1/1/2017,Google,"Google,Infoblox","Google,Infoblox,NIO","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom","Google,Infoblox,NIO,Soficom"
2017,1/1/2017,1/1/2018,Google,"Google,Infoblox","Google,Infoblox,Name.com","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions","Google,Infoblox,Name.com,Adblock Publisher Solutions"
2018,1/1/2018,4/17/2018,Google,"Google,Infoblox","Google,Infoblox,SoundCloud","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk","Google,Infoblox,SoundCloud,Zendesk"
03/2016,3/1/2016,4/1/2016,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google
04/2016,4/1/2016,5/1/2016,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google
05/2016,5/1/2016,6/1/2016,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google
06/2016,6/1/2016,7/1/2016,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google,Google
07/2016,7/1/2016,8/1/2016,Google,"Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox","Google,Infoblox"
08/2016,8/1/2016,9/1/2016,Google,"Google,NIO","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox","Google,NIO,Infoblox"
