Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
03/2016,3/1/2016,4/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,90.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,89.8%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,94.0%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,97.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,98.0%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,90.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,90.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,89.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,94.4%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,71.4%,95.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,75.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,79.1%,89.6%,96.5%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,94.1%,97.8%,99.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,92.9%,97.8%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,91.3%,97.1%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,92.9%,98.7%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,84.7%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,76.6%,87.5%,96.9%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,71.7%,85.2%,93.9%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,80.0%,91.4%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,88.5%,92.7%,95.8%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,84.6%,92.3%,97.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
