ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2016-03-18T00:00:00Z,2017-02-27T00:00:00Z,Before joining CNCF,346,2039,944,456,639,317,1164,45,5,32,28,11,40,18,4,11,14,5,11,5.893063583815029,2.7283236994219653,1.3179190751445087,1.846820809248555,0.9161849710982659,3.3641618497109826,"miekg,johnbelamaric,yongtang,stp-ip,mrichmon,chrisohaver,aledbf,mrichmon,bwaz,f0,zp-j,kdima,splack,karasz,elcore,shashidharatd,devnev,cricketliu,skpy,ArtemKulyabin,SuperQ,anuaimi,webwurst,errordeveloper,mileswilson,jcdickinson,felipewd,pixelbender,RichiH,wrouesnel","Google,Infoblox,Zendesk,Soficom,NIO,Electrolux-Lehel,Huawei,Improbable,Robert Koch-institut,Giant Swarm,Weaveworks,K2,Commonwealth Bank",13,2023,99.2153016184404120,"Google,Infoblox,Zendesk,Soficom,NIO,Huawei,Improbable,Electrolux-Lehel,Robert Koch-institut,Red Hat,Giant Swarm,Commonwealth Bank,K2,Weaveworks,ICC,DigitalOcean,Signal Sciences,SoundCloud",1987,97.4497302599313389,"miekg,johnbelamaric,yongtang,mrichmon,mrichmon,aledbf","Google,Infoblox,NIO,Soficom",4,944,100.0000000000000000,"Google,Infoblox,NIO,Soficom",944,100.0000000000000000,"miekg,stp-ip,johnbelamaric,f0,aledbf,zp-j,shashidharatd,kdima,karasz,elcore,bwaz,skpy,splack,DJohnD,ArtemKulyabin,yawn,rtreffer,mrichmon,paragonie-scott,yongtang,webwurst,vteslia,iharsuvorau,RichiH,wrouesnel,zignig,devnev,Isolus,mrichmon,felipewd","Google,Zendesk,Infoblox,Soficom,Huawei,Electrolux-Lehel,SoundCloud,NIO,Giant Swarm,Commonwealth Bank,Improbable",11,453,99.3421052631578947,"Google,Zendesk,Infoblox,Soficom,Huawei,Electrolux-Lehel,Giant Swarm,Improbable,Commonwealth Bank,NIO,SoundCloud",423,92.7631578947368421,"miekg,johnbelamaric,yongtang,chrisohaver,mrichmon,aledbf,bwaz,mrichmon,stp-ip,SuperQ,kdima,splack,devnev,cricketliu,zp-j,pixelbender,silasb,karasz,shawnps,ArtemKulyabin,errordeveloper,jcdickinson,philips,leelynne,f0,mdlayher,Project0,elcore,fcantournet","Google,Infoblox,Soficom,NIO,Zendesk,Robert Koch-institut,Improbable,ICC,Electrolux-Lehel,Signal Sciences,Weaveworks,K2,Red Hat,DigitalOcean",14,639,100.0000000000000000,"Google,Infoblox,Soficom,NIO,Zendesk,Robert Koch-institut,Improbable,Red Hat,Signal Sciences,K2,ICC,Electrolux-Lehel,DigitalOcean,Weaveworks",620,97.0266040688575900,"miekg,johnbelamaric,mrichmon,chrisohaver,bwaz,Project0,mwitkow,SuperQ,yongtang,mholt,aledbf","Google,Infoblox,Improbable,Robert Koch-institut,Soficom",5,317,100.0000000000000000,"Google,Infoblox,Improbable,Robert Koch-institut,Soficom",300,94.6372239747634069,"miekg,johnbelamaric,stp-ip,chrisohaver,yongtang,mrichmon,bwaz,aledbf,mrichmon,f0,kdima,SuperQ,Project0,mholt,jcdickinson,zp-j,ArtemKulyabin,philips,zignig,splack,luk4hn,devnev,elcore,rnsanchez,RichiH,mileswilson,jsimonetti,shashidharatd,telephon,colhom","Google,Infoblox,Zendesk,NIO,Soficom,Robert Koch-institut,K2,Red Hat,Improbable,Huawei",10,1153,99.0549828178694158,"Google,Infoblox,Zendesk,NIO,Soficom,Robert Koch-institut,K2,Red Hat,Improbable,Huawei,SoundCloud",1069,91.8384879725085911
2,2017-02-27T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,414,4598,1822,997,1779,1162,4190,154,8,113,86,36,152,35,6,23,29,14,39,11.106280193236715,4.400966183574879,2.4082125603864735,4.297101449275362,2.8067632850241546,10.120772946859903,"miekg,chrisohaver,johnbelamaric,yongtang,fturib,grobie,rajansandeep,rdrozhdzh,greenpau,UladzimirTrehubenka,pmoroney,VioletRainbows,caniszczyk,stp-ip,varyoo,cricketliu,yuewko,achille-roussel,prologic,fastest963,jpmens,rtreffer,bradbeam,huynhmb359,Isolus,kometchtech,Lugoues,nchrisdk,wenerme,swade1987","Google,Infoblox,SoundCloud,Name.com,Linux,CNCF,Zendesk,CoreDNS,Short Circuit,Adblock Publisher Solutions,Dell,ThorTech Solutions L.L.C,Danmarks Nationalbank",13,4393,95.5415397999130057,"Google,Infoblox,SoundCloud,Zendesk,Name.com,Linux,CNCF,CoreDNS,Short Circuit,Adblock Publisher Solutions,Dell,Danmarks Nationalbank,ThorTech Solutions L.L.C,Red Hat,MakerForce,PayPal,IBM,Improbable,MailChimp,Robert Koch-institut,Uber,Success Creation,Airtame,Facebook,Genesis,Ellumia,ASG Consulting,VexxHost,Superbalist,Soficom",4370,95.0413223140495868,"miekg,johnbelamaric,chrisohaver,yongtang,grobie,pmoroney,stp-ip,fastest963","Google,Infoblox,SoundCloud,Name.com,Zendesk,Adblock Publisher Solutions",6,1822,100.0000000000000000,"Google,Infoblox,Name.com,SoundCloud,Zendesk,Adblock Publisher Solutions",1822,100.0000000000000000,"miekg,chrisohaver,johnbelamaric,yongtang,fturib,greenpau,caniszczyk,jpmens,UladzimirTrehubenka,achille-roussel,rajansandeep,grobie,prologic,stp-ip,kometchtech,skpy,rdrozhdzh,gogeof,Isolus,cricketliu,huang195,SuperQ,Lugoues,itskenny0,jpds,rtreffer,sean-abbott,ae6rt,naerion89,Morriz","Google,Infoblox,CNCF,SoundCloud,Short Circuit,Zendesk,IBM,Robert Koch-institut,ThorTech Solutions L.L.C,PayPal",10,889,89.1675025075225677,"Google,Infoblox,SoundCloud,CNCF,Zendesk,Short Circuit,Robert Koch-institut,IBM,ThorTech Solutions L.L.C,Improbable,PayPal,Name.com,CoreDNS,Orange,Airtame,Adblock Publisher Solutions,PNNL,Red Hat,Superbalist,Facebook,Ellumia,Danmarks Nationalbank,Linux",847,84.9548645937813440,"miekg,chrisohaver,johnbelamaric,yongtang,fturib,grobie,rajansandeep,rdrozhdzh,VioletRainbows,pmoroney,varyoo,yuewko,cricketliu,bradbeam,UladzimirTrehubenka,fastest963,greenpau,nchrisdk,mstaneuka,serverwentdown,xluffy,stp-ip,huynhmb359,mparamonau,mfischer-zd,bakins,caniszczyk,rtreffer,wenerme,prologic","Google,Infoblox,SoundCloud,Linux,Name.com,CoreDNS,Dell,Adblock Publisher Solutions,Danmarks Nationalbank,MakerForce,Zendesk,MailChimp,CNCF,Short Circuit",14,1714,96.3462619449128724,"Google,Infoblox,SoundCloud,Linux,Name.com,CoreDNS,Dell,Zendesk,Adblock Publisher Solutions,Danmarks Nationalbank,CNCF,MakerForce,MailChimp,Red Hat,Short Circuit,Success Creation,Uber,ThorTech Solutions L.L.C,ASG Consulting,Facebook,Airtame,Genesis,IPB,Improbable,VexxHost,CNAMTS,Soficom,PayPal,Ocado Technology",1706,95.8965711073636875,"miekg,johnbelamaric,chrisohaver,fturib,varyoo,rdrozhdzh,pmoroney,rtreffer,bradbeam,greenpau,yuewko,UladzimirTrehubenka,huynhmb359,yongtang,mparamonau,grobie,rajansandeep,ghostflame,gibson042,chantra,achille-roussel,ericyan,alkino,mfischer-zd,nchrisdk,jremond,tomplus,shashidharatd,VioletRainbows,bakins","Google,Infoblox,CoreDNS,Name.com,SoundCloud,Dell,Zendesk,Danmarks Nationalbank,Ocado Technology,Huawei,Linux,MailChimp",12,1156,99.4836488812392427,"Google,Infoblox,CoreDNS,SoundCloud,Name.com,Dell,Zendesk,Danmarks Nationalbank,Huawei,Linux,Ocado Technology,MailChimp,CNCF,Soficom",1088,93.6316695352839931,"miekg,chrisohaver,johnbelamaric,fturib,yongtang,greenpau,stp-ip,prologic,pmoroney,rdrozhdzh,varyoo,grobie,mfischer-zd,achille-roussel,bradbeam,VioletRainbows,elephantfries,rtreffer,SuperQ,kometchtech,jremond,huynhmb359,rajansandeep,yuewko,Waffeldrache,snowirbis,kfox1111,Isolus,glerchundi,modille","Google,Infoblox,Zendesk,Short Circuit,Name.com,CoreDNS,SoundCloud,Dell,Linux,Robert Koch-institut,PNNL",11,3832,91.4558472553699284,"Google,Infoblox,Zendesk,Short Circuit,SoundCloud,Name.com,CoreDNS,Linux,Dell,Robert Koch-institut,PNNL,Facebook,Improbable,IPB,Cisco,MailChimp,MakerForce,CNCF,Adblock Publisher Solutions,Docker,Uber,Superbalist,PayPal,ThorTech Solutions L.L.C,CNAMTS,CERN,Airtame,Fairway Technologies,IBM,Ocado Technology",3722,88.8305489260143198
1001,2016-03-18T00:00:00Z,2017-01-01T00:00:00Z,2016,289,1709,813,388,508,191,854,38,5,24,27,10,34,17,4,9,14,5,10,5.913494809688581,2.8131487889273354,1.342560553633218,1.7577854671280277,0.6608996539792388,2.9550173010380623,"miekg,stp-ip,yongtang,mrichmon,johnbelamaric,aledbf,mrichmon,chrisohaver,f0,zp-j,splack,elcore,shashidharatd,karasz,ArtemKulyabin,SuperQ,kdima,cricketliu,philips,DJohnD,waterem,paragonie-scott,fcantournet,iharsuvorau,vteslia,Project0,mdlayher,leelynne,wrouesnel,RichiH","Google,Zendesk,Infoblox,Soficom,NIO,Huawei,Electrolux-Lehel,Robert Koch-institut,Red Hat,DigitalOcean,Commonwealth Bank",11,1700,99.4733762434172030,"Google,Infoblox,Zendesk,Soficom,NIO,Electrolux-Lehel,Huawei,Robert Koch-institut,K2,DigitalOcean,Improbable,ICC,Red Hat,Weaveworks,SoundCloud,Signal Sciences,Commonwealth Bank",1675,98.0105324751316559,"miekg,yongtang,mrichmon,mrichmon,aledbf,johnbelamaric","Google,Infoblox,NIO,Soficom",4,813,100.0000000000000000,"Google,Infoblox,NIO,Soficom",813,100.0000000000000000,"miekg,stp-ip,johnbelamaric,f0,aledbf,shashidharatd,zp-j,splack,elcore,karasz,wrouesnel,rtreffer,DJohnD,waterem,paragonie-scott,yongtang,iharsuvorau,kdima,vteslia,RichiH,mrichmon,mrichmon,mileswilson,ArtemKulyabin,zignig","Google,Zendesk,Infoblox,Soficom,Huawei,Electrolux-Lehel,Commonwealth Bank,SoundCloud,NIO",9,388,100.0000000000000000,"Google,Zendesk,Infoblox,Soficom,Huawei,Electrolux-Lehel,Commonwealth Bank,SoundCloud,NIO",366,94.3298969072164948,"miekg,yongtang,mrichmon,johnbelamaric,chrisohaver,aledbf,mrichmon,stp-ip,splack,SuperQ,zp-j,cricketliu,devnev,jcdickinson,elcore,errordeveloper,Project0,mdlayher,ArtemKulyabin,karasz,f0,philips,leelynne,kdima,shawnps,fcantournet,silasb,pixelbender","Google,Infoblox,Soficom,NIO,Zendesk,Robert Koch-institut,Improbable,K2,Weaveworks,DigitalOcean,Electrolux-Lehel,Red Hat,Signal Sciences,ICC",14,508,100.0000000000000000,"Google,Infoblox,Soficom,NIO,Zendesk,Robert Koch-institut,DigitalOcean,Weaveworks,Signal Sciences,Red Hat,K2,Improbable,ICC,Electrolux-Lehel",496,97.6377952755905512,"miekg,mrichmon,johnbelamaric,chrisohaver,Project0,SuperQ,mwitkow,yongtang,mholt,aledbf","Google,Infoblox,Robert Koch-institut,Improbable,Soficom",5,191,100.0000000000000000,"Google,Infoblox,Improbable,Robert Koch-institut,Soficom",183,95.8115183246073298,"miekg,johnbelamaric,stp-ip,mrichmon,yongtang,aledbf,mrichmon,f0,chrisohaver,SuperQ,jcdickinson,Project0,philips,ArtemKulyabin,zp-j,zignig,luk4hn,mholt,elcore,splack,kdima,mileswilson,jsimonetti,shashidharatd,RichiH,tehscorpion,rtreffer,colhom,olive42,telephon","Google,Infoblox,Zendesk,NIO,Soficom,Robert Koch-institut,K2,Red Hat,Huawei,SoundCloud",10,849,99.4145199063231850,"Google,Infoblox,Zendesk,NIO,Soficom,Robert Koch-institut,K2,Red Hat,Huawei,SoundCloud",796,93.2084309133489461
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,3436,1403,766,1267,810,3008,117,6,90,69,29,108,34,4,22,29,13,35,9.413698630136986,3.8438356164383563,2.0986301369863014,3.4712328767123286,2.219178082191781,8.241095890410959,"miekg,johnbelamaric,chrisohaver,yongtang,VioletRainbows,pmoroney,rajansandeep,varyoo,stp-ip,prologic,jpmens,caniszczyk,bwaz,fastest963,greenpau,bradbeam,UladzimirTrehubenka,Lugoues,skpy,huynhmb359,rdrozhdzh,mstaneuka,mfischer-zd,wenerme,gogeof,jremond,kdima,kometchtech,mwitkow,Isolus","Google,Infoblox,Linux,Name.com,CoreDNS,Zendesk,Short Circuit,CNCF,Adblock Publisher Solutions,Dell,ThorTech Solutions L.L.C,Improbable",12,3295,95.8963911525029104,"Google,Infoblox,Zendesk,Linux,Name.com,CoreDNS,CNCF,Short Circuit,Adblock Publisher Solutions,Dell,ThorTech Solutions L.L.C,Improbable,SoundCloud,Robert Koch-institut,IBM,MailChimp,MakerForce,PayPal,Red Hat,Danmarks Nationalbank,Success Creation,Uber,Airtame,Facebook,IPB,VexxHost,ASG Consulting,CNAMTS,Superbalist,Soficom",3283,95.5471478463329453,"miekg,johnbelamaric,yongtang,chrisohaver,pmoroney,fastest963","Google,Infoblox,Name.com,Adblock Publisher Solutions",4,1403,100.0000000000000000,"Google,Infoblox,Name.com,Adblock Publisher Solutions",1403,100.0000000000000000,"miekg,johnbelamaric,chrisohaver,yongtang,jpmens,stp-ip,prologic,caniszczyk,rajansandeep,skpy,kometchtech,gogeof,UladzimirTrehubenka,kdima,jpds,Lugoues,SuperQ,itskenny0,greenpau,huang195,zzxun,bdubn,jremond,Centzilius,mwitkow,Roderick-Jonsson,huynhmb359,anuaimi,falzm,elephantfries","Google,Infoblox,Zendesk,Short Circuit,CNCF,ThorTech Solutions L.L.C,Robert Koch-institut,IBM,Improbable",9,695,90.7310704960835509,"Google,Infoblox,Zendesk,Short Circuit,CNCF,Improbable,Robert Koch-institut,IBM,ThorTech Solutions L.L.C,PayPal,SoundCloud,Facebook,Linux,Name.com,PNNL,Red Hat,Superbalist,Giant Swarm,Danmarks Nationalbank,CoreDNS,Airtame,Adblock Publisher Solutions",665,86.8146214099216710,"miekg,johnbelamaric,yongtang,chrisohaver,VioletRainbows,varyoo,pmoroney,bwaz,bradbeam,fastest963,rajansandeep,rdrozhdzh,mstaneuka,xluffy,greenpau,mfischer-zd,yuewko,wenerme,serverwentdown,bakins,caniszczyk,huynhmb359,maxibanki,UladzimirTrehubenka,dmyerscough,Lugoues,jremond,paulehoffman,prologic,rtreffer","Google,Infoblox,Linux,CoreDNS,Name.com,Dell,Adblock Publisher Solutions,Zendesk,MakerForce,MailChimp,CNCF,Uber,ThorTech Solutions L.L.C,Success Creation,Short Circuit,SoundCloud",16,1228,96.9218626677190213,"Google,Infoblox,Linux,CoreDNS,Name.com,Dell,Adblock Publisher Solutions,Zendesk,CNCF,MakerForce,MailChimp,Uber,Improbable,Red Hat,Short Circuit,SoundCloud,Success Creation,ThorTech Solutions L.L.C,Soficom,Ocado Technology,IPB,CNAMTS,Airtame,PayPal,ASG Consulting,Danmarks Nationalbank,Facebook,Genesis,VexxHost",1219,96.2115232833464878,"miekg,johnbelamaric,chrisohaver,varyoo,pmoroney,greenpau,UladzimirTrehubenka,bradbeam,yongtang,huynhmb359,bwaz,ghostflame,fturib,mfischer-zd,nchrisdk,alkino,ericyan,rdrozhdzh,bakins,VioletRainbows,rajansandeep,jremond,shashidharatd,tomplus,zp-j,yuewko,stp-ip,caniszczyk,aledbf","Google,Infoblox,CoreDNS,Name.com,Dell,Zendesk,Danmarks Nationalbank,MailChimp,Linux,Huawei,Ocado Technology,CNCF,Soficom",13,810,100.0000000000000000,"Google,Infoblox,CoreDNS,Name.com,Dell,Zendesk,Danmarks Nationalbank,Ocado Technology,Huawei,Linux,MailChimp,CNCF,Soficom",771,95.1851851851851852,"miekg,johnbelamaric,chrisohaver,yongtang,stp-ip,prologic,pmoroney,fturib,varyoo,mfischer-zd,bwaz,greenpau,VioletRainbows,elephantfries,SuperQ,jremond,huynhmb359,kometchtech,Waffeldrache,snowirbis,bradbeam,kfox1111,insomniacslk,schors,yawn,mwitkow,ericyan,danehans,kdima,bakins","Google,Infoblox,Zendesk,Short Circuit,Name.com,CoreDNS,Linux,Robert Koch-institut,Dell,PNNL,Facebook,Improbable,Cisco,MailChimp",14,2811,93.4507978723404255,"Google,Infoblox,Zendesk,Short Circuit,Name.com,CoreDNS,Linux,Robert Koch-institut,Improbable,Dell,PNNL,Facebook,Cisco,MailChimp,IPB,MakerForce,Adblock Publisher Solutions,Docker,Uber,CNCF,PayPal,CERN,Ocado Technology,SoundCloud,ThorTech Solutions L.L.C,IBM,CNAMTS,Airtame,Sky Betting,Vulk",2730,90.7579787234042553
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,1492,550,299,643,478,1492,65,6,45,36,20,73,11,4,6,9,6,13,14.075471698113208,5.188679245283019,2.8207547169811322,6.066037735849057,4.509433962264151,14.075471698113208,"miekg,chrisohaver,johnbelamaric,yongtang,fturib,grobie,rdrozhdzh,greenpau,rajansandeep,achille-roussel,cricketliu,UladzimirTrehubenka,yuewko,stp-ip,swade1987,mparamonau,sean-abbott,Isolus,nchrisdk,rtreffer,caniszczyk,m4r10k,ernoaapa,schoentoon,yybear,freddygv,nycmoma,rikatz,pmoroney,zhujinghui","Google,Infoblox,SoundCloud,Zendesk,Danmarks Nationalbank,CNCF,Name.com",7,1452,97.3190348525469169,"Google,Infoblox,SoundCloud,CNCF,Zendesk,Danmarks Nationalbank,Name.com,Red Hat,CoreDNS,Ellumia,Orange",1400,93.8337801608579088,"miekg,chrisohaver,johnbelamaric,yongtang,grobie,stp-ip","Google,Infoblox,SoundCloud,Zendesk",4,550,100.0000000000000000,"Google,Infoblox,SoundCloud,Zendesk",550,100.0000000000000000,"miekg,chrisohaver,fturib,johnbelamaric,greenpau,achille-roussel,grobie,yongtang,UladzimirTrehubenka,rdrozhdzh,sean-abbott,caniszczyk,Isolus,zhujinghui,cricketliu,theonlydoo,schoentoon,rtreffer,swade1987,jpiper,naerion89,nycmoma,ernoaapa,yybear,SpicaThor,ror6ax,alexgaganashvili,rajansandeep,nlamirault,obeattie","Google,Infoblox,SoundCloud,CNCF,Orange,Ellumia",6,284,94.9832775919732441,"Google,Infoblox,SoundCloud,CNCF,Orange,Ellumia",239,79.9331103678929766,"miekg,chrisohaver,johnbelamaric,yongtang,fturib,grobie,rdrozhdzh,rajansandeep,yuewko,cricketliu,UladzimirTrehubenka,nchrisdk,mparamonau,rikatz,freddygv,pmoroney,swade1987,greenpau,m4r10k,stp-ip,nagakonduri,varyoo,ZloyDyadka,bartelsb,fntlnz,dankohn,elbuo8,achille-roussel,sdake,RichiH","Google,Infoblox,SoundCloud,Danmarks Nationalbank,Name.com,Zendesk,CoreDNS,CNCF",8,637,99.0668740279937792,"Google,Infoblox,SoundCloud,Danmarks Nationalbank,Zendesk,Name.com,CNCF,Red Hat,CoreDNS",611,95.0233281493001555,"miekg,fturib,johnbelamaric,chrisohaver,rtreffer,rdrozhdzh,yuewko,mparamonau,grobie,rajansandeep,bradbeam,pmoroney,gibson042,chantra,greenpau,achille-roussel,varyoo,UladzimirTrehubenka,ynikanchyk,mholt","Google,Infoblox,SoundCloud,Dell,Name.com,CoreDNS",6,478,100.0000000000000000,"Infoblox,Google,SoundCloud,Dell,Name.com,CoreDNS",434,90.7949790794979079,"miekg,chrisohaver,johnbelamaric,fturib,greenpau,yongtang,rdrozhdzh,grobie,achille-roussel,rtreffer,stp-ip,yuewko,rajansandeep,bradbeam,modille,glerchundi,caffeinejolt,Isolus,fantuz,rikatz,yybear,m4r10k,smira,theonlydoo,jpiper,UladzimirTrehubenka,zhujinghui,campbelldgunn,mparamonau,cricketliu","Google,Infoblox,SoundCloud,Zendesk,Dell",5,1423,95.3753351206434316,"Infoblox,Google,SoundCloud,Zendesk,Dell,CoreDNS,Superbalist,CNCF,Fairway Technologies,IPB,Orange,Name.com,Red Hat",1269,85.0536193029490617
2001,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,03/2016,31,215,116,57,42,5,44,2,1,1,2,2,1,1,1,1,1,2,1,6.935483870967742,3.7419354838709675,1.8387096774193548,1.3548387096774193,0.16129032258064516,1.4193548387096775,"miekg,fcantournet",Google,1,215,100.0000000000000000,Google,214,99.5348837209302326,miekg,Google,1,116,100.0000000000000000,Google,116,100.0000000000000000,miekg,Google,1,57,100.0000000000000000,Google,57,100.0000000000000000,"miekg,fcantournet",Google,1,42,100.0000000000000000,Google,41,97.6190476190476190,"mwitkow,miekg","Improbable,Google",2,5,100.0000000000000000,"Improbable,Google",5,100.0000000000000000,miekg,Google,1,44,100.0000000000000000,Google,44,100.0000000000000000
2002,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,04/2016,30,393,211,78,104,0,92,4,1,2,3,0,6,3,1,1,3,0,4,13.1,7.033333333333333,2.6,3.466666666666667,0,3.066666666666667,"miekg,mrichmon,vteslia,mdlayher","Google,Infoblox,DigitalOcean",3,393,100.0000000000000000,"Google,Infoblox,DigitalOcean",392,99.7455470737913486,miekg,Google,1,211,100.0000000000000000,Google,211,100.0000000000000000,"miekg,vteslia",Google,1,78,100.0000000000000000,Google,77,98.7179487179487179,"miekg,mdlayher,mrichmon","Google,DigitalOcean,Infoblox",3,104,100.0000000000000000,"Google,Infoblox,DigitalOcean",104,100.0000000000000000,,,,,,,,,"miekg,aledbf,jsimonetti,mrichmon,philips,vavrusa","Google,Soficom,Infoblox,Red Hat",4,92,100.0000000000000000,"Google,Soficom,Infoblox,Red Hat",89,96.7391304347826087
2003,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,05/2016,31,31,18,7,6,0,15,1,1,1,1,0,5,1,1,1,1,0,4,1,0.5806451612903226,0.22580645161290322,0.1935483870967742,0,0.4838709677419355,miekg,Google,1,31,100.0000000000000000,Google,31,100.0000000000000000,miekg,Google,1,18,100.0000000000000000,Google,18,100.0000000000000000,miekg,Google,1,7,100.0000000000000000,Google,7,100.0000000000000000,miekg,Google,1,6,100.0000000000000000,Google,6,100.0000000000000000,,,,,,,,,"miekg,philips,mrichmon,colhom,aledbf","Google,Red Hat,Infoblox,Soficom",4,15,100.0000000000000000,"Google,Red Hat,Infoblox,Soficom",15,100.0000000000000000
2004,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,06/2016,30,64,25,23,16,30,42,5,1,3,4,2,4,2,1,1,2,2,2,2.1333333333333333,0.8333333333333334,0.7666666666666667,0.5333333333333333,1,1.4,"miekg,splack,f0,mrichmon,pixelbender","Google,Infoblox",2,64,100.0000000000000000,"Google,Infoblox",57,89.0625000000000000,miekg,Google,1,25,100.0000000000000000,Google,25,100.0000000000000000,"miekg,splack,f0",Google,1,23,100.0000000000000000,Google,19,82.6086956521739130,"miekg,splack,pixelbender,mrichmon","Google,Infoblox",2,16,100.0000000000000000,"Google,Infoblox",13,81.2500000000000000,"miekg,mrichmon","Google,Infoblox",2,30,100.0000000000000000,"Google,Infoblox",30,100.0000000000000000,"miekg,f0,splack,mrichmon","Google,Infoblox",2,42,100.0000000000000000,"Google,Infoblox",30,71.4285714285714286
2005,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,07/2016,31,49,21,6,22,53,21,5,2,3,4,2,4,3,2,2,3,2,3,1.5806451612903225,0.6774193548387096,0.1935483870967742,0.7096774193548387,1.7096774193548387,0.6774193548387096,"miekg,mrichmon,leelynne,errordeveloper,kdima","Google,Infoblox,Weaveworks",3,49,100.0000000000000000,"Google,Infoblox,Weaveworks",47,95.9183673469387755,"miekg,mrichmon","Google,Infoblox",2,21,100.0000000000000000,"Google,Infoblox",21,100.0000000000000000,"miekg,kdima,mrichmon","Google,Infoblox",2,6,100.0000000000000000,"Google,Infoblox",5,83.3333333333333333,"miekg,mrichmon,leelynne,errordeveloper","Google,Infoblox,Weaveworks",3,22,100.0000000000000000,"Google,Infoblox,Weaveworks",21,95.4545454545454545,"miekg,mrichmon","Google,Infoblox",2,53,100.0000000000000000,"Google,Infoblox",53,100.0000000000000000,"miekg,aledbf,mrichmon,telephon","Google,Soficom,Infoblox",3,21,100.0000000000000000,"Google,Soficom,Infoblox",20,95.2380952380952381
