Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,9/14/2016,9/13/2017,Lyft,"Lyft,Google","Lyft,Google,Datawire.io","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF","Lyft,Google,Datawire.io,CNCF"
Since joining CNCF,9/13/2017,4/17/2018,Lyft,"Lyft,Google","Lyft,Google,SalesForce","Lyft,Google,SalesForce,Apple","Lyft,Google,SalesForce,Apple,Datawire.io","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF","Lyft,Google,SalesForce,Apple,Datawire.io,IBM,Turbine Labs,CNCF"
2016,9/14/2016,1/1/2017,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
2017,1/1/2017,1/1/2018,Lyft,"Lyft,Google","Lyft,Google,Datawire.io","Lyft,Google,Datawire.io,IBM","Lyft,Google,Datawire.io,IBM,Apple","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs","Lyft,Google,Datawire.io,IBM,Apple,CNCF,Turbine Labs"
2018,1/1/2018,4/17/2018,Lyft,"Lyft,Google","Lyft,Google,SalesForce","Lyft,Google,SalesForce,Apple","Lyft,Google,SalesForce,Apple,Turbine Labs","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,IBM,CNCF"
09/2016,9/1/2016,10/1/2016,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
10/2016,10/1/2016,11/1/2016,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
11/2016,11/1/2016,12/1/2016,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
12/2016,12/1/2016,1/1/2017,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
01/2017,1/1/2017,2/1/2017,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
02/2017,2/1/2017,3/1/2017,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
03/2017,3/1/2017,4/1/2017,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft,Lyft
04/2017,4/1/2017,5/1/2017,Lyft,"Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google"
05/2017,5/1/2017,6/1/2017,Lyft,"Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google"
06/2017,6/1/2017,7/1/2017,Lyft,"Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google"
