Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Before joining CNCF,9/14/2016,9/13/2017,80.5%,85.2%,85.4%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%,85.5%
Since joining CNCF,9/13/2017,4/17/2018,71.7%,91.8%,94.5%,95.9%,97.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%
2016,9/14/2016,1/1/2017,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%,71.0%
2017,1/1/2017,1/1/2018,81.4%,90.4%,91.0%,91.5%,91.7%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%,92.1%
2018,1/1/2018,4/17/2018,62.5%,88.7%,94.6%,97.0%,98.3%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%,99.8%
09/2016,9/1/2016,10/1/2016,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%,75.4%
10/2016,10/1/2016,11/1/2016,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%
11/2016,11/1/2016,12/1/2016,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
12/2016,12/1/2016,1/1/2017,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%,77.7%
01/2017,1/1/2017,2/1/2017,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%,76.0%
02/2017,2/1/2017,3/1/2017,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%,76.5%
