Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Before joining CNCF,9/14/2016,9/13/2017,Lyft,"Lyft,Google","Lyft,Google,IBM","Lyft,Google,IBM,Turbine Labs","Lyft,Google,IBM,Turbine Labs,Red Hat","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops","Lyft,Google,IBM,Turbine Labs,Red Hat,Datawire.io,Stripe,eBay,Microsoft,Twilio,Netflix,LightStep,Facebook,Box,CNCF,ICF,Spotify,Pivotal,Devops"
Since joining CNCF,9/13/2017,4/17/2018,Lyft,"Lyft,Google","Lyft,Google,Apple","Lyft,Google,Apple,Turbine Labs","Lyft,Google,Apple,Turbine Labs,SalesForce","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan,Facebook,Verizon,TripTravel,Spike Curtis,Namely","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan,Facebook,Verizon,TripTravel,Spike Curtis,Namely,Synology,SoundCloud,Factotum,zvelo,PayPal","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan,Facebook,Verizon,TripTravel,Spike Curtis,Namely,Synology,SoundCloud,Factotum,zvelo,PayPal,HPE,DigitalOcean,Dealer.com,Cloud Works,Cisco,BeenVerified,Spotify,VMware","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan,Facebook,Verizon,TripTravel,Spike Curtis,Namely,Synology,SoundCloud,Factotum,zvelo,PayPal,HPE,DigitalOcean,Dealer.com,Cloud Works,Cisco,BeenVerified,Spotify,VMware","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan,Facebook,Verizon,TripTravel,Spike Curtis,Namely,Synology,SoundCloud,Factotum,zvelo,PayPal,HPE,DigitalOcean,Dealer.com,Cloud Works,Cisco,BeenVerified,Spotify,VMware","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan,Facebook,Verizon,TripTravel,Spike Curtis,Namely,Synology,SoundCloud,Factotum,zvelo,PayPal,HPE,DigitalOcean,Dealer.com,Cloud Works,Cisco,BeenVerified,Spotify,VMware","Lyft,Google,Apple,Turbine Labs,SalesForce,IBM,Datawire.io,Red Hat,Stripe,CNCF,Tigera,OpenStack Foundation,Pivotal,eBay,Microsoft,Square,Netflix,Mesosphere,ZTE,JPMorgan,Facebook,Verizon,TripTravel,Spike Curtis,Namely,Synology,SoundCloud,Factotum,zvelo,PayPal,HPE,DigitalOcean,Dealer.com,Cloud Works,Cisco,BeenVerified,Spotify,VMware"
2016,9/14/2016,1/1/2017,Lyft,"Lyft,Google","Lyft,Google,IBM","Lyft,Google,IBM,LightStep","Lyft,Google,IBM,LightStep,Devops","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix","Lyft,Google,IBM,LightStep,Devops,Netflix"
2017,1/1/2017,1/1/2018,Lyft,"Lyft,Google","Lyft,Google,IBM","Lyft,Google,IBM,Turbine Labs","Lyft,Google,IBM,Turbine Labs,Apple","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum,Tigera,BeenVerified,VMware,Cloud Works,Dealer.com","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum,Tigera,BeenVerified,VMware,Cloud Works,Dealer.com,Namely,LightStep,ICF,Spotify","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum,Tigera,BeenVerified,VMware,Cloud Works,Dealer.com,Namely,LightStep,ICF,Spotify","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum,Tigera,BeenVerified,VMware,Cloud Works,Dealer.com,Namely,LightStep,ICF,Spotify","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum,Tigera,BeenVerified,VMware,Cloud Works,Dealer.com,Namely,LightStep,ICF,Spotify","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum,Tigera,BeenVerified,VMware,Cloud Works,Dealer.com,Namely,LightStep,ICF,Spotify","Lyft,Google,IBM,Turbine Labs,Apple,Datawire.io,Red Hat,Stripe,CNCF,eBay,Pivotal,Microsoft,Facebook,Twilio,OpenStack Foundation,Box,Spike Curtis,Netflix,SoundCloud,Factotum,Tigera,BeenVerified,VMware,Cloud Works,Dealer.com,Namely,LightStep,ICF,Spotify"
2018,1/1/2018,4/17/2018,Lyft,"Lyft,Google","Lyft,Google,SalesForce","Lyft,Google,SalesForce,Apple","Lyft,Google,SalesForce,Apple,Turbine Labs","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon,Synology,Facebook,Spotify,zvelo,PayPal","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon,Synology,Facebook,Spotify,zvelo,PayPal,Namely,HPE,eBay,Cisco,DigitalOcean","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon,Synology,Facebook,Spotify,zvelo,PayPal,Namely,HPE,eBay,Cisco,DigitalOcean,Pivotal","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon,Synology,Facebook,Spotify,zvelo,PayPal,Namely,HPE,eBay,Cisco,DigitalOcean,Pivotal","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon,Synology,Facebook,Spotify,zvelo,PayPal,Namely,HPE,eBay,Cisco,DigitalOcean,Pivotal","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon,Synology,Facebook,Spotify,zvelo,PayPal,Namely,HPE,eBay,Cisco,DigitalOcean,Pivotal","Lyft,Google,SalesForce,Apple,Turbine Labs,Datawire.io,Red Hat,IBM,Tigera,Stripe,Microsoft,Square,OpenStack Foundation,Netflix,CNCF,TripTravel,ZTE,Mesosphere,JPMorgan,Verizon,Synology,Facebook,Spotify,zvelo,PayPal,Namely,HPE,eBay,Cisco,DigitalOcean,Pivotal"
09/2016,9/1/2016,10/1/2016,Lyft,"Lyft,LightStep","Lyft,LightStep,Google","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops","Lyft,LightStep,Google,Devops"
10/2016,10/1/2016,11/1/2016,Lyft,"Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google","Lyft,Google"
11/2016,11/1/2016,12/1/2016,Lyft,"Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM","Lyft,IBM"
12/2016,12/1/2016,1/1/2017,Lyft,"Lyft,IBM","Lyft,IBM,Google","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix","Lyft,IBM,Google,Netflix"
01/2017,1/1/2017,2/1/2017,Lyft,"Lyft,Google","Lyft,Google,IBM","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix","Lyft,Google,IBM,Netflix"
