ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2016-09-14T00:00:00Z,2017-09-13T00:00:00Z,Before joining CNCF,364,6396,3293,728,2375,6935,3975,153,17,113,86,64,167,19,4,15,14,11,21,17.571428571428573,9.046703296703297,2,6.524725274725275,19.052197802197803,10.92032967032967,mattklein123,Lyft,1,2645,41.3539712320200125,Lyft,4323,67.5891181988742964,mattklein123,Lyft,1,1253,38.0504099605223201,Lyft,2650,80.4737321591254176,mattklein123,Lyft,1,343,47.1153846153846154,Lyft,360,49.4505494505494505,mattklein123,Lyft,1,1049,44.1684210526315789,Lyft,1313,55.2842105263157895,mattklein123,Lyft,1,2372,34.2033165104542177,Lyft,2988,43.0857966834895458,mattklein123,Lyft,1,1651,41.5345911949685535,Lyft,1771,44.5534591194968553
2,2017-09-13T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,216,6624,2580,1012,3032,9146,6619,299,16,226,156,124,351,38,8,32,27,26,43,30.666666666666668,11.944444444444445,4.685185185185185,14.037037037037036,42.342592592592595,30.64351851851852,mattklein123,Lyft,1,2776,41.9082125603864734,Lyft,3203,48.3544685990338164,mattklein123,Lyft,1,1547,59.9612403100775194,Lyft,1850,71.7054263565891473,mattklein123,Lyft,1,304,30.0395256916996047,Lyft,317,31.3241106719367589,mattklein123,Lyft,1,925,30.5079155672823219,Google,1055,34.7955145118733509,mattklein123,Lyft,1,2292,25.0601355783949267,Google,3759,41.0999343975508419,mattklein123,Lyft,1,1908,28.8261066626378607,Lyft,2038,30.7901495694213627
1001,2016-09-14T00:00:00Z,2017-01-01T00:00:00Z,2016,109,1039,586,92,361,581,398,33,6,21,18,11,34,6,1,4,5,3,7,9.53211009174312,5.376146788990826,0.8440366972477065,3.311926605504587,5.330275229357798,3.6513761467889907,mattklein123,Lyft,1,545,52.4542829643888354,Lyft,736,70.8373435996150144,mattklein123,Lyft,1,276,47.0989761092150171,Lyft,416,70.9897610921501706,mattklein123,Lyft,1,58,63.0434782608695652,Lyft,59,64.1304347826086957,mattklein123,Lyft,1,211,58.4487534626038781,Lyft,261,72.2991689750692521,mattklein123,Lyft,1,270,46.4716006884681583,Lyft,423,72.8055077452667814,mattklein123,Lyft,1,244,61.3065326633165829,Lyft,255,64.0703517587939698
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,8585,4115,1067,3403,9955,6100,242,21,183,128,100,259,29,7,25,20,19,30,23.52054794520548,11.273972602739725,2.9232876712328766,9.323287671232876,27.273972602739725,16.71232876712329,mattklein123,Lyft,1,3715,43.2731508444962143,Lyft,5460,63.5993011065812464,mattklein123,Lyft,1,1897,46.0996354799513973,Lyft,3351,81.4337788578371810,mattklein123,Lyft,1,450,42.1743205248359888,Lyft,470,44.0487347703842549,mattklein123,Lyft,1,1368,40.1998236849838378,Lyft,1639,48.1633852483103144,mattklein123,Lyft,1,3170,31.8432948267202411,Google,4003,40.2109492717227524,mattklein123,Lyft,1,2360,38.6885245901639344,Lyft,2508,41.1147540983606557
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,3396,1172,581,1643,5545,4096,212,15,157,114,98,271,31,8,24,22,20,37,32.0377358490566,11.056603773584905,5.481132075471698,15.5,52.31132075471698,38.64150943396226,mattklein123,Lyft,1,1161,34.1872791519434629,Lyft,1330,39.1637220259128386,mattklein123,Lyft,1,627,53.4982935153583618,Lyft,733,62.5426621160409556,mattklein123,Lyft,1,139,23.9242685025817556,Lyft,148,25.4733218588640275,mattklein123,Lyft,1,395,24.0413877054169203,Google,608,37.0054777845404747,mattklein123,Lyft,1,1224,22.0739404869251578,Google,2252,40.6131650135256988,mattklein123,Lyft,1,955,23.3154296875000000,Google,1140,27.8320312500000000
2001,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,09/2016,30,212,122,14,76,177,56,15,4,7,10,6,9,4,1,2,3,1,3,7.066666666666666,4.066666666666666,0.4666666666666667,2.533333333333333,5.9,1.8666666666666667,mattklein123,Lyft,1,98,46.2264150943396226,Lyft,152,71.6981132075471698,mattklein123,Lyft,1,50,40.9836065573770492,Lyft,92,75.4098360655737705,fabware,,0,4,28.5714285714285714,Lyft,4,28.5714285714285714,mattklein123,Lyft,1,44,57.8947368421052632,Lyft,56,73.6842105263157895,mattklein123,Lyft,1,77,43.5028248587570621,Lyft,138,77.9661016949152542,mattklein123,Lyft,1,39,69.6428571428571429,Lyft,43,76.7857142857142857
2002,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,10/2016,31,311,186,30,95,147,87,13,5,7,7,4,14,2,1,2,2,1,3,10.03225806451613,6,0.967741935483871,3.064516129032258,4.741935483870968,2.806451612903226,RomanDzhabarov,,0,123,39.5498392282958199,Lyft,169,54.3408360128617363,RomanDzhabarov,,0,89,47.8494623655913978,Lyft,97,52.1505376344086022,mattklein123,Lyft,1,21,70.0000000000000000,Lyft,21,70.0000000000000000,RomanDzhabarov,,0,34,35.7894736842105263,Lyft,51,53.6842105263157895,mattklein123,Lyft,1,62,42.1768707482993197,Lyft,100,68.0272108843537415,mattklein123,Lyft,1,55,63.2183908045977011,Lyft,56,64.3678160919540230
2003,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,11/2016,30,318,175,29,114,138,145,12,5,7,7,8,16,2,1,2,2,2,4,10.6,5.833333333333333,0.9666666666666667,3.8,4.6,4.833333333333333,mattklein123,Lyft,1,207,65.0943396226415094,Lyft,263,82.7044025157232704,mattklein123,Lyft,1,106,60.5714285714285714,Lyft,147,84.0000000000000000,mattklein123,Lyft,1,21,72.4137931034482759,Lyft,21,72.4137931034482759,mattklein123,Lyft,1,80,70.1754385964912281,Lyft,95,83.3333333333333333,mattklein123,Lyft,1,72,52.1739130434782609,Lyft,109,78.9855072463768116,mattklein123,Lyft,1,86,59.3103448275862069,Lyft,91,62.7586206896551724
2004,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,12/2016,31,198,103,19,76,119,110,11,5,8,8,7,15,4,1,4,3,3,5,6.387096774193548,3.3225806451612905,0.6129032258064516,2.4516129032258065,3.838709677419355,3.5483870967741935,mattklein123,Lyft,1,125,63.1313131313131313,Lyft,152,76.7676767676767677,mattklein123,Lyft,1,60,58.2524271844660194,Lyft,80,77.6699029126213592,mattklein123,Lyft,1,12,63.1578947368421053,Lyft,13,68.4210526315789474,mattklein123,Lyft,1,53,69.7368421052631579,Lyft,59,77.6315789473684211,mattklein123,Lyft,1,59,49.5798319327731092,Lyft,76,63.8655462184873950,mattklein123,Lyft,1,64,58.1818181818181818,Lyft,65,59.0909090909090909
2005,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,01/2017,31,341,171,55,115,388,194,19,5,14,15,16,24,4,1,4,4,4,5,11,5.516129032258065,1.7741935483870968,3.7096774193548385,12.516129032258064,6.258064516129032,mattklein123,Lyft,1,186,54.5454545454545455,Lyft,238,69.7947214076246334,mattklein123,Lyft,1,101,59.0643274853801170,Lyft,130,76.0233918128654971,mattklein123,Lyft,1,28,50.9090909090909091,Lyft,32,58.1818181818181818,mattklein123,Lyft,1,57,49.5652173913043478,Lyft,76,66.0869565217391304,mattklein123,Lyft,1,192,49.4845360824742268,Lyft,242,62.3711340206185567,mattklein123,Lyft,1,94,48.4536082474226804,Lyft,107,55.1546391752577320
