Release,Date from,Date to,Top 1 committing companies,Top 2 committing companies,Top 3 committing companies,Top 4 committing companies,Top 5 committing companies,Top 10 committing companies,Top 15 committing companies,Top 20 committing companies,Top 25 committing companies,Top 30 committing companies,Top 50 committing companies,Top 100 committing companies,Top 200 committing companies,Top 500 committing companies,Top 1000 committing companies
Before joining CNCF,1/2/2014,11/8/2016,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Everyleaf","Treasure Data,DeNA,Everyleaf,ClearCode","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE","Treasure Data,DeNA,Everyleaf,ClearCode,Livesense,JBAT,Apache,Mercari,Maverick,Universal Bank,Ubiregi,Netdirekt,Y. Hata,Quipper,Funky,GREE"
Since joining CNCF,11/8/2016,4/17/2018,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,Karellen","Treasure Data,ClearCode,Karellen,Adobe","Treasure Data,ClearCode,Karellen,Adobe,Livesense","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache","Treasure Data,ClearCode,Karellen,Adobe,Livesense,Mercari,Open Collector,Apache"
2014,1/2/2014,1/1/2015,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,JBAT","Treasure Data,DeNA,JBAT,Maverick","Treasure Data,DeNA,JBAT,Maverick,Livesense","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE","Treasure Data,DeNA,JBAT,Maverick,Livesense,Ubiregi,Universal Bank,Apache,Netdirekt,Funky,GREE"
2015,1/1/2015,1/1/2016,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Everyleaf","Treasure Data,DeNA,Everyleaf,Mercari","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper","Treasure Data,DeNA,Everyleaf,Mercari,ClearCode,Livesense,Apache,Universal Bank,JBAT,Y. Hata,Quipper"
2016,1/1/2016,1/1/2017,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,Apache","Treasure Data,ClearCode,Apache,DeNA","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense","Treasure Data,ClearCode,Apache,DeNA,Livesense"
2017,1/1/2017,1/1/2018,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,Adobe","Treasure Data,ClearCode,Adobe,Karellen","Treasure Data,ClearCode,Adobe,Karellen,Livesense","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector","Treasure Data,ClearCode,Adobe,Karellen,Livesense,Mercari,Apache,Open Collector"
2018,1/1/2018,4/17/2018,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,Karellen","Treasure Data,ClearCode,Karellen,Livesense","Treasure Data,ClearCode,Karellen,Livesense,Mercari","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector","Treasure Data,ClearCode,Karellen,Livesense,Mercari,Open Collector"
01/2014,1/1/2014,2/1/2014,Treasure Data,"Treasure Data,JBAT","Treasure Data,JBAT,Maverick","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky","Treasure Data,JBAT,Maverick,Funky"
02/2014,2/1/2014,3/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Ubiregi","Treasure Data,DeNA,Ubiregi,JBAT","Treasure Data,DeNA,Ubiregi,JBAT,Livesense","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,JBAT,Livesense,Maverick"
03/2014,3/1/2014,4/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Livesense","Treasure Data,DeNA,Livesense,Netdirekt","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi","Treasure Data,DeNA,Livesense,Netdirekt,Ubiregi"
