Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,1/2/2014,11/8/2016,70.2%,74.9%,78.7%,79.8%,80.8%,83.4%,84.5%,85.0%,85.4%,85.7%,86.5%,87.4%,87.7%,87.7%,87.7%
Since joining CNCF,11/8/2016,4/17/2018,63.3%,70.6%,72.8%,73.8%,74.1%,75.6%,76.3%,76.9%,77.3%,77.7%,78.7%,79.8%,80.3%,80.3%,80.3%
2014,1/2/2014,1/1/2015,68.6%,78.5%,79.8%,80.9%,82.0%,85.1%,86.4%,87.3%,87.9%,88.2%,89.1%,89.3%,89.3%,89.3%,89.3%
2015,1/1/2015,1/1/2016,64.4%,70.1%,73.8%,77.4%,79.5%,82.2%,83.4%,84.1%,84.7%,85.1%,86.2%,86.5%,86.5%,86.5%,86.5%
2016,1/1/2016,1/1/2017,76.3%,81.5%,84.1%,84.8%,85.1%,86.0%,86.5%,86.9%,87.1%,87.4%,87.9%,88.0%,88.0%,88.0%,88.0%
2017,1/1/2017,1/1/2018,63.8%,72.5%,74.8%,75.9%,76.4%,78.3%,79.2%,79.9%,80.4%,80.8%,81.9%,83.3%,83.5%,83.5%,83.5%
2018,1/1/2018,4/17/2018,49.0%,54.9%,56.4%,57.0%,57.4%,58.8%,59.7%,60.1%,60.5%,60.9%,61.2%,61.2%,61.2%,61.2%,61.2%
01/2014,1/1/2014,2/1/2014,63.9%,70.7%,76.2%,81.0%,83.0%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%,87.8%
02/2014,2/1/2014,3/1/2014,75.6%,83.6%,87.4%,90.5%,92.4%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
03/2014,3/1/2014,4/1/2014,59.6%,74.7%,78.8%,82.9%,84.9%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
04/2014,4/1/2014,5/1/2014,74.2%,80.0%,81.9%,83.2%,84.5%,87.7%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%,89.0%
05/2014,5/1/2014,6/1/2014,76.8%,80.0%,81.9%,83.2%,84.5%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%,88.4%
06/2014,6/1/2014,7/1/2014,80.3%,83.2%,86.1%,88.4%,89.6%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%,93.1%
07/2014,7/1/2014,8/1/2014,74.3%,78.7%,82.4%,84.6%,86.8%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%
