Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
01/2014,1/1/2014,2/1/2014,75.6%,85.9%,96.2%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
02/2014,2/1/2014,3/1/2014,82.6%,88.9%,92.1%,94.7%,96.8%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%,98.4%
03/2014,3/1/2014,4/1/2014,65.0%,87.5%,93.8%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/1/2014,5/1/2014,94.3%,97.1%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/1/2014,6/1/2014,92.3%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/1/2014,7/1/2014,94.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/1/2014,8/1/2014,90.2%,93.4%,96.7%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/1/2014,9/1/2014,93.6%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
09/2014,9/1/2014,10/1/2014,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2014,10/1/2014,11/1/2014,64.1%,88.9%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/1/2014,12/1/2014,75.9%,97.5%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
