Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
01/2014,1/1/2014,2/1/2014,Treasure Data,"Treasure Data,Maverick","Treasure Data,Maverick,JBAT","Treasure Data,Maverick,JBAT,Ubiregi","Treasure Data,Maverick,JBAT,Ubiregi,Funky","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure","Treasure Data,Maverick,JBAT,Ubiregi,Funky,DeNA,Livesense,Cookpad,Instructure"
02/2014,2/1/2014,3/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Ubiregi","Treasure Data,DeNA,Ubiregi,Livesense","Treasure Data,DeNA,Ubiregi,Livesense,JBAT","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle","Treasure Data,DeNA,Ubiregi,Livesense,JBAT,Maverick,Cookpad,Acorns,Instyle"
03/2014,3/1/2014,4/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Netdirekt","Treasure Data,DeNA,Netdirekt,Livesense","Treasure Data,DeNA,Netdirekt,Livesense,Mercari","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax","Treasure Data,DeNA,Netdirekt,Livesense,Mercari,Ubiregi,Fastly,The BeatPacking Company,DataStax"
04/2014,4/1/2014,5/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Ubiregi","Treasure Data,DeNA,Ubiregi,Cookpad","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences","Treasure Data,DeNA,Ubiregi,Cookpad,ClearCode,Siemens,Network Applied Communication Laboratory,Livesense,Jigsaw,Collective Genius,SourceClear,Signal Sciences"
05/2014,5/1/2014,6/1/2014,Treasure Data,"Treasure Data,JBAT","Treasure Data,JBAT,Y. Hata","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences","Treasure Data,JBAT,Y. Hata,Network Applied Communication Laboratory,Ubiregi,Mercari,Livesense,Kyodo News Digital,DeNA,Signal Sciences"
06/2014,6/1/2014,7/1/2014,Treasure Data,"Treasure Data,JBAT","Treasure Data,JBAT,Mercari","Treasure Data,JBAT,Mercari,KLab","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia","Treasure Data,JBAT,Mercari,KLab,Network Applied Communication Laboratory,Livesense,Cockroach Labs,DeNA,EdSurge,Techtopia"
07/2014,7/1/2014,8/1/2014,Treasure Data,"Treasure Data,Atlassian","Treasure Data,Atlassian,Techtopia","Treasure Data,Atlassian,Techtopia,DeNA","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications","Treasure Data,Atlassian,Techtopia,DeNA,Red Hat,Apache,JBAT,GREE,Lexfo,NTT Communications"
08/2014,8/1/2014,9/1/2014,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,Apache","Treasure Data,ClearCode,Apache,Lexfo","Treasure Data,ClearCode,Apache,Lexfo,DeNA","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT","Treasure Data,ClearCode,Apache,Lexfo,DeNA,TUNE,Babbel,Cisco,ISID,Librato,Livesense,Polydice,We are ROOT"
09/2014,9/1/2014,10/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,TUNE","Treasure Data,DeNA,TUNE,ClearCode","Treasure Data,DeNA,TUNE,ClearCode,Happyr","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete","Treasure Data,DeNA,TUNE,ClearCode,Happyr,Emprego Ligado,Authlete"
10/2014,10/1/2014,11/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Maverick","Treasure Data,DeNA,Maverick,Livesense","Treasure Data,DeNA,Maverick,Livesense,Google","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Google,BI,ClearCode,Vine,Center for Open Science"
