Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,77.0%,85.6%,89.4%,92.5%,95.1%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
Quarter from 04/2014,4/1/2014,7/1/2014,93.7%,97.3%,99.1%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,86.7%,95.0%,96.3%,97.2%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
Quarter from 10/2014,10/1/2014,1/1/2015,69.3%,92.8%,95.0%,96.7%,97.8%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
Quarter from 01/2015,1/1/2015,4/1/2015,83.0%,91.4%,93.8%,95.9%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%
Quarter from 04/2015,4/1/2015,7/1/2015,71.1%,89.5%,98.2%,99.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,89.1%,94.5%,97.5%,98.5%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%,98.9%
Quarter from 10/2015,10/1/2015,1/1/2016,85.7%,90.5%,94.6%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,96.3%,99.3%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,94.0%,95.6%,96.1%,96.4%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%
Quarter from 07/2016,7/1/2016,10/1/2016,95.8%,99.0%,99.6%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,97.4%,99.3%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
Quarter from 01/2017,1/1/2017,4/1/2017,96.4%,98.9%,99.2%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
Quarter from 04/2017,4/1/2017,7/1/2017,95.0%,96.4%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%,97.5%
Quarter from 07/2017,7/1/2017,10/1/2017,83.7%,99.3%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,82.6%,96.0%,97.7%,98.1%,98.5%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
Quarter from 01/2018,1/1/2018,4/1/2018,81.7%,87.4%,88.5%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%,88.8%
Quarter from 04/2018,4/1/2018,7/1/2018,89.2%,93.2%,94.6%,95.9%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%,97.3%
