Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Quarter from 01/2014,1/1/2014,4/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Ubiregi","Treasure Data,DeNA,Ubiregi,Livesense","Treasure Data,DeNA,Ubiregi,Livesense,Maverick","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly","Treasure Data,DeNA,Ubiregi,Livesense,Maverick,JBAT,Netdirekt,Cookpad,Funky,Mercari,Instyle,DataStax,Instructure,The BeatPacking Company,Acorns,Fastly"
Quarter from 04/2014,4/1/2014,7/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,JBAT","Treasure Data,DeNA,JBAT,Mercari","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius","Treasure Data,DeNA,JBAT,Mercari,Network Applied Communication Laboratory,Ubiregi,KLab,Livesense,Y. Hata,Cookpad,Signal Sciences,ClearCode,Siemens,SourceClear,Techtopia,Kyodo News Digital,Jigsaw,EdSurge,Cockroach Labs,Collective Genius"
Quarter from 07/2014,7/1/2014,10/1/2014,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,ClearCode","Treasure Data,DeNA,ClearCode,Atlassian","Treasure Data,DeNA,ClearCode,Atlassian,Apache","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado,Cisco,Babbel","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado,Cisco,Babbel","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado,Cisco,Babbel","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado,Cisco,Babbel","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado,Cisco,Babbel","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado,Cisco,Babbel","Treasure Data,DeNA,ClearCode,Atlassian,Apache,Techtopia,Lexfo,Red Hat,TUNE,GREE,JBAT,Authlete,We are ROOT,Polydice,NTT Communications,Livesense,Librato,ISID,Happyr,Emprego Ligado,Cisco,Babbel"
Quarter from 10/2014,10/1/2014,1/1/2015,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Maverick","Treasure Data,DeNA,Maverick,Livesense","Treasure Data,DeNA,Maverick,Livesense,Universal Bank","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine","Treasure Data,DeNA,Maverick,Livesense,Universal Bank,Apache,Google,BI,Devops,ClearCode,Open Collector,Mercari,徳を積む,NoRedInk,Center for Open Science,JBAT,Apptentive,Wejoinin,Vine"
Quarter from 01/2015,1/1/2015,4/1/2015,Treasure Data,"Treasure Data,DeNA","Treasure Data,DeNA,Apache","Treasure Data,DeNA,Apache,Universal Bank","Treasure Data,DeNA,Apache,Universal Bank,Basho","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI","Treasure Data,DeNA,Apache,Universal Bank,Basho,Airship,JBAT,Mercari,Photobox,NetSanity,Dwango,AVITO.ru,Actcat,Arkena,Hitomedia,Lexfo,Perfect Memory,Microsoft,Internet Initiative Japan,BI"
Quarter from 04/2015,4/1/2015,7/1/2015,Treasure Data,"Treasure Data,Everyleaf","Treasure Data,Everyleaf,DeNA","Treasure Data,Everyleaf,DeNA,Mercari","Treasure Data,Everyleaf,DeNA,Mercari,KLab","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin","Treasure Data,Everyleaf,DeNA,Mercari,KLab,Fusion-io,15Five,Internet Initiative Japan,Quipper,Y. Hata,KAWANET,ClearCode,Google,BI,Yelp,Preferred Networks,株式会社ドヴァ,BePROUD,OfferUp,Wejoinin"
Quarter from 07/2015,7/1/2015,10/1/2015,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,DeNA","Treasure Data,ClearCode,DeNA,Mercari","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google,Hover,Backplane.io","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google,Hover,Backplane.io","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google,Hover,Backplane.io","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google,Hover,Backplane.io","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google,Hover,Backplane.io","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google,Hover,Backplane.io","Treasure Data,ClearCode,DeNA,Mercari,Fusion-io,Livesense,KLab,PayPal,eBay,NTT,Y. Hata,Cygames,Netdirekt,SparkTC,欢聚时代,KAWANET,IPROS,Informa,HTC,Google,Hover,Backplane.io"
Quarter from 10/2015,10/1/2015,1/1/2016,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,DeNA","Treasure Data,ClearCode,DeNA,Mercari","Treasure Data,ClearCode,DeNA,Mercari,Livesense","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker","Treasure Data,ClearCode,DeNA,Mercari,Livesense,Repro,Authlete,GitHub,AWS,IPROS,Microsoft,Rakuten,SEEK,Actcat,Altos Research,Backplane.io,Cookpad,Cygames,Wowfan.cz,Docker"
Quarter from 01/2016,1/1/2016,4/1/2016,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,Toshiba","Treasure Data,ClearCode,Toshiba,DeNA","Treasure Data,ClearCode,Toshiba,DeNA,IPROS","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro,Clarifai","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro,Clarifai","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro,Clarifai","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro,Clarifai","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro,Clarifai","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro,Clarifai","Treasure Data,ClearCode,Toshiba,DeNA,IPROS,nearForm,Maverick,AWS,Google,Livesense,Twitter,Cisco,Sky,Kei Nakazawa,KLab,Zoomdata,NTT,FreakOut,Actcat,Repro,Clarifai"
Quarter from 04/2016,4/1/2016,7/1/2016,Treasure Data,"Treasure Data,ClearCode","Treasure Data,ClearCode,Toshiba","Treasure Data,ClearCode,Toshiba,DeNA","Treasure Data,ClearCode,Toshiba,DeNA,Apache","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition","Treasure Data,ClearCode,Toshiba,DeNA,Apache,BeAn Solutions Oy,Livesense,Microsoft,Realm,Revinate,SEEK,Weaveworks,Cockroach Labs,Fastly,IPROS,KLab,Reevoo,Styla GmbH (Styla.com),Teambition"
