Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Quarter from 01/2014,1/1/2014,4/1/2014,35.7%,47.2%,57.5%,65.6%,72.3%,85.2%,89.7%,91.7%,93.5%,94.8%,98.4%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,58.6%,65.8%,69.6%,73.1%,76.4%,84.1%,87.6%,90.1%,92.1%,93.2%,97.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,32.0%,43.6%,54.0%,61.2%,68.2%,78.6%,83.7%,86.4%,88.6%,90.7%,95.1%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,31.6%,49.1%,66.0%,76.2%,79.1%,85.0%,88.9%,91.2%,93.0%,94.2%,97.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,27.2%,45.8%,57.2%,63.8%,69.4%,82.9%,87.6%,90.0%,91.5%,93.0%,96.7%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,24.5%,38.5%,52.0%,60.1%,67.8%,80.9%,84.8%,87.5%,89.7%,91.1%,94.9%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,30.6%,52.3%,57.1%,61.4%,64.4%,74.1%,79.8%,83.0%,85.5%,87.1%,92.3%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,41.0%,54.8%,62.3%,67.3%,70.4%,79.5%,83.7%,86.4%,88.5%,89.9%,93.7%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,29.4%,50.2%,67.5%,73.4%,76.0%,83.0%,85.6%,87.4%,88.8%,90.0%,94.2%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,39.2%,58.0%,69.6%,73.7%,77.4%,85.7%,88.1%,89.5%,90.8%,91.7%,94.9%,98.9%,100.0%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,37.0%,60.9%,71.6%,75.4%,78.0%,85.2%,87.4%,88.8%,89.9%,90.7%,93.8%,98.1%,100.0%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,25.5%,50.0%,73.1%,78.2%,82.0%,86.7%,88.6%,89.7%,90.8%,91.8%,94.6%,98.4%,100.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,31.4%,51.0%,70.1%,73.9%,77.3%,83.0%,84.9%,86.4%,87.6%,88.8%,91.8%,96.0%,100.0%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,31.5%,62.2%,66.0%,68.6%,70.6%,76.1%,78.7%,80.9%,82.3%,83.7%,87.8%,93.6%,100.0%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,28.3%,56.0%,65.3%,67.3%,68.5%,72.7%,75.3%,77.0%,78.5%,79.6%,83.7%,91.0%,100.0%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,40.5%,53.4%,66.3%,70.1%,72.9%,80.4%,82.6%,84.1%,85.4%,86.5%,89.9%,94.9%,100.0%,100.0%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,24.6%,45.3%,58.7%,63.6%,65.7%,70.2%,72.6%,74.4%,75.8%,77.2%,81.3%,88.9%,98.1%,100.0%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,39.7%,55.8%,60.3%,63.8%,66.3%,74.9%,79.9%,83.9%,86.4%,88.9%,99.0%,100.0%,100.0%,100.0%,100.0%
