ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2014-01-02T00:00:00Z,2016-11-08T00:00:00Z,Before joining CNCF,1041,8798,4271,1616,2911,1665,7369,721,37,486,334,70,632,126,16,62,107,23,95,8.451488952929875,4.102785782901057,1.5523535062439962,2.7963496637848224,1.5994236311239194,7.078770413064361,repeatedly,Treasure Data,1,2641,30.0181859513525801,Treasure Data,6172,70.1523073425778586,repeatedly,Treasure Data,1,1380,32.3109342074455631,Treasure Data,3694,86.4902833060173262,repeatedly,Treasure Data,1,420,25.9900990099009901,Treasure Data,701,43.3787128712871287,repeatedly,Treasure Data,1,841,28.8904156647200275,Treasure Data,1777,61.0443146684987977,tagomoris,Treasure Data,1,578,34.7147147147147147,Treasure Data,1210,72.6726726726726727,repeatedly,Treasure Data,1,2394,32.4874474148459764,Treasure Data,4396,59.6553127968516759
2,2016-11-08T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,525,6967,3084,1752,2131,579,5946,831,23,649,271,56,770,131,8,81,96,22,118,13.27047619047619,5.8742857142857146,3.337142857142857,4.059047619047619,1.1028571428571428,11.325714285714286,repeatedly,Treasure Data,1,2128,30.5439931103774939,Treasure Data,4408,63.2697000143533802,repeatedly,Treasure Data,1,1166,37.8080415045395590,Treasure Data,2788,90.4020752269779507,repeatedly,Treasure Data,1,292,16.6666666666666667,Treasure Data,555,31.6780821917808219,repeatedly,Treasure Data,1,670,31.4406381980290943,Treasure Data,1065,49.9765368371656499,repeatedly,Treasure Data,1,240,41.4507772020725389,Treasure Data,409,70.6390328151986183,repeatedly,Treasure Data,1,1507,25.3447695930037000,Treasure Data,2958,49.7477295660948537
1001,2014-01-02T00:00:00Z,2015-01-01T00:00:00Z,2014,364,2354,1243,375,736,305,1889,218,26,118,131,26,173,56,11,19,52,9,45,6.467032967032967,3.4148351648351647,1.0302197802197801,2.021978021978022,0.8379120879120879,5.18956043956044,repeatedly,Treasure Data,1,899,38.1903143585386576,Treasure Data,1616,68.6491079014443500,repeatedly,Treasure Data,1,499,40.1448109412711183,Treasure Data,980,78.8415124698310539,repeatedly,Treasure Data,1,122,32.5333333333333333,Treasure Data,190,50.6666666666666667,repeatedly,Treasure Data,1,278,37.7717391304347826,Treasure Data,446,60.5978260869565217,repeatedly,Treasure Data,1,134,43.9344262295081967,Treasure Data,225,73.7704918032786885,repeatedly,Treasure Data,1,642,33.9862361037586024,Treasure Data,1157,61.2493382742191636
1002,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2015,365,2696,1313,486,897,310,2114,289,25,190,134,35,256,58,11,29,46,13,46,7.3863013698630136,3.5972602739726027,1.3315068493150686,2.4575342465753423,0.8493150684931506,5.791780821917809,repeatedly,Treasure Data,1,835,30.9718100890207715,Treasure Data,1737,64.4287833827893175,repeatedly,Treasure Data,1,424,32.2924600152322925,Treasure Data,1076,81.9497334348819497,repeatedly,Treasure Data,1,132,27.1604938271604938,Treasure Data,185,38.0658436213991770,repeatedly,Treasure Data,1,279,31.1036789297658863,Treasure Data,476,53.0657748049052397,repeatedly,Treasure Data,1,70,22.5806451612903226,Treasure Data,169,54.5161290322580645,repeatedly,Treasure Data,1,762,36.0454115421002838,Treasure Data,1118,52.8855250709555345
1003,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2016,366,4629,2252,890,1487,1167,3896,373,18,276,138,31,355,57,5,32,42,10,52,12.647540983606557,6.1530054644808745,2.431693989071038,4.062841530054645,3.1885245901639343,10.6448087431694,tagomoris,Treasure Data,1,1444,31.1946424713761072,Treasure Data,3532,76.3015770144739685,tagomoris,Treasure Data,1,823,36.5452930728241563,Treasure Data,2161,95.9591474245115453,repeatedly,Treasure Data,1,199,22.3595505617977528,Treasure Data,382,42.9213483146067416,tagomoris,Treasure Data,1,487,32.7505043712172159,Treasure Data,989,66.5097511768661735,tagomoris,Treasure Data,1,541,46.3581833761782348,Treasure Data,920,78.8346186803770351,repeatedly,Treasure Data,1,1158,29.7227926078028747,Treasure Data,2452,62.9363449691991786
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,4821,2111,1184,1526,382,4071,575,20,440,205,41,528,110,8,69,81,18,94,13.208219178082192,5.7835616438356166,3.243835616438356,4.1808219178082195,1.0465753424657533,11.153424657534247,repeatedly,Treasure Data,1,1600,33.1881352416511097,Treasure Data,3075,63.7834474175482265,repeatedly,Treasure Data,1,874,41.4021790620558977,Treasure Data,1904,90.1942207484604453,repeatedly,Treasure Data,1,200,16.8918918918918919,Treasure Data,378,31.9256756756756757,repeatedly,Treasure Data,1,526,34.4692005242463958,Treasure Data,793,51.9659239842726081,repeatedly,Treasure Data,1,166,43.4554973821989529,Treasure Data,275,71.9895287958115183,repeatedly,Treasure Data,1,1085,26.6519282731515598,Treasure Data,2072,50.8965856055023336
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,1265,436,433,396,80,1345,253,11,193,79,20,263,34,6,18,23,6,38,11.933962264150944,4.113207547169812,4.084905660377358,3.7358490566037736,0.7547169811320755,12.68867924528302,repeatedly,Treasure Data,1,336,26.5612648221343874,Treasure Data,620,49.0118577075098814,repeatedly,Treasure Data,1,186,42.6605504587155963,Treasure Data,361,82.7981651376146789,edsiper,Treasure Data,1,60,13.8568129330254042,Treasure Data,121,27.9445727482678984,repeatedly,Treasure Data,1,91,22.9797979797979798,Treasure Data,138,34.8484848484848485,repeatedly,Treasure Data,1,18,22.5000000000000000,Treasure Data,30,37.5000000000000000,edsiper,Treasure Data,1,279,20.7434944237918216,Treasure Data,555,41.2639405204460967
2001,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,01/2014,31,147,78,21,48,8,103,30,10,15,14,3,31,9,4,4,7,2,9,4.741935483870968,2.5161290322580645,0.6774193548387096,1.5483870967741935,0.25806451612903225,3.3225806451612905,repeatedly,Treasure Data,1,46,31.2925170068027211,Treasure Data,94,63.9455782312925170,repeatedly,Treasure Data,1,25,32.0512820512820513,Treasure Data,59,75.6410256410256410,repeatedly,Treasure Data,1,3,14.2857142857142857,Treasure Data,5,23.8095238095238095,repeatedly,Treasure Data,1,18,37.5000000000000000,Treasure Data,30,62.5000000000000000,repeatedly,Treasure Data,1,4,50.0000000000000000,Treasure Data,4,50.0000000000000000,repeatedly,Treasure Data,1,25,24.2718446601941748,Treasure Data,54,52.4271844660194175
2002,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,02/2014,28,262,190,13,59,15,110,26,13,8,17,5,26,9,6,2,7,4,11,9.357142857142858,6.785714285714286,0.4642857142857143,2.107142857142857,0.5357142857142857,3.9285714285714284,repeatedly,Treasure Data,1,81,30.9160305343511450,Treasure Data,198,75.5725190839694656,repeatedly,Treasure Data,1,50,26.3157894736842105,Treasure Data,157,82.6315789473684211,repeatedly,Treasure Data,1,5,38.4615384615384615,Treasure Data,7,53.8461538461538462,repeatedly,Treasure Data,1,26,44.0677966101694915,Treasure Data,34,57.6271186440677966,repeatedly,Treasure Data,1,8,53.3333333333333333,Treasure Data,8,53.3333333333333333,repeatedly,Treasure Data,1,36,32.7272727272727273,Treasure Data,80,72.7272727272727273
2003,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,03/2014,31,146,80,30,36,22,119,26,9,11,15,3,30,9,5,2,9,1,9,4.709677419354839,2.5806451612903225,0.967741935483871,1.1612903225806452,0.7096774193548387,3.838709677419355,repeatedly,Treasure Data,1,71,48.6301369863013699,Treasure Data,87,59.5890410958904110,repeatedly,Treasure Data,1,39,48.7500000000000000,Treasure Data,52,65.0000000000000000,repeatedly,Treasure Data,1,17,56.6666666666666667,Treasure Data,19,63.3333333333333333,repeatedly,Treasure Data,1,15,41.6666666666666667,Treasure Data,16,44.4444444444444444,repeatedly,Treasure Data,1,11,50.0000000000000000,Treasure Data,21,95.4545454545454545,repeatedly,Treasure Data,1,50,42.0168067226890756,Treasure Data,67,56.3025210084033613
