Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Before joining CNCF,2/23/2015,2/16/2017,1,1,1,1,1,1,1,1,1,1,3,15,33,70,136
Since joining CNCF,2/16/2017,4/17/2018,1,1,1,1,1,1,1,1,1,1,2,10,26,60,115
2015,2/23/2015,1/1/2016,1,1,1,1,1,1,1,1,1,1,6,15,32,66,66
2016,1/1/2016,1/1/2017,1,1,1,1,1,1,1,1,1,2,6,16,30,63,99
2017,1/1/2017,1/1/2018,1,1,1,1,1,1,1,1,1,1,2,13,29,59,127
2018,1/1/2018,4/17/2018,1,1,1,1,1,1,1,1,1,1,3,9,19,37,37
02/2015,2/1/2015,3/1/2015,1,1,1,1,1,1,1,1,2,3,5,5,5,5,5
03/2015,3/1/2015,4/1/2015,1,1,1,1,1,1,1,1,3,4,7,14,14,14,14
04/2015,4/1/2015,5/1/2015,1,1,1,1,1,1,1,1,2,3,10,11,11,11,11
05/2015,5/1/2015,6/1/2015,1,1,1,1,1,1,1,1,3,3,7,11,11,11,11
06/2015,6/1/2015,7/1/2015,1,1,1,1,1,1,1,1,2,4,5,7,7,7,7
07/2015,7/1/2015,8/1/2015,1,1,1,1,1,1,1,1,1,1,6,10,10,10,10
08/2015,8/1/2015,9/1/2015,1,1,1,1,1,1,1,1,1,1,3,8,8,8,8
09/2015,9/1/2015,10/1/2015,1,1,1,1,1,1,1,1,2,3,6,8,8,8,8
10/2015,10/1/2015,11/1/2015,1,1,1,1,1,1,1,1,1,1,4,14,14,14,14
11/2015,11/1/2015,12/1/2015,1,1,1,1,1,1,1,1,2,2,7,9,9,9,9
12/2015,12/1/2015,1/1/2016,1,1,1,1,1,1,1,1,1,1,4,7,7,7,7
01/2016,1/1/2016,2/1/2016,1,1,1,1,1,1,1,1,1,1,2,12,12,12,12
02/2016,2/1/2016,3/1/2016,1,1,1,1,1,1,1,1,2,3,6,9,12,12,12
03/2016,3/1/2016,4/1/2016,1,1,1,1,1,1,1,1,3,4,7,21,23,23,23
04/2016,4/1/2016,5/1/2016,1,1,1,1,1,1,1,1,1,3,4,11,18,18,18
05/2016,5/1/2016,6/1/2016,1,1,1,1,1,1,1,1,2,2,6,15,21,21,21
06/2016,6/1/2016,7/1/2016,1,1,1,1,1,1,1,2,2,4,8,14,21,21,21
07/2016,7/1/2016,8/1/2016,1,1,1,1,1,2,2,2,2,3,6,18,22,22,22
08/2016,8/1/2016,9/1/2016,1,1,1,1,1,1,1,1,2,3,8,16,23,23,23
09/2016,9/1/2016,10/1/2016,1,1,1,1,1,1,1,2,2,3,6,13,25,25,25
10/2016,10/1/2016,11/1/2016,1,1,1,1,1,1,1,1,1,1,6,15,20,20,20
11/2016,11/1/2016,12/1/2016,1,1,1,1,1,1,1,1,2,3,5,7,20,20,20
12/2016,12/1/2016,1/1/2017,1,1,1,1,1,1,1,1,1,2,6,17,18,18,18
01/2017,1/1/2017,2/1/2017,1,1,1,1,1,1,1,1,1,1,5,15,17,17,17
02/2017,2/1/2017,3/1/2017,1,1,1,1,1,1,1,1,1,1,5,9,17,17,17
03/2017,3/1/2017,4/1/2017,1,1,1,1,1,1,1,1,1,1,4,11,24,24,24
04/2017,4/1/2017,5/1/2017,1,1,1,1,1,1,1,1,1,1,2,5,21,21,21
05/2017,5/1/2017,6/1/2017,1,1,1,1,1,1,1,1,1,1,5,9,24,24,24
06/2017,6/1/2017,7/1/2017,1,1,1,1,1,1,1,2,2,2,3,16,23,23,23
07/2017,7/1/2017,8/1/2017,1,1,1,1,1,1,1,1,1,1,1,10,17,17,17
