Release,Date from,Date to,Top 1 developers commits as percent of all,Top 2 developers commits as percent of all,Top 3 developers commits as percent of all,Top 4 developers commits as percent of all,Top 5 developers commits as percent of all,Top 10 developers commits as percent of all,Top 15 developers commits as percent of all,Top 20 developers commits as percent of all,Top 25 developers commits as percent of all,Top 30 developers commits as percent of all,Top 50 developers commits as percent of all,Top 100 developers commits as percent of all,Top 200 developers commits as percent of all,Top 500 developers commits as percent of all,Top 1000 developers commits as percent of all
Before joining CNCF,2/23/2015,2/16/2017,12.1%,21.4%,30.0%,37.7%,43.7%,63.9%,76.6%,85.3%,89.7%,93.2%,99.7%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,2/16/2017,4/17/2018,6.8%,13.0%,18.7%,23.6%,28.1%,47.7%,64.2%,76.5%,86.1%,92.8%,99.5%,100.0%,100.0%,100.0%,100.0%
2015,2/23/2015,1/1/2016,10.5%,20.9%,29.9%,37.9%,45.6%,71.2%,86.7%,94.5%,98.2%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%
2016,1/1/2016,1/1/2017,20.1%,29.6%,37.6%,44.3%,50.0%,69.2%,79.5%,86.2%,91.1%,94.5%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,8.1%,14.6%,21.1%,26.5%,31.5%,49.8%,64.6%,76.8%,86.5%,93.5%,99.7%,100.0%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,7.5%,14.9%,21.7%,28.1%,33.9%,55.3%,69.2%,80.5%,88.0%,93.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/1/2015,3/1/2015,23.1%,37.2%,48.7%,56.4%,62.8%,84.6%,96.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,13.9%,26.6%,38.0%,46.7%,52.9%,77.4%,92.0%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,14.2%,24.9%,35.6%,44.3%,52.1%,78.0%,91.3%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,14.8%,26.2%,37.4%,47.8%,55.2%,79.0%,91.5%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,15.6%,29.8%,44.0%,54.3%,61.3%,81.8%,94.7%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,14.2%,26.7%,37.1%,44.7%,52.0%,78.7%,94.0%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,9.0%,17.3%,25.0%,32.5%,39.7%,67.7%,88.2%,97.4%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,14.2%,24.9%,35.2%,43.9%,51.1%,78.1%,92.0%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,14.3%,26.8%,39.3%,50.4%,58.2%,79.6%,94.6%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,12.2%,21.7%,31.3%,39.1%,47.0%,73.9%,88.7%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,16.7%,26.2%,35.6%,45.1%,51.6%,76.7%,92.4%,98.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,18.6%,36.2%,44.8%,52.0%,58.8%,81.0%,93.5%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,13.6%,26.4%,38.2%,45.9%,53.6%,77.2%,90.0%,96.2%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2016,3/1/2016,4/1/2016,34.8%,45.3%,53.8%,58.8%,63.5%,84.8%,92.7%,96.2%,98.8%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2016,4/1/2016,5/1/2016,37.8%,52.1%,61.2%,69.6%,77.3%,92.0%,96.2%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/1/2016,6/1/2016,45.2%,57.0%,65.9%,73.8%,78.1%,90.3%,96.1%,98.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2016,6/1/2016,7/1/2016,60.2%,68.0%,73.0%,77.3%,81.1%,93.8%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2016,7/1/2016,8/1/2016,29.6%,45.8%,55.8%,63.2%,70.7%,85.7%,93.8%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2016,8/1/2016,9/1/2016,16.2%,30.3%,42.3%,51.7%,58.3%,80.2%,91.0%,97.0%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2016,9/1/2016,10/1/2016,21.6%,28.8%,36.0%,42.4%,48.3%,72.5%,86.9%,95.3%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2016,10/1/2016,11/1/2016,14.5%,23.5%,29.1%,34.6%,39.7%,60.7%,74.4%,85.9%,94.9%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,15.0%,28.2%,33.6%,38.6%,43.2%,63.2%,78.6%,90.0%,96.4%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,9.8%,18.1%,26.0%,34.0%,41.4%,69.8%,84.2%,93.0%,97.2%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,32.4%,39.7%,46.3%,52.7%,57.2%,74.7%,84.6%,91.9%,97.0%,99.5%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,21.0%,27.8%,34.4%,40.5%,46.4%,66.0%,81.1%,90.4%,94.5%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,15.9%,21.5%,26.3%,30.9%,35.5%,56.2%,73.4%,85.8%,93.3%,96.8%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,15.1%,22.3%,28.2%,33.6%,38.7%,61.0%,75.6%,86.7%,94.1%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,10.1%,19.4%,24.7%,29.9%,34.7%,54.9%,70.1%,83.7%,93.1%,96.5%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,12.7%,21.7%,28.8%,35.1%,41.1%,61.5%,76.9%,89.3%,97.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,7.0%,13.7%,20.1%,26.5%,32.3%,57.2%,76.0%,87.5%,94.9%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%
