Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
02/2015,2/1/2015,3/1/2015,93.6%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%,94.9%
03/2015,3/1/2015,4/1/2015,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%,92.0%
04/2015,4/1/2015,5/1/2015,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
05/2015,5/1/2015,6/1/2015,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
06/2015,6/1/2015,7/1/2015,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
07/2015,7/1/2015,8/1/2015,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
08/2015,8/1/2015,9/1/2015,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%,94.0%
09/2015,9/1/2015,10/1/2015,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%
10/2015,10/1/2015,11/1/2015,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%
11/2015,11/1/2015,12/1/2015,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
12/2015,12/1/2015,1/1/2016,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%,93.5%
01/2016,1/1/2016,2/1/2016,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%
02/2016,2/1/2016,3/1/2016,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
03/2016,3/1/2016,4/1/2016,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%,95.6%
04/2016,4/1/2016,5/1/2016,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%
05/2016,5/1/2016,6/1/2016,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
06/2016,6/1/2016,7/1/2016,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
07/2016,7/1/2016,8/1/2016,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
08/2016,8/1/2016,9/1/2016,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
09/2016,9/1/2016,10/1/2016,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
10/2016,10/1/2016,11/1/2016,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%,95.3%
11/2016,11/1/2016,12/1/2016,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%
12/2016,12/1/2016,1/1/2017,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
01/2017,1/1/2017,2/1/2017,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%,99.0%
02/2017,2/1/2017,3/1/2017,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
03/2017,3/1/2017,4/1/2017,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%
04/2017,4/1/2017,5/1/2017,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%,99.5%
05/2017,5/1/2017,6/1/2017,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
06/2017,6/1/2017,7/1/2017,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
08/2017,8/1/2017,9/1/2017,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%
09/2017,9/1/2017,10/1/2017,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%
10/2017,10/1/2017,11/1/2017,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%,99.7%
11/2017,11/1/2017,12/1/2017,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
12/2017,12/1/2017,1/1/2018,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%,99.1%
01/2018,1/1/2018,2/1/2018,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
02/2018,2/1/2018,3/1/2018,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%,97.8%
03/2018,3/1/2018,4/1/2018,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
04/2018,4/1/2018,5/1/2018,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%,95.7%
