Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
02/2015,2/1/2015,3/1/2015,Google,"Google,Viacom","Google,Viacom,Joe","Google,Viacom,Joe,Skroutz.gr","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify","Google,Viacom,Joe,Skroutz.gr,Spotify"
03/2015,3/1/2015,4/1/2015,Google,"Google,FathomDB","Google,FathomDB,SmartX","Google,FathomDB,SmartX,Z Lab","Google,FathomDB,SmartX,Z Lab,Frozen Fractal","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier","Google,FathomDB,SmartX,Z Lab,Frozen Fractal,Red Hat,Alibaba,Stephen Tan,ScaleChain.io,Rackspace,Liulishuo,Huawei,FullStory,Connectifier"
04/2015,4/1/2015,5/1/2015,Google,"Google,AWS","Google,AWS,Liulishuo","Google,AWS,Liulishuo,Supership","Google,AWS,Liulishuo,Supership,Transparensee.com","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify","Google,AWS,Liulishuo,Supership,Transparensee.com,Merge Conflicts,Cisco,Docker,The Plant Co,ITAKO,DoubleVerify"
05/2015,5/1/2015,6/1/2015,Google,"Google,AWS","Google,AWS,Uber","Google,AWS,Uber,MeetSpace","Google,AWS,Uber,MeetSpace,Convergent IO","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando","Google,AWS,Uber,MeetSpace,Convergent IO,Arista Networks,Connectifier,FullStory,IBM,Skroutz.gr,Zalando"
06/2015,6/1/2015,7/1/2015,Google,"Google,UC Berkeley","Google,UC Berkeley,Cisco","Google,UC Berkeley,Cisco,Cockroach Labs","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT","Google,UC Berkeley,Cisco,Cockroach Labs,Convergent IO,Uber,Ott Perry AGT"
07/2015,7/1/2015,8/1/2015,Google,"Google,UC Berkeley","Google,UC Berkeley,BioSataAnalysis","Google,UC Berkeley,BioSataAnalysis,Smart Action Company","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco","Google,UC Berkeley,BioSataAnalysis,Smart Action Company,Uber,CODEBEAT,Oursky,Net EASE,Cockroach Labs,Cisco"
08/2015,8/1/2015,9/1/2015,Google,"Google,OnApp","Google,OnApp,DigitalOcean","Google,OnApp,DigitalOcean,Apple","Google,OnApp,DigitalOcean,Apple,DarkDNA","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco","Google,OnApp,DigitalOcean,Apple,DarkDNA,Inter Cars,Cockroach Labs,Cisco"
09/2015,9/1/2015,10/1/2015,Google,"Google,BioSataAnalysis","Google,BioSataAnalysis,Red Hat","Google,BioSataAnalysis,Red Hat,Uber","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green","Google,BioSataAnalysis,Red Hat,Uber,Cockroach Labs,Project Calico,DigitalOcean,Darkish Green"
10/2015,10/1/2015,11/1/2015,Google,"Google,Project Calico","Google,Project Calico,Kyle Conroy","Google,Project Calico,Kyle Conroy,zulily","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber","Google,Project Calico,Kyle Conroy,zulily,Bigcommerce,PHP,DoubleVerify,DoubleDutch,Diffeo,DesignCondition,CODEBEAT,SAP,Microsoft,Uber"
11/2015,11/1/2015,12/1/2015,Google,"Google,Vube","Google,Vube,Apple","Google,Vube,Apple,Timehop","Google,Vube,Apple,Timehop,Twinfield","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley","Google,Vube,Apple,Timehop,Twinfield,Red Hat,DoubleVerify,Dwango,UC Berkeley"
