Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
02/2015,2/1/2015,3/1/2015,16.2%,30.2%,40.6%,46.0%,50.8%,70.2%,82.2%,87.6%,90.8%,93.3%,99.7%,100.0%,100.0%,100.0%,100.0%
03/2015,3/1/2015,4/1/2015,11.5%,20.8%,29.7%,37.8%,45.6%,69.0%,81.5%,87.3%,90.5%,92.8%,96.4%,100.0%,100.0%,100.0%,100.0%
04/2015,4/1/2015,5/1/2015,11.3%,20.5%,29.1%,37.0%,44.6%,69.1%,82.3%,89.3%,92.6%,94.6%,98.6%,100.0%,100.0%,100.0%,100.0%
05/2015,5/1/2015,6/1/2015,14.6%,25.2%,34.7%,44.1%,49.9%,72.3%,85.5%,93.1%,95.3%,96.3%,98.6%,100.0%,100.0%,100.0%,100.0%
06/2015,6/1/2015,7/1/2015,14.8%,24.9%,34.6%,42.4%,49.0%,71.6%,85.1%,90.5%,93.7%,95.5%,98.4%,100.0%,100.0%,100.0%,100.0%
07/2015,7/1/2015,8/1/2015,15.7%,25.0%,33.6%,41.4%,47.4%,71.3%,84.4%,91.1%,93.7%,95.2%,98.1%,100.0%,100.0%,100.0%,100.0%
08/2015,8/1/2015,9/1/2015,8.7%,17.4%,24.5%,31.1%,37.7%,64.0%,81.4%,91.4%,94.4%,96.0%,98.7%,100.0%,100.0%,100.0%,100.0%
09/2015,9/1/2015,10/1/2015,12.7%,23.8%,30.8%,37.4%,44.1%,67.7%,82.7%,90.9%,93.2%,94.3%,97.1%,100.0%,100.0%,100.0%,100.0%
10/2015,10/1/2015,11/1/2015,13.8%,25.6%,35.0%,43.4%,50.3%,69.1%,81.9%,89.1%,91.7%,93.5%,96.6%,100.0%,100.0%,100.0%,100.0%
11/2015,11/1/2015,12/1/2015,14.2%,23.9%,32.1%,39.6%,46.0%,63.8%,77.4%,87.1%,91.1%,92.9%,96.8%,100.0%,100.0%,100.0%,100.0%
12/2015,12/1/2015,1/1/2016,18.6%,28.2%,35.7%,42.3%,47.9%,68.5%,80.8%,89.3%,92.8%,94.2%,97.2%,100.0%,100.0%,100.0%,100.0%
01/2016,1/1/2016,2/1/2016,20.3%,33.0%,41.8%,48.9%,53.2%,71.0%,81.4%,86.8%,89.4%,91.0%,94.6%,99.3%,100.0%,100.0%,100.0%
02/2016,2/1/2016,3/1/2016,14.7%,24.9%,34.0%,41.0%,47.1%,67.3%,78.7%,84.8%,88.5%,90.6%,95.1%,99.0%,100.0%,100.0%,100.0%
