Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 01/2015,1/1/2015,4/1/2015,92.3%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%,92.6%
Quarter from 04/2015,4/1/2015,7/1/2015,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
Quarter from 07/2015,7/1/2015,10/1/2015,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%,96.1%
Quarter from 10/2015,10/1/2015,1/1/2016,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
Quarter from 01/2016,1/1/2016,4/1/2016,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%,95.4%
Quarter from 04/2016,4/1/2016,7/1/2016,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
Quarter from 07/2016,7/1/2016,10/1/2016,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
Quarter from 10/2016,10/1/2016,1/1/2017,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%,97.9%
Quarter from 01/2017,1/1/2017,4/1/2017,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%,98.7%
Quarter from 04/2017,4/1/2017,7/1/2017,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
Quarter from 07/2017,7/1/2017,10/1/2017,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%,98.0%
Quarter from 10/2017,10/1/2017,1/1/2018,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%,99.2%
Quarter from 01/2018,1/1/2018,4/1/2018,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%,98.3%
