Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,11/1/2016,9/13/2017,67.0%,71.7%,72.0%,72.3%,72.5%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%,72.8%
Since joining CNCF,9/13/2017,4/17/2018,56.4%,63.2%,63.6%,64.1%,64.5%,65.7%,66.2%,66.3%,66.5%,66.5%,66.5%,66.5%,66.5%,66.5%,66.5%
2016,11/1/2016,1/1/2017,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
2017,1/1/2017,1/1/2018,58.8%,63.1%,63.6%,64.0%,64.3%,65.2%,65.4%,65.5%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%,65.6%
2018,1/1/2018,4/17/2018,59.7%,69.5%,70.5%,71.2%,71.5%,72.3%,72.6%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%,72.7%
11/2016,11/1/2016,12/1/2016,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%
12/2016,12/1/2016,1/1/2017,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%,88.7%
01/2017,1/1/2017,2/1/2017,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%,44.6%
02/2017,2/1/2017,3/1/2017,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%,51.1%
03/2017,3/1/2017,4/1/2017,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%,76.3%
04/2017,4/1/2017,5/1/2017,84.4%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%,86.3%
05/2017,5/1/2017,6/1/2017,78.8%,84.4%,85.5%,86.0%,86.0%,86.0%,86.0%,86.0%,86.0%,86.0%,86.0%,86.0%,86.0%,86.0%,86.0%
06/2017,6/1/2017,7/1/2017,61.1%,69.7%,70.2%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%
07/2017,7/1/2017,8/1/2017,43.2%,52.3%,52.6%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%,52.9%
08/2017,8/1/2017,9/1/2017,58.2%,63.4%,64.7%,65.1%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%,65.5%
09/2017,9/1/2017,10/1/2017,68.9%,73.3%,77.3%,80.9%,82.2%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%,84.0%
10/2017,10/1/2017,11/1/2017,67.6%,74.1%,75.3%,76.4%,76.6%,77.6%,77.6%,77.6%,77.6%,77.6%,77.6%,77.6%,77.6%,77.6%,77.6%
11/2017,11/1/2017,12/1/2017,61.0%,66.2%,67.3%,67.9%,68.4%,70.2%,70.2%,70.2%,70.2%,70.2%,70.2%,70.2%,70.2%,70.2%,70.2%
12/2017,12/1/2017,1/1/2018,36.5%,37.5%,37.9%,38.3%,38.4%,38.8%,38.8%,38.8%,38.8%,38.8%,38.8%,38.8%,38.8%,38.8%,38.8%
01/2018,1/1/2018,2/1/2018,63.0%,69.5%,70.2%,70.7%,70.9%,71.6%,71.6%,71.6%,71.6%,71.6%,71.6%,71.6%,71.6%,71.6%,71.6%
02/2018,2/1/2018,3/1/2018,57.1%,64.8%,65.5%,65.7%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%
03/2018,3/1/2018,4/1/2018,55.1%,71.5%,72.4%,72.7%,72.9%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%,73.8%
04/2018,4/1/2018,5/1/2018,66.6%,73.1%,76.9%,80.5%,81.1%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%,81.4%
Quarter from 10/2016,10/1/2016,1/1/2017,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%,90.6%
Quarter from 01/2017,1/1/2017,4/1/2017,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%,59.0%
Quarter from 04/2017,4/1/2017,7/1/2017,76.6%,81.3%,81.5%,81.7%,81.8%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%,81.9%
Quarter from 07/2017,7/1/2017,10/1/2017,55.3%,61.7%,63.3%,64.7%,65.1%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%,65.9%
Quarter from 10/2017,10/1/2017,1/1/2018,52.6%,56.4%,57.1%,57.7%,58.0%,58.8%,59.0%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%,59.2%
Quarter from 01/2018,1/1/2018,4/1/2018,58.2%,68.8%,69.1%,69.4%,69.7%,70.3%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%,70.7%
