Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Before joining CNCF,11/1/2016,9/13/2017,Uber,"Uber,Red Hat","Uber,Red Hat,CNCF","Uber,Red Hat,CNCF,Grafana","Uber,Red Hat,CNCF,Grafana,Base CRM","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC","Uber,Red Hat,CNCF,Grafana,Base CRM,Orange,Zenly,WillCall,HTC"
Since joining CNCF,9/13/2017,4/17/2018,Uber,"Uber,Red Hat","Uber,Red Hat,HPE","Uber,Red Hat,HPE,Streamlio","Uber,Red Hat,HPE,Streamlio,Net EASE","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks,Ubisoft,Outfittery Gmbh,Mirantis,AdmitHub,SpotHero","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks,Ubisoft,Outfittery Gmbh,Mirantis,AdmitHub,SpotHero,Covalent","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks,Ubisoft,Outfittery Gmbh,Mirantis,AdmitHub,SpotHero,Covalent","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks,Ubisoft,Outfittery Gmbh,Mirantis,AdmitHub,SpotHero,Covalent","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks,Ubisoft,Outfittery Gmbh,Mirantis,AdmitHub,SpotHero,Covalent","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks,Ubisoft,Outfittery Gmbh,Mirantis,AdmitHub,SpotHero,Covalent","Uber,Red Hat,HPE,Streamlio,Net EASE,C3 Loyalty Services,CNCF,Grafana,Tower Research Capital,Ticketmaster,Base CRM,HBO,Localsearch,Google,Nozzle,Stream.io,Diffeo,Farmers Edge,LiveRamp,Weaveworks,Ubisoft,Outfittery Gmbh,Mirantis,AdmitHub,SpotHero,Covalent"
2016,11/1/2016,1/1/2017,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber
2017,1/1/2017,1/1/2018,Uber,"Uber,Red Hat","Uber,Red Hat,CNCF","Uber,Red Hat,CNCF,Grafana","Uber,Red Hat,CNCF,Grafana,Net EASE","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh,Stream.io,Weaveworks,WillCall","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh,Stream.io,Weaveworks,WillCall","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh,Stream.io,Weaveworks,WillCall","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh,Stream.io,Weaveworks,WillCall","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh,Stream.io,Weaveworks,WillCall","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh,Stream.io,Weaveworks,WillCall","Uber,Red Hat,CNCF,Grafana,Net EASE,HPE,Tower Research Capital,Base CRM,Orange,HBO,Ticketmaster,Nozzle,Zenly,AdmitHub,Diffeo,Farmers Edge,Google,HTC,LiveRamp,Outfittery Gmbh,Stream.io,Weaveworks,WillCall"
2018,1/1/2018,4/17/2018,Uber,"Uber,Red Hat","Uber,Red Hat,Streamlio","Uber,Red Hat,Streamlio,C3 Loyalty Services","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent","Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE,Localsearch,Base CRM,Ticketmaster,Google,HBO,Mirantis,Tower Research Capital,SpotHero,Net EASE,Ubisoft,Covalent"
11/2016,11/1/2016,12/1/2016,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber
12/2016,12/1/2016,1/1/2017,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber
01/2017,1/1/2017,2/1/2017,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber
02/2017,2/1/2017,3/1/2017,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber
03/2017,3/1/2017,4/1/2017,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber,Uber
04/2017,4/1/2017,5/1/2017,Uber,"Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat","Uber,Red Hat"
05/2017,5/1/2017,6/1/2017,Uber,"Uber,Red Hat","Uber,Red Hat,Base CRM","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange","Uber,Red Hat,Base CRM,Orange"
06/2017,6/1/2017,7/1/2017,Uber,"Uber,Red Hat","Uber,Red Hat,Zenly","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC","Uber,Red Hat,Zenly,HTC"
07/2017,7/1/2017,8/1/2017,Uber,"Uber,Red Hat","Uber,Red Hat,Orange","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF","Uber,Red Hat,Orange,CNCF"
