Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,11/1/2016,9/13/2017,31.9%,50.3%,64.3%,74.6%,82.9%,94.1%,95.7%,96.7%,97.4%,98.0%,99.4%,100.0%,100.0%,100.0%,100.0%
Since joining CNCF,9/13/2017,4/17/2018,35.3%,46.9%,58.1%,65.8%,73.3%,83.1%,86.0%,87.6%,89.1%,90.2%,92.7%,95.9%,99.0%,100.0%,100.0%
2016,11/1/2016,1/1/2017,90.6%,98.4%,99.2%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
2017,1/1/2017,1/1/2018,30.9%,44.6%,54.8%,64.5%,71.4%,86.9%,89.4%,91.0%,92.4%,93.3%,95.5%,98.2%,100.0%,100.0%,100.0%
2018,1/1/2018,4/17/2018,36.5%,50.7%,57.8%,64.7%,68.7%,82.0%,86.9%,89.1%,90.5%,91.5%,94.3%,97.8%,100.0%,100.0%,100.0%
11/2016,11/1/2016,12/1/2016,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,88.7%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,55.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,44.7%,83.0%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,69.7%,92.1%,97.4%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,49.3%,66.6%,79.8%,91.6%,95.4%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,27.4%,50.8%,64.8%,76.0%,82.7%,93.3%,96.6%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,26.4%,50.0%,71.2%,76.9%,82.2%,93.8%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,41.2%,64.3%,80.5%,86.7%,90.3%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,29.3%,57.3%,73.3%,87.5%,90.1%,95.3%,97.4%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
