Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
11/2016,11/1/2016,12/1/2016,96.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2016,12/1/2016,1/1/2017,88.7%,99.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2017,1/1/2017,2/1/2017,55.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2017,2/1/2017,3/1/2017,44.7%,83.0%,95.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2017,3/1/2017,4/1/2017,69.7%,92.1%,97.4%,98.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2017,4/1/2017,5/1/2017,49.3%,66.6%,79.8%,91.6%,95.4%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2017,5/1/2017,6/1/2017,27.4%,50.8%,64.8%,76.0%,82.7%,93.3%,96.6%,99.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2017,6/1/2017,7/1/2017,26.4%,50.0%,71.2%,76.9%,82.2%,93.8%,98.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2017,7/1/2017,8/1/2017,41.2%,64.3%,80.5%,86.7%,90.3%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2017,8/1/2017,9/1/2017,29.3%,57.3%,73.3%,87.5%,90.1%,95.3%,97.4%,99.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2017,9/1/2017,10/1/2017,41.3%,60.9%,66.7%,71.1%,74.7%,84.0%,88.9%,92.4%,94.7%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2017,10/1/2017,11/1/2017,38.3%,52.7%,62.3%,70.3%,77.2%,86.8%,91.0%,93.1%,94.6%,95.6%,99.8%,100.0%,100.0%,100.0%,100.0%
11/2017,11/1/2017,12/1/2017,38.8%,49.9%,59.9%,69.5%,74.4%,83.3%,87.3%,90.0%,92.4%,94.2%,98.2%,100.0%,100.0%,100.0%,100.0%
12/2017,12/1/2017,1/1/2018,40.3%,66.8%,77.2%,85.0%,87.6%,92.1%,94.3%,95.6%,97.0%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2018,1/1/2018,2/1/2018,42.2%,51.9%,60.0%,65.9%,71.8%,86.9%,91.0%,93.2%,94.4%,95.5%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2018,2/1/2018,3/1/2018,33.9%,46.5%,58.7%,65.9%,72.5%,84.7%,88.9%,91.4%,93.7%,95.3%,99.8%,100.0%,100.0%,100.0%,100.0%
03/2018,3/1/2018,4/1/2018,31.3%,50.3%,59.1%,66.3%,71.8%,84.3%,88.6%,91.0%,92.8%,94.5%,98.2%,100.0%,100.0%,100.0%,100.0%
04/2018,4/1/2018,5/1/2018,41.4%,55.6%,66.6%,71.6%,75.7%,90.8%,95.9%,97.6%,99.1%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
