ord,date_from,date_to,release,days,contributions,pushes,issue_evs,pr_evs,pr_reviews,comment_evs,contributors,committers,issuers,pr_creators,pr_reviewers,commenters,contributing_coms,committing_coms,issuers_coms,pr_creating_coms,pr_reviewing_coms,commenting_coms,contributions_per_day,pushes_per_day,issue_evs_per_day,pr_evs_per_day,pr_reviews_per_day,comment_evs_per_day,top_contributors,top_contributors_coms,n_top_contributing_coms,top_contributions,top_contributions_perc,top_contributing_coms,top_comp_contributions,top_comp_contributions_perc,top_committers,top_committers_coms,n_top_committing_coms,top_commits,top_commits_perc,top_committing_coms,top_comp_commits,top_comp_commits_perc,top_issuers,top_issuers_coms,n_top_issuers_coms,top_issues,top_issues_perc,top_issuing_coms,top_comp_issues,top_comp_issues_perc,top_pr_creators,top_pr_creators_coms,n_top_pr_creators_coms,top_prs,top_prs_perc,top_pr_creating_coms,top_comp_prs,top_comp_prs_perc,top_reviewers,top_reviewers_coms,n_top_reviewers_coms,top_reviews,top_reviews_perc,top_reviewing_coms,top_comp_reviews,top_comp_reviews_perc,top_commenters,top_commenters_coms,n_top_commenters_coms,top_comments,top_comments_perc,top_commenting_coms,top_comp_comments,top_comp_comments_perc
1,2016-11-01T00:00:00Z,2017-09-13T00:00:00Z,Before joining CNCF,316,1711,856,252,603,1411,1007,60,10,47,26,24,82,9,3,6,6,4,15,5.4145569620253164,2.7088607594936707,0.7974683544303798,1.9082278481012658,4.465189873417722,3.1867088607594938,"yurishkuro,black-adder,mh-park,pavolloffay,badiib",Uber,1,1418,82.8755113968439509,"Uber,Red Hat,CNCF,Grafana,Base CRM",1240,72.4722384570426651,"yurishkuro,black-adder,mh-park,badiib,vprithvi",Uber,1,783,91.4719626168224299,"Uber,Red Hat,CNCF",606,70.7943925233644860,"yurishkuro,pavolloffay,black-adder,badiib,PritomAhmed",Uber,1,144,57.1428571428571429,"Uber,Red Hat,Grafana,Base CRM,Orange",167,66.2698412698412698,"yurishkuro,black-adder,pavolloffay,mh-park,badiib",Uber,1,514,85.2404643449419569,"Uber,Red Hat,CNCF,HTC,WillCall",470,77.9436152570480929,"yurishkuro,black-adder,pavolloffay,badiib,jpkrohling","Uber,Red Hat",2,1197,84.8334514528703047,"Uber,Red Hat,Base CRM,Pivotal",1208,85.6130403968816442,"yurishkuro,pavolloffay,jpkrohling,objectiser,black-adder","Uber,Red Hat",2,741,73.5849056603773585,"Uber,Red Hat,Pivotal,Grafana,Base CRM",827,82.1251241310824230
2,2017-09-13T00:00:00Z,2018-04-17T00:00:00Z,Since joining CNCF,216,3653,1373,925,1355,1620,3339,237,11,174,112,56,262,26,3,22,17,15,33,16.912037037037038,6.356481481481482,4.282407407407407,6.273148148148148,7.5,15.458333333333334,"yurishkuro,isaach1000,pavolloffay,black-adder,tiffon",Uber,1,2678,73.3096085409252669,"Uber,Red Hat,HPE,Streamlio,Net EASE",2355,64.4675609088420476,"yurishkuro,isaach1000,black-adder,pavolloffay,tiffon",Uber,1,1255,91.4056809905316824,"Uber,Red Hat,C3 Loyalty Services",955,69.5557174071376548,"yurishkuro,pavolloffay,tiffon,jpkrohling,black-adder","Uber,Red Hat",2,536,57.9459459459459459,"Uber,Red Hat,HPE,Net EASE,Grafana",526,56.8648648648648649,"yurishkuro,pavolloffay,isaach1000,black-adder,tiffon",Uber,1,900,66.4206642066420664,"Uber,Red Hat,Streamlio,Tower Research Capital,Net EASE",892,65.8302583025830258,"yurishkuro,pavolloffay,isaach1000,black-adder,jpkrohling","Uber,Red Hat",2,1185,73.1481481481481481,"Uber,Red Hat,HBO,Pieter Lange PTLC,HPE",1236,76.2962962962962963,"yurishkuro,pavolloffay,jpkrohling,tiffon,isaach1000","Uber,Red Hat",2,1929,57.7717879604672058,"Uber,Red Hat,HPE,Streamlio,Grafana",1969,58.9697514225816113
1001,2016-11-01T00:00:00Z,2017-01-01T00:00:00Z,2016,61,127,74,4,49,29,4,4,2,2,3,4,2,1,1,1,1,1,1,2.081967213114754,1.2131147540983607,0.06557377049180328,0.8032786885245902,0.47540983606557374,0.06557377049180328,"yurishkuro,badiib,sunfaces,kwojcik",Uber,1,127,100.0000000000000000,Uber,115,90.5511811023622047,"yurishkuro,badiib",Uber,1,74,100.0000000000000000,Uber,69,93.2432432432432432,"yurishkuro,sunfaces",Uber,1,4,100.0000000000000000,Uber,3,75.0000000000000000,"yurishkuro,badiib,kwojcik",Uber,1,49,100.0000000000000000,Uber,43,87.7551020408163265,"black-adder,yurishkuro,badiib,vprithvi",Uber,1,29,100.0000000000000000,Uber,26,89.6551724137931034,"yurishkuro,CLAassistant",Uber,1,4,100.0000000000000000,Uber,3,75.0000000000000000
1004,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2017,365,3474,1577,699,1198,2053,2559,163,12,124,70,45,197,23,3,16,15,9,30,9.517808219178082,4.32054794520548,1.915068493150685,3.282191780821918,5.624657534246575,7.010958904109589,"yurishkuro,black-adder,isaach1000,pavolloffay,mh-park",Uber,1,2481,71.4162348877374784,"Uber,Red Hat,CNCF,Grafana,Net EASE",2235,64.3350604490500864,"yurishkuro,black-adder,isaach1000,mh-park,vprithvi",Uber,1,1329,84.2739378566899176,"Uber,Red Hat,CNCF",988,62.6506024096385542,"yurishkuro,pavolloffay,tiffon,black-adder,jpkrohling","Uber,Red Hat",2,376,53.7911301859799714,"Uber,Red Hat,Grafana,Net EASE,CNCF",406,58.0829756795422031,"yurishkuro,pavolloffay,black-adder,mh-park,tiffon",Uber,1,824,68.7813021702838063,"Uber,Red Hat,Tower Research Capital,HPE,Net EASE",846,70.6176961602671119,"yurishkuro,black-adder,pavolloffay,jpkrohling,badiib","Uber,Red Hat",2,1631,79.4447150511446663,"Uber,Red Hat,HBO,Base CRM,HPE",1750,85.2411105698977107,"yurishkuro,pavolloffay,jpkrohling,black-adder,objectiser","Uber,Red Hat",2,1622,63.3841344275107464,"Uber,Red Hat,Grafana,HPE,Pivotal",1793,70.0664322000781555
1005,2018-01-01T00:00:00Z,2018-04-17T00:00:00Z,2018,106,1763,578,474,711,949,1783,138,11,100,72,38,155,16,3,12,11,10,22,16.632075471698112,5.452830188679245,4.471698113207547,6.7075471698113205,8.952830188679245,16.82075471698113,"yurishkuro,pavolloffay,tiffon,black-adder,isaach1000",Uber,1,1211,68.6897334089619966,"Uber,Red Hat,Streamlio,C3 Loyalty Services,HPE",1261,71.5258082813386273,"yurishkuro,pavolloffay,black-adder,tiffon,kevinearls","Uber,Red Hat",2,515,89.1003460207612457,"Uber,Red Hat,C3 Loyalty Services",504,87.1972318339100346,"yurishkuro,pavolloffay,tiffon,jpkrohling,ringerc","Uber,Red Hat",2,292,61.6033755274261603,"Uber,Red Hat,HPE,Google,Localsearch",285,60.1265822784810127,"yurishkuro,pavolloffay,isaach1000,black-adder,tiffon",Uber,1,449,63.1504922644163150,"Uber,Red Hat,Streamlio,C3 Loyalty Services,Base CRM",477,67.0886075949367089,"yurishkuro,isaach1000,pavolloffay,jpkrohling,black-adder","Uber,Red Hat",2,689,72.6027397260273973,"Uber,Red Hat,Pieter Lange PTLC,Streamlio,Pivotal",674,71.0221285563751317,"yurishkuro,pavolloffay,jpkrohling,isaach1000,ringerc","Uber,Red Hat",2,986,55.3000560852495794,"Uber,Red Hat,Streamlio,Mirantis,Ticketmaster",1010,56.6461020751542344
2001,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,11/2016,30,30,21,3,6,0,1,2,1,2,1,0,1,1,1,1,1,0,1,1,0.7,0.1,0.2,0,0.03333333333333333,"yurishkuro,sunfaces",Uber,1,30,100.0000000000000000,Uber,29,96.6666666666666667,yurishkuro,Uber,1,21,100.0000000000000000,Uber,21,100.0000000000000000,"yurishkuro,sunfaces",Uber,1,3,100.0000000000000000,Uber,2,66.6666666666666667,yurishkuro,Uber,1,6,100.0000000000000000,Uber,6,100.0000000000000000,,,,,,,,,yurishkuro,Uber,1,1,100.0000000000000000,Uber,1,100.0000000000000000
2002,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,12/2016,31,97,53,1,43,29,3,3,2,1,3,4,2,1,1,1,1,1,1,3.129032258064516,1.7096774193548387,0.03225806451612903,1.3870967741935485,0.9354838709677419,0.0967741935483871,"yurishkuro,badiib,kwojcik",Uber,1,97,100.0000000000000000,Uber,86,88.6597938144329897,"yurishkuro,badiib",Uber,1,53,100.0000000000000000,Uber,48,90.5660377358490566,yurishkuro,Uber,1,1,100.0000000000000000,Uber,1,100.0000000000000000,"yurishkuro,badiib,kwojcik",Uber,1,43,100.0000000000000000,Uber,37,86.0465116279069767,"black-adder,yurishkuro,badiib,vprithvi",Uber,1,29,100.0000000000000000,Uber,26,89.6551724137931034,"yurishkuro,CLAassistant",Uber,1,3,100.0000000000000000,Uber,2,66.6666666666666667
2003,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,01/2017,31,65,39,0,26,16,2,2,2,0,2,4,2,1,1,0,1,1,1,2.096774193548387,1.2580645161290323,0,0.8387096774193549,0.5161290322580645,0.06451612903225806,"badiib,yurishkuro",Uber,1,65,100.0000000000000000,Uber,29,44.6153846153846154,"badiib,yurishkuro",Uber,1,39,100.0000000000000000,Uber,18,46.1538461538461538,,,,,,,,,"badiib,yurishkuro",Uber,1,26,100.0000000000000000,Uber,11,42.3076923076923077,"yurishkuro,kwojcik,vprithvi,badiib",Uber,1,16,100.0000000000000000,Uber,13,81.2500000000000000,"yurishkuro,badiib",Uber,1,2,100.0000000000000000,Uber,1,50.0000000000000000
2004,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,02/2017,28,47,28,3,16,18,2,4,3,2,3,3,2,1,1,0,1,1,1,1.6785714285714286,1,0.10714285714285714,0.5714285714285714,0.6428571428571429,0.07142857142857142,"badiib,yurishkuro,black-adder,jeluard",Uber,1,47,100.0000000000000000,Uber,24,51.0638297872340426,"badiib,yurishkuro,black-adder",Uber,1,28,100.0000000000000000,Uber,16,57.1428571428571429,"jeluard,badiib",,0,3,100.0000000000000000,,,,"badiib,yurishkuro,black-adder",Uber,1,16,100.0000000000000000,Uber,8,50.0000000000000000,"yurishkuro,black-adder,badiib",Uber,1,18,100.0000000000000000,Uber,13,72.2222222222222222,"black-adder,jeluard",Uber,1,2,100.0000000000000000,Uber,1,50.0000000000000000
2005,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,03/2017,31,76,39,3,34,43,4,5,3,2,4,4,2,1,1,1,1,1,1,2.4516129032258065,1.2580645161290323,0.0967741935483871,1.096774193548387,1.3870967741935485,0.12903225806451613,"yurishkuro,badiib,black-adder,oibe,LoungeFlyZ",Uber,1,76,100.0000000000000000,Uber,58,76.3157894736842105,"yurishkuro,badiib,black-adder",Uber,1,39,100.0000000000000000,Uber,29,74.3589743589743590,"yurishkuro,LoungeFlyZ",Uber,1,3,100.0000000000000000,Uber,2,66.6666666666666667,"yurishkuro,badiib,black-adder,oibe",Uber,1,34,100.0000000000000000,Uber,27,79.4117647058823529,"yurishkuro,badiib,black-adder,oibe",Uber,1,43,100.0000000000000000,Uber,37,86.0465116279069767,"yurishkuro,oibe",Uber,1,4,100.0000000000000000,Uber,4,100.0000000000000000
