Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Before joining CNCF,6/1/2014,3/10/2016,63.8%,81.4%,83.2%,84.1%,84.9%,87.4%,88.7%,89.7%,90.2%,90.6%,91.5%,92.4%,93.0%,93.4%,93.4%
Since joining CNCF,3/10/2016,4/8/2019,32.6%,49.9%,52.9%,55.4%,57.9%,64.2%,67.8%,69.8%,71.2%,72.2%,74.9%,78.2%,80.3%,82.2%,83.1%
start - v1.0.0,6/1/2014,7/11/2015,70.7%,88.2%,89.1%,89.7%,90.3%,91.8%,92.5%,92.9%,93.3%,93.6%,94.3%,94.9%,95.2%,95.3%,95.3%
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,60.7%,77.3%,81.0%,82.9%,84.0%,87.2%,88.4%,89.0%,89.4%,89.8%,90.9%,92.2%,92.7%,92.7%,92.7%
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,57.0%,74.8%,77.1%,79.3%,80.6%,84.7%,86.7%,87.9%,88.5%,88.9%,89.8%,90.6%,91.2%,91.4%,91.4%
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,51.5%,70.8%,72.8%,74.4%,75.4%,79.0%,81.4%,83.1%,84.1%,84.9%,86.4%,87.6%,88.4%,88.7%,88.7%
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,44.3%,64.5%,66.9%,69.2%,71.3%,77.6%,80.3%,81.6%,82.6%,83.3%,84.9%,86.1%,87.0%,87.5%,87.5%
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,39.1%,59.5%,63.2%,66.3%,68.7%,75.9%,79.2%,81.0%,82.0%,82.6%,83.9%,85.4%,86.7%,87.5%,87.5%
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,32.1%,56.7%,59.6%,62.2%,64.4%,73.1%,76.5%,78.7%,80.0%,81.0%,82.9%,84.9%,86.4%,87.8%,88.0%
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,33.2%,53.9%,56.3%,58.7%,60.3%,66.9%,71.3%,73.8%,75.2%,76.3%,78.7%,81.0%,82.7%,84.3%,84.5%
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,30.0%,49.9%,53.2%,55.8%,57.9%,65.2%,69.0%,71.5%,73.5%,75.0%,78.1%,80.7%,82.5%,84.1%,84.3%
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,28.4%,46.5%,51.6%,53.9%,56.0%,64.2%,69.0%,71.7%,73.3%,74.5%,77.0%,79.5%,81.2%,82.6%,82.9%
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,27.5%,45.1%,49.9%,53.4%,55.6%,62.6%,67.2%,69.9%,71.6%,72.9%,75.8%,78.8%,80.8%,82.5%,82.8%
v1.10.0 - v1.11.0,3/26/2018,6/27/2018,31.7%,47.0%,51.8%,55.5%,58.9%,64.3%,67.1%,69.2%,70.9%,72.1%,75.2%,78.6%,80.7%,82.3%,82.6%
v1.11.0 - v1.12.0,6/27/2018,9/27/2018,29.2%,42.4%,48.5%,51.4%,54.2%,60.5%,64.0%,66.0%,67.6%,68.9%,72.5%,75.9%,78.3%,79.9%,80.1%
v1.12.0 - v1.13.0,9/27/2018,12/3/2018,29.3%,39.6%,46.7%,49.5%,52.2%,58.3%,61.7%,64.3%,66.4%,68.1%,72.5%,76.4%,79.0%,80.5%,80.6%
v1.13.0 - v1.14.0,12/3/2018,3/25/2019,26.5%,35.2%,43.3%,45.9%,48.3%,54.8%,58.1%,60.6%,62.6%,64.2%,68.5%,73.1%,75.4%,76.7%,76.8%
v1.14.0 - now,3/25/2019,4/8/2019,26.9%,34.3%,41.3%,44.6%,47.0%,55.1%,58.2%,60.0%,61.6%,63.1%,67.0%,70.2%,71.9%,72.3%,72.3%
2014,6/1/2014,1/1/2015,70.3%,90.7%,91.6%,92.0%,92.3%,94.0%,94.9%,95.6%,96.0%,96.2%,96.7%,97.1%,97.1%,97.1%,97.1%
2015,1/1/2015,1/1/2016,64.1%,81.4%,83.7%,84.9%,85.7%,88.2%,89.3%,90.0%,90.5%,90.9%,91.7%,92.6%,93.1%,93.4%,93.4%
2016,1/1/2016,1/1/2017,46.4%,65.7%,67.7%,69.6%,71.4%,77.1%,79.7%,81.6%,82.9%,83.6%,85.0%,86.1%,87.1%,88.0%,88.3%
2017,1/1/2017,1/1/2018,30.8%,51.4%,54.1%,56.5%,58.9%,66.5%,70.1%,72.8%,74.5%,75.6%,78.2%,80.5%,82.2%,83.9%,84.7%
2018,1/1/2018,1/1/2019,29.3%,43.5%,47.9%,51.7%,54.6%,60.5%,63.6%,65.7%,67.3%,68.6%,72.4%,76.3%,78.6%,80.5%,81.2%
2019,1/1/2019,4/8/2019,26.8%,35.6%,44.3%,47.0%,49.3%,56.1%,59.1%,61.2%,63.0%,64.5%,68.8%,73.1%,75.3%,76.4%,76.5%
06/2014,6/1/2014,7/1/2014,85.2%,90.3%,92.2%,93.6%,94.8%,96.2%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%
07/2014,7/1/2014,8/1/2014,70.9%,92.8%,93.9%,94.8%,95.2%,96.3%,96.6%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%,96.7%
08/2014,8/1/2014,9/1/2014,67.9%,94.7%,95.3%,95.7%,96.1%,97.0%,97.4%,97.6%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%
09/2014,9/1/2014,10/1/2014,70.7%,91.6%,92.6%,93.6%,94.5%,96.3%,96.8%,97.1%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%
10/2014,10/1/2014,11/1/2014,70.4%,91.6%,94.0%,94.8%,95.5%,97.6%,98.3%,98.5%,98.7%,98.7%,98.8%,98.8%,98.8%,98.8%,98.8%
11/2014,11/1/2014,12/1/2014,68.4%,89.4%,90.7%,91.4%,92.1%,94.2%,95.3%,95.9%,96.2%,96.5%,96.8%,96.8%,96.8%,96.8%,96.8%
12/2014,12/1/2014,1/1/2015,68.3%,86.2%,87.9%,89.0%,89.7%,92.1%,93.4%,94.3%,94.8%,95.1%,95.5%,95.5%,95.5%,95.5%,95.5%
01/2015,1/1/2015,2/1/2015,71.4%,90.9%,91.9%,92.6%,93.2%,94.3%,94.8%,95.1%,95.3%,95.5%,95.8%,95.8%,95.8%,95.8%,95.8%
02/2015,2/1/2015,3/1/2015,73.0%,90.3%,91.2%,92.1%,92.6%,94.2%,94.9%,95.6%,96.0%,96.2%,96.6%,96.7%,96.7%,96.7%,96.7%
03/2015,3/1/2015,4/1/2015,73.6%,89.1%,90.2%,91.1%,91.5%,93.0%,94.0%,94.6%,95.0%,95.3%,95.7%,95.8%,95.8%,95.8%,95.8%
04/2015,4/1/2015,5/1/2015,66.9%,87.4%,88.4%,89.3%,89.9%,91.5%,92.2%,92.7%,93.0%,93.2%,93.8%,94.0%,94.0%,94.0%,94.0%
05/2015,5/1/2015,6/1/2015,66.9%,86.4%,88.2%,89.3%,89.7%,91.1%,91.9%,92.4%,92.7%,92.9%,93.6%,93.9%,93.9%,93.9%,93.9%
06/2015,6/1/2015,7/1/2015,71.4%,82.8%,84.6%,86.2%,87.2%,89.3%,90.3%,90.8%,91.3%,91.6%,92.2%,92.6%,92.6%,92.6%,92.6%
07/2015,7/1/2015,8/1/2015,74.2%,83.5%,85.7%,86.7%,87.7%,90.3%,91.2%,91.7%,92.1%,92.4%,93.1%,93.6%,93.6%,93.6%,93.6%
08/2015,8/1/2015,9/1/2015,60.7%,77.3%,80.1%,81.7%,82.9%,85.9%,87.4%,88.2%,88.8%,89.2%,90.3%,91.5%,91.8%,91.8%,91.8%
09/2015,9/1/2015,10/1/2015,53.1%,74.0%,79.5%,82.2%,83.6%,87.6%,88.8%,89.7%,90.3%,90.7%,91.8%,92.8%,93.0%,93.0%,93.0%
10/2015,10/1/2015,11/1/2015,63.8%,82.2%,84.7%,86.5%,87.1%,89.5%,90.6%,91.2%,91.7%,92.0%,92.8%,93.4%,93.5%,93.5%,93.5%
11/2015,11/1/2015,12/1/2015,50.5%,72.0%,76.4%,78.2%,79.3%,83.9%,86.6%,87.9%,88.5%,88.9%,89.8%,90.7%,90.9%,90.9%,90.9%
12/2015,12/1/2015,1/1/2016,55.6%,73.9%,77.5%,80.3%,82.0%,86.8%,88.6%,89.4%,89.8%,90.2%,91.1%,91.9%,92.2%,92.2%,92.2%
01/2016,1/1/2016,2/1/2016,55.7%,73.8%,76.3%,78.3%,79.7%,84.4%,86.7%,87.8%,88.5%,88.9%,89.9%,90.7%,90.9%,90.9%,90.9%
02/2016,2/1/2016,3/1/2016,57.8%,73.4%,76.5%,79.1%,80.9%,84.6%,86.7%,87.4%,87.9%,88.3%,89.2%,90.0%,90.2%,90.2%,90.2%
03/2016,3/1/2016,4/1/2016,54.3%,69.5%,72.3%,74.0%,75.6%,79.9%,82.4%,84.2%,85.3%,85.9%,87.1%,88.3%,88.8%,88.8%,88.8%
04/2016,4/1/2016,5/1/2016,48.4%,69.4%,71.4%,72.7%,74.0%,78.2%,80.6%,82.3%,83.4%,84.3%,85.8%,87.1%,87.7%,87.7%,87.7%
05/2016,5/1/2016,6/1/2016,52.8%,73.5%,75.8%,77.0%,78.0%,81.2%,83.5%,85.2%,86.3%,87.2%,88.7%,89.8%,90.4%,90.4%,90.4%
06/2016,6/1/2016,7/1/2016,52.3%,70.2%,73.1%,74.8%,76.5%,81.1%,83.0%,84.1%,85.0%,85.6%,86.8%,87.8%,88.4%,88.4%,88.4%
07/2016,7/1/2016,8/1/2016,43.8%,62.8%,65.9%,68.7%,70.6%,76.0%,78.4%,79.7%,80.7%,81.4%,82.9%,84.5%,85.7%,85.8%,85.8%
08/2016,8/1/2016,9/1/2016,45.7%,64.9%,67.5%,69.6%,71.3%,77.6%,80.4%,81.7%,82.8%,83.6%,85.3%,86.3%,87.0%,87.2%,87.2%
09/2016,9/1/2016,10/1/2016,42.6%,64.9%,68.6%,71.1%,73.1%,79.1%,81.7%,83.2%,84.1%,84.7%,86.3%,87.8%,88.8%,88.9%,88.9%
10/2016,10/1/2016,11/1/2016,38.3%,59.1%,62.3%,65.4%,67.6%,74.8%,78.3%,80.1%,81.3%,82.0%,83.5%,85.3%,86.6%,87.0%,87.0%
11/2016,11/1/2016,12/1/2016,41.2%,59.2%,64.5%,67.1%,69.1%,76.3%,79.2%,81.3%,82.2%,82.7%,84.2%,85.7%,86.9%,87.3%,87.3%
12/2016,12/1/2016,1/1/2017,33.4%,55.8%,60.0%,63.7%,67.2%,75.7%,78.9%,80.9%,82.0%,82.7%,84.1%,85.9%,87.4%,87.9%,87.9%
01/2017,1/1/2017,2/1/2017,31.5%,55.2%,58.9%,61.6%,64.4%,73.9%,78.7%,80.6%,81.8%,82.6%,84.1%,86.2%,87.8%,88.5%,88.5%
02/2017,2/1/2017,3/1/2017,32.2%,58.1%,60.8%,63.2%,65.4%,73.7%,77.5%,79.2%,80.6%,81.6%,83.9%,86.0%,87.5%,88.2%,88.2%
