Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Before joining CNCF,6/1/2014,3/10/2016,1,1,1,1,2,2,2,2,3,3,6,18,43,150,263
Since joining CNCF,3/10/2016,4/5/2019,1,2,2,2,2,3,3,6,6,9,12,25,37,106,249
start - v1.0.0,6/1/2014,7/11/2015,1,1,1,1,2,2,2,2,3,3,6,19,54,137,235
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,1,1,1,1,1,1,2,3,4,4,9,24,68,144,155
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,1,1,2,2,2,2,3,3,4,4,8,21,46,134,243
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,1,1,2,2,2,3,3,5,6,6,6,23,52,133,224
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,1,2,2,2,2,2,2,3,5,6,9,17,42,116,236
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,1,2,2,2,3,4,4,7,9,9,10,18,36,134,294
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,1,2,2,3,3,6,7,7,8,9,14,20,39,154,318
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,1,2,2,2,3,5,6,7,9,9,12,24,47,154,278
v1.7.0 - v1.8.0,6/29/2017,9/28/2017,1,1,1,1,1,2,4,7,8,10,16,27,48,150,280
v1.8.0 - v1.9.0,9/28/2017,12/15/2017,0,0,0,1,2,5,6,8,10,11,15,24,37,133,255
v1.9.0 - v1.10.0,12/15/2017,3/26/2018,0,1,2,3,3,6,9,10,10,12,17,27,39,126,248
v1.10.0 - now,3/26/2018,4/5/2019,1,1,1,1,1,4,7,9,10,12,17,26,51,118,243
2014,6/1/2014,1/1/2015,1,1,1,1,2,2,2,3,4,6,10,26,55,95,95
2015,1/1/2015,1/1/2016,1,1,1,1,1,1,2,2,2,3,7,20,50,143,261
2016,1/1/2016,1/1/2017,1,2,2,2,2,2,3,4,6,6,9,17,39,127,261
2017,1/1/2017,1/1/2018,1,1,1,2,2,4,6,8,8,9,15,24,37,131,299
2018,1/1/2018,4/5/2019,0,1,1,2,2,4,8,10,10,14,18,27,50,118,249
06/2014,6/1/2014,7/1/2014,1,1,1,1,2,4,6,7,8,9,16,16,16,16,16
07/2014,7/1/2014,8/1/2014,1,1,2,2,2,2,2,4,5,6,8,18,18,18,18
08/2014,8/1/2014,9/1/2014,1,1,2,2,2,2,2,2,3,5,12,22,22,22,22
09/2014,9/1/2014,10/1/2014,1,1,1,1,2,2,4,4,6,7,11,23,23,23,23
10/2014,10/1/2014,11/1/2014,1,1,1,1,1,2,3,4,5,7,13,28,29,29,29
11/2014,11/1/2014,12/1/2014,1,1,1,1,1,2,3,5,6,8,12,31,36,36,36
12/2014,12/1/2014,1/1/2015,1,1,1,1,2,3,3,5,6,7,14,31,34,34,34
01/2015,1/1/2015,2/1/2015,1,1,1,1,1,2,2,2,4,4,9,26,35,35,35
02/2015,2/1/2015,3/1/2015,1,1,1,1,2,2,2,2,4,4,7,26,41,41,41
03/2015,3/1/2015,4/1/2015,1,1,1,1,1,1,2,3,3,3,6,27,47,47,47
04/2015,4/1/2015,5/1/2015,1,1,1,1,1,1,2,2,2,4,7,22,55,57,57
05/2015,5/1/2015,6/1/2015,1,1,1,1,1,2,3,3,3,3,8,22,57,62,62
06/2015,6/1/2015,7/1/2015,1,1,1,1,1,1,1,2,2,3,9,24,61,66,66
07/2015,7/1/2015,8/1/2015,1,1,1,1,1,1,1,1,3,3,8,20,56,80,80
08/2015,8/1/2015,9/1/2015,1,1,1,1,1,1,1,2,3,4,10,28,63,106,106
09/2015,9/1/2015,10/1/2015,1,1,1,1,2,3,4,5,6,6,9,24,56,86,86
10/2015,10/1/2015,11/1/2015,1,1,1,1,1,1,1,2,3,4,7,19,55,75,75
11/2015,11/1/2015,12/1/2015,1,1,1,1,1,3,4,6,7,7,11,23,54,94,94
12/2015,12/1/2015,1/1/2016,1,1,1,2,2,3,4,4,6,6,9,28,56,82,82
01/2016,1/1/2016,2/1/2016,1,1,1,1,2,2,3,4,5,5,9,29,57,93,93
02/2016,2/1/2016,3/1/2016,1,2,2,2,3,3,3,4,4,4,10,19,56,94,94
03/2016,3/1/2016,4/1/2016,1,2,2,2,3,4,4,5,5,5,10,27,61,123,123
04/2016,4/1/2016,5/1/2016,1,2,2,2,2,2,2,3,4,4,9,30,58,118,118
05/2016,5/1/2016,6/1/2016,1,1,1,1,1,3,4,4,4,5,7,25,52,141,141
06/2016,6/1/2016,7/1/2016,1,2,2,2,2,2,4,5,5,5,6,17,53,116,128
07/2016,7/1/2016,8/1/2016,1,2,2,2,2,2,3,3,4,4,10,18,50,133,161
08/2016,8/1/2016,9/1/2016,1,2,2,2,2,2,3,4,5,6,11,19,41,104,149
09/2016,9/1/2016,10/1/2016,1,2,2,2,2,2,3,3,4,5,8,19,50,122,159
10/2016,10/1/2016,11/1/2016,1,2,2,2,2,3,6,7,7,8,10,21,43,121,197
11/2016,11/1/2016,12/1/2016,1,1,2,2,3,4,5,7,8,9,14,18,37,115,187
12/2016,12/1/2016,1/1/2017,1,2,2,3,4,5,7,8,9,10,14,21,42,141,212
01/2017,1/1/2017,2/1/2017,1,2,2,3,4,7,8,9,9,10,13,21,50,143,237
02/2017,2/1/2017,3/1/2017,1,2,2,3,3,5,7,9,10,10,13,22,47,137,240
03/2017,3/1/2017,4/1/2017,1,2,3,3,4,5,8,10,10,11,13,23,44,141,272
04/2017,4/1/2017,5/1/2017,1,1,2,3,3,6,9,9,11,11,14,26,52,147,260
05/2017,5/1/2017,6/1/2017,1,1,1,1,2,4,6,9,9,10,13,23,52,145,260
06/2017,6/1/2017,7/1/2017,1,1,2,3,3,3,5,7,7,8,9,24,48,122,261
07/2017,7/1/2017,8/1/2017,1,1,1,1,2,6,7,10,11,11,17,23,56,167,286
08/2017,8/1/2017,9/1/2017,1,1,1,1,1,3,7,7,8,9,13,23,46,137,259
09/2017,9/1/2017,10/1/2017,1,1,1,1,2,3,4,6,8,10,17,26,45,128,267
10/2017,10/1/2017,11/1/2017,0,0,1,2,2,5,7,9,9,11,15,24,40,122,258
11/2017,11/1/2017,12/1/2017,0,1,1,2,2,4,6,9,12,12,13,21,47,123,253
12/2017,12/1/2017,1/1/2018,0,1,2,2,3,6,9,13,13,15,18,24,55,137,216
01/2018,1/1/2018,2/1/2018,1,1,2,3,4,7,7,8,10,13,16,26,42,124,230
02/2018,2/1/2018,3/1/2018,0,1,2,2,3,4,6,8,8,10,16,31,51,120,184
03/2018,3/1/2018,4/1/2018,0,1,2,3,4,6,8,10,11,11,14,25,43,114,200
04/2018,4/1/2018,5/1/2018,1,1,1,2,3,7,9,10,13,14,18,26,54,131,186
05/2018,5/1/2018,6/1/2018,1,1,2,3,3,6,7,9,10,11,17,23,43,113,221
06/2018,6/1/2018,7/1/2018,1,2,3,3,3,3,5,5,8,9,14,25,56,131,201
07/2018,7/1/2018,8/1/2018,1,1,1,2,3,5,6,7,10,11,14,27,53,116,194
08/2018,8/1/2018,9/1/2018,1,2,3,3,4,5,6,8,9,12,15,33,58,124,189
09/2018,9/1/2018,10/1/2018,1,1,2,2,2,5,7,7,8,9,15,29,51,131,201
10/2018,10/1/2018,11/1/2018,1,1,1,1,2,5,8,10,13,13,16,32,58,124,227
11/2018,11/1/2018,12/1/2018,1,2,2,3,4,9,10,11,14,15,21,35,51,119,205
12/2018,12/1/2018,1/1/2019,1,2,2,2,2,4,5,8,12,15,20,35,57,115,189
01/2019,1/1/2019,2/1/2019,1,1,2,2,2,6,6,9,11,12,20,36,65,117,192
02/2019,2/1/2019,3/1/2019,1,1,2,2,2,5,8,8,9,10,18,34,49,104,181
03/2019,3/1/2019,4/1/2019,1,2,2,2,3,5,6,8,11,13,15,28,49,116,172
04/2019,4/1/2019,5/1/2019,1,1,2,2,3,3,5,5,7,9,14,23,44,90,90
Quarter from 04/2014,4/1/2014,7/1/2014,1,1,1,1,2,4,6,7,7,9,16,16,16,16,16
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,2,2,2,2,2,2,2,5,10,25,43,43,43
Quarter from 10/2014,10/1/2014,1/1/2015,1,1,1,1,1,2,3,5,7,7,12,29,53,66,66
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,1,1,2,2,2,3,3,5,27,59,83,83
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,1,1,1,1,1,2,3,3,5,20,53,121,121
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,1,1,1,1,1,4,4,4,8,20,68,138,163
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,1,1,1,2,3,3,4,5,10,21,52,144,165
Quarter from 01/2016,1/1/2016,4/1/2016,1,2,2,2,2,4,4,4,4,4,6,24,60,135,200
Quarter from 04/2016,4/1/2016,7/1/2016,1,1,1,1,2,3,3,4,6,6,6,22,53,140,245
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,2,2,2,2,2,2,5,6,9,16,42,123,240
Quarter from 10/2016,10/1/2016,1/1/2017,1,2,2,3,3,4,4,6,9,10,11,17,33,133,256
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,3,3,3,5,7,8,10,10,15,21,43,157,282
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,2,2,2,5,6,7,9,9,12,24,49,150,285
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,1,1,1,2,4,7,9,10,16,27,47,152,298
Quarter from 10/2017,10/1/2017,1/1/2018,0,0,0,1,2,6,8,11,11,11,16,24,37,131,267
Quarter from 01/2018,1/1/2018,4/1/2018,0,1,2,2,2,6,8,8,10,11,15,28,40,123,244
Quarter from 04/2018,4/1/2018,7/1/2018,1,1,1,1,2,5,7,10,11,14,18,23,44,132,236
Quarter from 07/2018,7/1/2018,10/1/2018,1,1,1,2,3,5,6,7,8,9,14,27,49,135,244
Quarter from 10/2018,10/1/2018,1/1/2019,1,2,2,3,3,6,7,9,11,13,19,33,57,140,223
Quarter from 01/2019,1/1/2019,4/1/2019,1,1,1,2,3,5,6,7,8,10,15,33,59,124,197
