Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 4 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
Before joining CNCF,6/1/2014,3/10/2016,6.7%,11.4%,16.1%,20.1%,22.8%,34.5%,43.2%,50.6%,57.3%,62.7%,75.3%,85.8%,91.3%,95.7%,98.2%
Since joining CNCF,3/10/2016,4/5/2019,2.0%,3.7%,5.1%,6.3%,7.4%,12.2%,16.1%,19.7%,23.0%,26.0%,35.1%,49.1%,62.4%,75.2%,81.8%
start - v1.0.0,6/1/2014,7/11/2015,9.8%,16.9%,22.7%,27.5%,31.6%,47.7%,57.5%,63.5%,68.6%,72.8%,82.4%,91.0%,95.1%,98.5%,100.0%
v1.0.0 - v1.1.0,7/11/2015,9/25/2015,6.3%,11.2%,15.8%,19.9%,23.4%,37.6%,47.3%,55.4%,62.2%,67.7%,80.0%,88.6%,94.0%,99.2%,100.0%
v1.1.0 - v1.2.0,9/25/2015,3/16/2016,4.7%,8.4%,11.8%,15.0%,17.9%,31.2%,41.2%,48.7%,54.9%,60.1%,74.6%,86.0%,91.7%,96.6%,99.5%
v1.2.0 - v1.3.0,3/16/2016,7/1/2016,4.0%,7.8%,11.2%,14.2%,16.8%,28.5%,37.2%,44.2%,50.2%,55.2%,68.1%,80.4%,88.0%,94.7%,98.9%
v1.3.0 - v1.4.0,7/1/2016,9/26/2016,6.8%,9.7%,12.4%,14.7%,16.8%,25.2%,32.2%,38.2%,43.0%,46.8%,59.2%,76.2%,86.2%,93.7%,98.1%
v1.4.0 - v1.5.0,9/26/2016,12/12/2016,3.7%,7.2%,9.8%,12.1%,14.3%,23.7%,31.3%,37.7%,43.0%,47.3%,59.4%,74.8%,84.7%,92.8%,97.4%
v1.5.0 - v1.6.0,12/12/2016,3/28/2017,4.4%,8.2%,10.5%,12.6%,14.6%,22.6%,28.8%,33.8%,38.2%,42.2%,54.0%,70.7%,81.8%,90.3%,95.1%
v1.6.0 - v1.7.0,3/28/2017,6/29/2017,7.2%,9.6%,11.8%,14.0%,15.8%,23.5%,29.8%,35.2%,40.0%,44.1%,55.3%,69.6%,79.8%,88.5%,93.8%
