Release,Date from,Date to,Top 1 companies commits as percent of all,Top 2 companies commits as percent of all,Top 3 companies commits as percent of all,Top 4 companies commits as percent of all,Top 5 companies commits as percent of all,Top 10 companies commits as percent of all,Top 15 companies commits as percent of all,Top 20 companies commits as percent of all,Top 25 companies commits as percent of all,Top 30 companies commits as percent of all,Top 50 companies commits as percent of all,Top 100 companies commits as percent of all,Top 200 companies commits as percent of all,Top 500 companies commits as percent of all,Top 1000 companies commits as percent of all
Quarter from 04/2014,4/1/2014,7/1/2014,82.6%,90.0%,92.1%,93.5%,94.6%,96.3%,97.0%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%,97.2%
Quarter from 07/2014,7/1/2014,10/1/2014,60.2%,89.0%,90.2%,91.1%,91.8%,93.9%,95.0%,95.4%,95.6%,95.8%,95.9%,95.9%,95.9%,95.9%,95.9%
Quarter from 10/2014,10/1/2014,1/1/2015,61.5%,85.9%,87.7%,89.1%,90.3%,93.8%,95.4%,96.1%,96.5%,96.7%,97.2%,97.2%,97.2%,97.2%,97.2%
Quarter from 01/2015,1/1/2015,4/1/2015,90.5%,96.1%,99.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,89.1%,94.1%,97.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,94.2%,96.2%,98.1%,99.0%,99.4%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%,99.6%
Quarter from 10/2015,10/1/2015,1/1/2016,86.8%,92.4%,97.7%,98.4%,98.9%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%,99.3%
Quarter from 01/2016,1/1/2016,4/1/2016,80.0%,86.1%,90.8%,92.4%,93.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%,94.6%
Quarter from 04/2016,4/1/2016,7/1/2016,70.7%,78.5%,85.6%,89.6%,92.8%,95.7%,96.2%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%,96.3%
Quarter from 07/2016,7/1/2016,10/1/2016,65.3%,75.1%,83.2%,89.7%,92.7%,95.4%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%,96.0%
Quarter from 10/2016,10/1/2016,1/1/2017,51.7%,64.4%,76.2%,84.2%,87.9%,93.9%,95.4%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%,95.8%
Quarter from 01/2017,1/1/2017,4/1/2017,45.3%,60.8%,69.0%,73.1%,77.0%,86.3%,90.3%,92.3%,93.1%,93.3%,93.4%,93.4%,93.4%,93.4%,93.4%
Quarter from 04/2017,4/1/2017,7/1/2017,49.1%,62.4%,68.1%,71.0%,73.3%,82.9%,87.7%,90.3%,91.4%,91.5%,91.6%,91.6%,91.6%,91.6%,91.6%
Quarter from 07/2017,7/1/2017,10/1/2017,45.8%,59.7%,63.6%,66.3%,69.0%,78.4%,83.3%,86.5%,88.6%,89.4%,89.7%,89.7%,89.7%,89.7%,89.7%
Quarter from 10/2017,10/1/2017,1/1/2018,29.9%,42.2%,47.9%,52.3%,56.6%,71.7%,78.0%,81.8%,83.8%,84.8%,85.2%,85.2%,85.2%,85.2%,85.2%
Quarter from 01/2018,1/1/2018,4/1/2018,21.5%,39.3%,53.4%,61.2%,66.3%,79.7%,85.7%,90.4%,92.7%,93.9%,94.3%,94.3%,94.3%,94.3%,94.3%
