Release,Date from,Date to,Top 1 companies contributions as percent of all,Top 2 companies contributions as percent of all,Top 3 companies contributions as percent of all,Top 4 companies contributions as percent of all,Top 5 companies contributions as percent of all,Top 10 companies contributions as percent of all,Top 15 companies contributions as percent of all,Top 20 companies contributions as percent of all,Top 25 companies contributions as percent of all,Top 30 companies contributions as percent of all,Top 50 companies contributions as percent of all,Top 100 companies contributions as percent of all,Top 200 companies contributions as percent of all,Top 500 companies contributions as percent of all,Top 1000 companies contributions as percent of all
Quarter from 04/2014,4/1/2014,7/1/2014,84.6%,90.2%,92.0%,93.1%,94.1%,95.9%,96.7%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%,97.0%
Quarter from 07/2014,7/1/2014,10/1/2014,64.4%,89.5%,90.2%,90.9%,91.5%,93.4%,94.5%,94.9%,95.2%,95.4%,95.8%,95.8%,95.8%,95.8%,95.8%
Quarter from 10/2014,10/1/2014,1/1/2015,67.9%,87.8%,88.9%,90.0%,90.8%,93.0%,94.1%,94.6%,95.1%,95.4%,96.1%,96.3%,96.3%,96.3%,96.3%
Quarter from 01/2015,1/1/2015,4/1/2015,78.0%,88.5%,91.0%,92.0%,92.6%,93.7%,94.4%,94.8%,95.2%,95.5%,96.1%,96.5%,96.5%,96.5%,96.5%
Quarter from 04/2015,4/1/2015,7/1/2015,74.1%,84.9%,87.2%,88.9%,89.7%,91.4%,92.2%,92.7%,93.1%,93.5%,94.3%,95.0%,95.2%,95.2%,95.2%
Quarter from 07/2015,7/1/2015,10/1/2015,70.4%,80.0%,82.9%,84.3%,85.1%,88.0%,88.7%,89.2%,89.6%,90.0%,91.2%,92.7%,93.3%,93.3%,93.3%
Quarter from 10/2015,10/1/2015,1/1/2016,63.5%,75.8%,78.2%,80.3%,81.5%,85.2%,87.1%,87.9%,88.5%,88.9%,89.9%,91.0%,91.6%,91.6%,91.6%
Quarter from 01/2016,1/1/2016,4/1/2016,61.0%,70.4%,74.1%,76.6%,78.9%,82.5%,84.4%,85.5%,86.1%,86.6%,87.7%,89.0%,89.9%,89.9%,89.9%
Quarter from 04/2016,4/1/2016,7/1/2016,54.3%,65.2%,71.0%,74.0%,76.3%,79.5%,81.1%,82.4%,83.3%,84.0%,85.6%,87.2%,88.3%,88.7%,88.7%
Quarter from 07/2016,7/1/2016,10/1/2016,48.5%,59.9%,66.1%,71.0%,73.0%,78.0%,79.9%,81.2%,82.0%,82.6%,83.9%,85.3%,86.4%,87.0%,87.0%
Quarter from 10/2016,10/1/2016,1/1/2017,40.9%,52.9%,61.0%,65.0%,68.2%,74.3%,77.2%,79.1%,80.2%,80.8%,82.5%,84.4%,86.1%,87.4%,87.4%
Quarter from 01/2017,1/1/2017,4/1/2017,33.0%,48.0%,53.5%,57.5%,60.2%,68.1%,71.8%,74.4%,76.2%,77.3%,79.8%,82.4%,84.4%,86.3%,86.4%
Quarter from 04/2017,4/1/2017,7/1/2017,34.0%,47.6%,51.7%,54.1%,56.3%,63.0%,67.1%,69.4%,71.2%,72.5%,75.7%,78.4%,80.5%,82.6%,82.9%
Quarter from 07/2017,7/1/2017,10/1/2017,31.0%,43.6%,47.1%,49.6%,51.8%,59.3%,64.0%,67.0%,69.3%,71.0%,74.3%,76.9%,79.2%,81.3%,81.7%
Quarter from 10/2017,10/1/2017,1/1/2018,23.4%,35.0%,38.5%,41.4%,44.2%,53.8%,59.6%,63.1%,65.3%,67.0%,69.7%,72.1%,74.2%,76.3%,76.7%
Quarter from 01/2018,1/1/2018,4/1/2018,20.1%,32.6%,36.7%,39.9%,42.7%,51.5%,56.0%,58.9%,61.2%,62.9%,66.5%,69.0%,71.0%,72.5%,72.5%
