Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Quarter from 04/2014,4/1/2014,7/1/2014,1,1,1,1,2,4,6,7,9,11,17,17,17,17,17
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,2,2,2,2,2,2,2,6,10,24,44,44,44
Quarter from 10/2014,10/1/2014,1/1/2015,1,1,1,1,1,2,2,4,5,5,11,29,55,67,67
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,1,1,2,3,3,4,4,5,25,56,78,78
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,1,1,1,1,2,3,4,4,6,23,51,115,115
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,1,1,1,1,1,2,3,3,8,20,71,145,163
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,1,1,1,1,3,3,3,3,10,21,49,143,169
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,1,1,3,4,4,5,5,7,23,58,134,196
Quarter from 04/2016,4/1/2016,7/1/2016,1,2,2,2,2,4,4,4,5,6,6,20,55,130,250
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,2,2,2,3,3,3,3,4,6,15,40,121,235
Quarter from 10/2016,10/1/2016,1/1/2017,1,2,3,4,4,5,5,5,6,8,10,18,41,142,273
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,3,3,3,5,7,7,10,10,14,25,48,157,300
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,2,2,2,5,6,7,9,10,15,28,53,154,294
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,2,2,2,4,6,8,10,11,17,30,49,155,294
Quarter from 10/2017,10/1/2017,1/1/2018,1,1,1,2,3,7,10,13,13,13,17,27,45,131,257
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,3,4,4,6,9,11,13,14,19,32,43,108,194
